mean,Var1,Var2,q2.5,q97.5,rhat,sd,ess_bulk,ess_tail,condition,comorbidity,repo
0.2,Asthma,Acid-related disease,0.172,0.222,1.001,0.013,2910.29,1868.49,Osteoarthritis,Asthma : Acid-related disease,SAIL-age restricted
0.09,Thyroid disorders,Acid-related disease,0.062,0.126,1,0.016,4156.25,2649.2,Osteoarthritis,Thyroid disorders : Acid-related disease,SAIL-age restricted
0.11,Diabetes,Acid-related disease,0.075,0.137,1.001,0.016,3190.12,2171.84,Osteoarthritis,Diabetes : Acid-related disease,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Osteoarthritis,Anxiety : Anxiety,SAIL-age restricted
0.2,Asthma,Anxiety,0.171,0.223,1,0.013,3646.03,2481.44,Osteoarthritis,Asthma : Anxiety,SAIL-age restricted
0.07,Thyroid disorders,Anxiety,0.036,0.103,1,0.017,3971.17,2542.28,Osteoarthritis,Thyroid disorders : Anxiety,SAIL-age restricted
0.12,Diabetes,Anxiety,0.084,0.149,1,0.017,3415.96,2602.24,Osteoarthritis,Diabetes : Anxiety,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Osteoarthritis,Asthma : Asthma,SAIL-age restricted
0.05,Thyroid disorders,Asthma,0.02,0.087,1,0.017,3703.94,2543.58,Osteoarthritis,Thyroid disorders : Asthma,SAIL-age restricted
0.1,Diabetes,Asthma,0.063,0.127,1.002,0.017,3471.06,2599.39,Osteoarthritis,Diabetes : Asthma,SAIL-age restricted
1,Thyroid disorders,Thyroid disorders,1,1,NA,0,NA,NA,Osteoarthritis,Thyroid disorders : Thyroid disorders,SAIL-age restricted
0.12,Thyroid disorders,Diabetes,0.076,0.157,1.001,0.02,2435.6,2398.99,Osteoarthritis,Thyroid disorders : Diabetes,SAIL-age restricted
1,Diabetes,Diabetes,1,1,NA,0,NA,NA,Osteoarthritis,Diabetes : Diabetes,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Osteoporosis,Pain : Pain,SAIL-age restricted
0.3,Pain,Cardiovascular,0.279,0.32,1.001,0.011,2708.91,2302.2,Osteoporosis,Pain : Cardiovascular,SAIL-age restricted
0.45,Pain,Arthritis,0.43,0.469,1.001,0.01,2633.25,2735.81,Osteoporosis,Pain : Arthritis,SAIL-age restricted
0.18,Pain,Acid-related disease,0.159,0.204,1.001,0.011,3542.84,2693.08,Osteoporosis,Pain : Acid-related disease,SAIL-age restricted
0.32,Pain,Anxiety,0.298,0.344,1,0.012,2955.36,2692.64,Osteoporosis,Pain : Anxiety,SAIL-age restricted
0.24,Pain,Asthma,0.214,0.261,1.003,0.012,2433.11,2568.07,Osteoporosis,Pain : Asthma,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Osteoporosis,Cardiovascular : Cardiovascular,SAIL-age restricted
0.38,Cardiovascular,Arthritis,0.362,0.404,1,0.01,3387.73,2668.48,Osteoporosis,Cardiovascular : Arthritis,SAIL-age restricted
0.02,Cardiovascular,Acid-related disease,-0.004,0.043,1.001,0.012,3017.6,2541.98,Osteoporosis,Cardiovascular : Acid-related disease,SAIL-age restricted
0.1,Cardiovascular,Anxiety,0.075,0.121,1.001,0.012,2985.67,2378.61,Osteoporosis,Cardiovascular : Anxiety,SAIL-age restricted
0.11,Cardiovascular,Asthma,0.086,0.134,1,0.012,3554.19,2358.87,Osteoporosis,Cardiovascular : Asthma,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Osteoporosis,Arthritis : Arthritis,SAIL-age restricted
-0.26,Arthritis,Acid-related disease,-0.284,-0.237,1,0.012,2555.24,2451.16,Osteoporosis,Arthritis : Acid-related disease,SAIL-age restricted
0.12,Arthritis,Anxiety,0.09,0.14,1,0.013,2827.19,2309.48,Osteoporosis,Arthritis : Anxiety,SAIL-age restricted
0.04,Asthma,Arthritis,0.012,0.059,1,0.012,2835.72,2519.58,Osteoporosis,Asthma : Arthritis,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Osteoporosis,Acid-related disease : Acid-related disease,SAIL-age restricted
0.18,Anxiety,Acid-related disease,0.156,0.203,1.001,0.012,3131.84,2562.4,Osteoporosis,Anxiety : Acid-related disease,SAIL-age restricted
0.19,Asthma,Acid-related disease,0.162,0.212,1.001,0.013,3186.94,2555.88,Osteoporosis,Asthma : Acid-related disease,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Osteoporosis,Anxiety : Anxiety,SAIL-age restricted
0.18,Asthma,Anxiety,0.154,0.203,1.001,0.013,2840.99,2710.84,Osteoporosis,Asthma : Anxiety,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Osteoporosis,Asthma : Asthma,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Cardiovascular,SAIL-age restricted
0.25,Pain,Cardiovascular,0.231,0.274,1.001,0.011,2954.34,2474.39,Pulmonary_Disease_Chronic_Obstructive,Pain : Cardiovascular,SAIL-age restricted
0.02,Cardiovascular,Acid-related disease,-0.007,0.04,1.001,0.012,3147.75,2606.29,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Acid-related disease,SAIL-age restricted
0.35,Cardiovascular,Arthritis,0.325,0.369,1.002,0.011,2625.67,2545.3,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Arthritis,SAIL-age restricted
0.1,Cardiovascular,Anxiety,0.072,0.119,1.001,0.012,2839.08,2687.01,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Anxiety,SAIL-age restricted
0.41,Diabetes,Cardiovascular,0.388,0.439,1.001,0.013,2731.79,2473.98,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Cardiovascular,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Pain : Pain,SAIL-age restricted
0.16,Pain,Acid-related disease,0.135,0.18,1.001,0.012,2989.42,2188.32,Pulmonary_Disease_Chronic_Obstructive,Pain : Acid-related disease,SAIL-age restricted
0.45,Pain,Arthritis,0.426,0.466,0.999,0.01,2872.61,2401.5,Pulmonary_Disease_Chronic_Obstructive,Pain : Arthritis,SAIL-age restricted
0.31,Pain,Anxiety,0.289,0.333,1.001,0.012,3233.9,2773.77,Pulmonary_Disease_Chronic_Obstructive,Pain : Anxiety,SAIL-age restricted
0.16,Pain,Diabetes,0.131,0.188,1,0.014,2871.44,2480.59,Pulmonary_Disease_Chronic_Obstructive,Pain : Diabetes,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Acid-related disease : Acid-related disease,SAIL-age restricted
-0.28,Arthritis,Acid-related disease,-0.3,-0.255,1,0.011,2625.57,2533.88,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Acid-related disease,SAIL-age restricted
0.16,Anxiety,Acid-related disease,0.135,0.182,0.999,0.012,3199.71,2644.52,Pulmonary_Disease_Chronic_Obstructive,Anxiety : Acid-related disease,SAIL-age restricted
0.08,Diabetes,Acid-related disease,0.047,0.104,1.002,0.014,3208.61,2272.89,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Acid-related disease,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Arthritis,SAIL-age restricted
0.11,Arthritis,Anxiety,0.083,0.132,1,0.013,2938.71,2556.85,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Anxiety,SAIL-age restricted
0.04,Diabetes,Arthritis,0.014,0.072,1,0.015,3202.46,2581.97,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Arthritis,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Anxiety : Anxiety,SAIL-age restricted
0.07,Diabetes,Anxiety,0.035,0.095,1.001,0.016,3177.68,2657.99,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Anxiety,SAIL-age restricted
1,Diabetes,Diabetes,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Diabetes,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Pain : Pain,SAIL-age restricted
0.22,Pain,Cardiovascular,0.196,0.251,1.001,0.014,1907.06,2289.56,Rheumatoid_arthritis,Pain : Cardiovascular,SAIL-age restricted
0.16,Pain,Acid-related disease,0.13,0.195,1.002,0.017,1951.17,2301.96,Rheumatoid_arthritis,Pain : Acid-related disease,SAIL-age restricted
0.21,Pain,Asthma,0.18,0.244,1.001,0.016,1890.23,2145.48,Rheumatoid_arthritis,Pain : Asthma,SAIL-age restricted
0.33,Pain,Anxiety,0.302,0.364,1.001,0.016,1698.41,1973.44,Rheumatoid_arthritis,Pain : Anxiety,SAIL-age restricted
0.23,Pain,Osteoporosis,0.192,0.26,1.001,0.018,1721.86,2369.32,Rheumatoid_arthritis,Pain : Osteoporosis,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,SAIL-age restricted
0.04,Cardiovascular,Acid-related disease,0.011,0.074,1,0.016,2614.37,2399.96,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,SAIL-age restricted
0.09,Cardiovascular,Asthma,0.061,0.122,1.001,0.016,2500.65,2190.45,Rheumatoid_arthritis,Cardiovascular : Asthma,SAIL-age restricted
0.13,Cardiovascular,Anxiety,0.101,0.163,1,0.016,2295.78,2293.49,Rheumatoid_arthritis,Cardiovascular : Anxiety,SAIL-age restricted
0.05,Osteoporosis,Cardiovascular,0.018,0.084,1,0.017,2483.16,2243.86,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,SAIL-age restricted
0.16,Asthma,Acid-related disease,0.123,0.188,1.002,0.017,2007.32,2592.35,Rheumatoid_arthritis,Asthma : Acid-related disease,SAIL-age restricted
0.13,Anxiety,Acid-related disease,0.094,0.164,1,0.018,1877.87,2055.76,Rheumatoid_arthritis,Anxiety : Acid-related disease,SAIL-age restricted
0.18,Osteoporosis,Acid-related disease,0.143,0.214,1.002,0.018,1783.31,2307.41,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Asthma : Asthma,SAIL-age restricted
0.21,Asthma,Anxiety,0.178,0.245,1.001,0.017,1936.95,2212.68,Rheumatoid_arthritis,Asthma : Anxiety,SAIL-age restricted
0.08,Osteoporosis,Asthma,0.047,0.12,1.001,0.018,2110.78,2313.33,Rheumatoid_arthritis,Osteoporosis : Asthma,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Anxiety : Anxiety,SAIL-age restricted
0.06,Osteoporosis,Anxiety,0.026,0.099,1.001,0.019,2105.13,2402.2,Rheumatoid_arthritis,Osteoporosis : Anxiety,SAIL-age restricted
1,Osteoporosis,Osteoporosis,1,1,NA,0,NA,NA,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Asthma,Pain : Pain,SAIL-age restricted
0.34,Pain,Cardiovascular,0.321,0.366,1.001,0.012,1547.02,1627.5,Asthma,Pain : Cardiovascular,SAIL-age restricted
0.5,Pain,Arthritis,0.479,0.517,1,0.01,1675.05,2047.94,Asthma,Pain : Arthritis,SAIL-age restricted
0.32,Pain,Anxiety,0.296,0.344,1.002,0.012,1732.86,2170.38,Asthma,Pain : Anxiety,SAIL-age restricted
0.13,Pain,Acid-related disease,0.103,0.156,1,0.014,1683.18,2110.18,Asthma,Pain : Acid-related disease,SAIL-age restricted
0.21,Pain,Inflammatory disorders,0.177,0.244,1,0.017,1909.88,1931.2,Asthma,Pain : Inflammatory disorders,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Asthma,Cardiovascular : Cardiovascular,SAIL-age restricted
0.58,Cardiovascular,Arthritis,0.564,0.603,1,0.009,2013.39,1929.34,Asthma,Cardiovascular : Arthritis,SAIL-age restricted
0.16,Cardiovascular,Anxiety,0.135,0.187,1.003,0.013,1765.15,2162.43,Asthma,Cardiovascular : Anxiety,SAIL-age restricted
-0.03,Cardiovascular,Acid-related disease,-0.053,0.004,1.002,0.014,1548.01,1820.63,Asthma,Cardiovascular : Acid-related disease,SAIL-age restricted
0.11,Inflammatory disorders,Cardiovascular,0.079,0.15,1.001,0.018,1618.5,2296.93,Asthma,Inflammatory disorders : Cardiovascular,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Asthma,Arthritis : Arthritis,SAIL-age restricted
0.23,Arthritis,Anxiety,0.2,0.25,1.004,0.013,1687.77,2330.82,Asthma,Arthritis : Anxiety,SAIL-age restricted
-0.3,Arthritis,Acid-related disease,-0.328,-0.275,1,0.014,1372.68,2103.13,Asthma,Arthritis : Acid-related disease,SAIL-age restricted
0.17,Inflammatory disorders,Arthritis,0.133,0.2,1,0.017,1649.64,2413.18,Asthma,Inflammatory disorders : Arthritis,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Asthma,Anxiety : Anxiety,SAIL-age restricted
0.2,Anxiety,Acid-related disease,0.167,0.223,1,0.014,1906.93,2345.86,Asthma,Anxiety : Acid-related disease,SAIL-age restricted
0.2,Inflammatory disorders,Anxiety,0.162,0.232,1,0.018,1869.46,1736.74,Asthma,Inflammatory disorders : Anxiety,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Asthma,Acid-related disease : Acid-related disease,SAIL-age restricted
0.14,Inflammatory disorders,Acid-related disease,0.102,0.178,1,0.019,1246.12,1747.62,Asthma,Inflammatory disorders : Acid-related disease,SAIL-age restricted
1,Inflammatory disorders,Inflammatory disorders,1,1,NA,0,NA,NA,Asthma,Inflammatory disorders : Inflammatory disorders,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Dementia_any,Cardiovascular : Cardiovascular,SAIL-age restricted
0.2,Pain,Cardiovascular,0.17,0.221,1,0.013,2954.62,2487.09,Dementia_any,Pain : Cardiovascular,SAIL-age restricted
0.03,Cardiovascular,Anxiety,0.005,0.057,1.001,0.013,3011.29,2789.22,Dementia_any,Cardiovascular : Anxiety,SAIL-age restricted
0.06,Cardiovascular,Acid-related disease,0.032,0.088,1,0.014,3488.59,2215.08,Dementia_any,Cardiovascular : Acid-related disease,SAIL-age restricted
0.38,Cardiovascular,Arthritis,0.349,0.404,1,0.014,2581.04,2601.38,Dementia_any,Cardiovascular : Arthritis,SAIL-age restricted
0.1,Osteoporosis,Cardiovascular,0.071,0.136,1.001,0.017,3467.07,2525.35,Dementia_any,Osteoporosis : Cardiovascular,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Dementia_any,Pain : Pain,SAIL-age restricted
0.26,Pain,Anxiety,0.238,0.288,1.001,0.013,3055.19,2548.36,Dementia_any,Pain : Anxiety,SAIL-age restricted
0.22,Pain,Acid-related disease,0.188,0.243,1.002,0.014,3104.45,2231.21,Dementia_any,Pain : Acid-related disease,SAIL-age restricted
0.46,Pain,Arthritis,0.429,0.482,1.002,0.014,2511.88,2730.15,Dementia_any,Pain : Arthritis,SAIL-age restricted
0.24,Pain,Osteoporosis,0.21,0.274,1.002,0.016,3311.4,2640.23,Dementia_any,Pain : Osteoporosis,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Dementia_any,Anxiety : Anxiety,SAIL-age restricted
0.17,Anxiety,Acid-related disease,0.147,0.201,1,0.014,3167.22,2470.42,Dementia_any,Anxiety : Acid-related disease,SAIL-age restricted
0.05,Arthritis,Anxiety,0.02,0.08,1,0.016,3467.55,2673.97,Dementia_any,Arthritis : Anxiety,SAIL-age restricted
0.07,Osteoporosis,Anxiety,0.034,0.101,1.001,0.017,3775.54,2470.78,Dementia_any,Osteoporosis : Anxiety,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Dementia_any,Acid-related disease : Acid-related disease,SAIL-age restricted
-0.11,Arthritis,Acid-related disease,-0.138,-0.075,1,0.016,3223.32,2598.35,Dementia_any,Arthritis : Acid-related disease,SAIL-age restricted
0.14,Osteoporosis,Acid-related disease,0.108,0.175,1,0.017,3506.05,2376.11,Dementia_any,Osteoporosis : Acid-related disease,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Dementia_any,Arthritis : Arthritis,SAIL-age restricted
0.17,Osteoporosis,Arthritis,0.138,0.211,1.001,0.019,2455,2184.62,Dementia_any,Osteoporosis : Arthritis,SAIL-age restricted
1,Osteoporosis,Osteoporosis,1,1,NA,0,NA,NA,Dementia_any,Osteoporosis : Osteoporosis,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Psoriasis,Cardiovascular : Cardiovascular,SAIL-age restricted
