mean,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,repo,comorbidity,Var1,Var2
0.04,-0.296,0.391,0.179,1285.43,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
0.5,0.26,0.711,0.115,2335.2,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
-0.28,-0.8,0.315,0.297,974.22,1.003,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.34,-0.006,0.656,0.17,1876.91,1.002,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.16,-0.621,0.315,0.244,647.49,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.24,-0.16,0.612,0.202,2081.18,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.13,-0.687,0.403,0.287,759.61,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.29,-0.828,0.318,0.308,986.99,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.07,-0.541,0.434,0.255,952.2,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.14,-0.757,0.503,0.331,1002.85,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.18,0.024,0.335,0.08,1956.56,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.45,0.318,0.567,0.065,1728.99,1,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.13,-0.075,0.322,0.103,1200.58,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.21,-0.059,0.441,0.128,1338.19,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.21,0.006,0.405,0.105,1393.1,0.999,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.45,0.27,0.606,0.086,1363.71,1,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
0.41,0.196,0.608,0.105,1047.26,1,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.15,-0.15,0.44,0.151,1046.16,1.003,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.26,-0.005,0.509,0.131,860.87,1.007,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.22,-0.504,0.09,0.154,426.67,1.017,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0,-0.349,0.367,0.185,313.6,1.009,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.3,0.054,0.529,0.12,833.53,1.005,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.6,0.358,0.786,0.11,2148.6,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.24,-0.062,0.515,0.15,481.64,1.013,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.49,0.187,0.738,0.14,853.44,1.003,BI1276_1,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.03,-0.12,0.17,0.072,2990.83,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0,-0.139,0.151,0.075,3246.69,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.09,-0.07,0.252,0.083,1827.24,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.14,-0.005,0.268,0.07,3113.11,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.24,0.033,0.428,0.102,2871.94,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Cardiovascular : Diabetes,Cardiovascular,Diabetes
0.19,0.046,0.331,0.073,2580.04,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.07,-0.109,0.241,0.087,1776.04,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Arthritis : Pain,Arthritis,Pain
0.29,0.155,0.419,0.068,3101.53,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Anxiety : Pain,Anxiety,Pain
-0.19,-0.429,0.047,0.122,1901.78,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Diabetes : Pain,Diabetes,Pain
-0.77,-0.943,-0.518,0.114,163.11,1.018,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.04,-0.115,0.195,0.078,778.02,1.005,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.07,-0.302,0.161,0.118,1267.06,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.11,-0.057,0.283,0.087,369.22,1.007,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.02,-0.238,0.266,0.13,944.98,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.06,-0.171,0.271,0.114,2701.59,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
0.11,-0.131,0.347,0.119,1632.71,1,BI248_524,Parkinson_Disease,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.1,-0.057,0.245,0.077,1940.25,1.001,BI248_524,Parkinson_Disease,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.13,-0.036,0.306,0.089,1672.62,1.001,BI248_524,Parkinson_Disease,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.2,0.016,0.364,0.089,1919.62,1.003,BI248_524,Parkinson_Disease,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.25,0.043,0.461,0.107,1424.62,1.002,BI248_524,Parkinson_Disease,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.23,-0.023,0.461,0.124,588.19,1.001,BI248_524,Parkinson_Disease,Vivli,Anxiety : Pain,Anxiety,Pain
0.29,0.03,0.531,0.129,695.74,1.004,BI248_524,Parkinson_Disease,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.34,0.102,0.562,0.121,838.12,1.001,BI248_524,Parkinson_Disease,Vivli,Arthritis : Pain,Arthritis,Pain
0.36,0.063,0.617,0.141,834.6,1.003,BI248_524,Parkinson_Disease,Vivli,Asthma : Pain,Asthma,Pain
0.27,0.085,0.446,0.092,1523.36,1.001,BI248_524,Parkinson_Disease,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.04,-0.16,0.246,0.105,1323.49,1.002,BI248_524,Parkinson_Disease,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.3,0.076,0.506,0.111,1806,1,BI248_524,Parkinson_Disease,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.23,-0.475,0.027,0.128,607.91,1.004,BI248_524,Parkinson_Disease,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.03,-0.268,0.316,0.148,982.2,1.001,BI248_524,Parkinson_Disease,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.28,0.024,0.512,0.124,1403.61,1.004,BI248_524,Parkinson_Disease,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.1,-0.361,0.174,0.137,1674.26,1,BI248_525,Parkinson_Disease,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.02,-0.139,0.185,0.082,1531.84,1,BI248_525,Parkinson_Disease,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.05,-0.159,0.241,0.101,2251.68,0.999,BI248_525,Parkinson_Disease,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.22,0.005,0.429,0.109,1572.02,1.001,BI248_525,Parkinson_Disease,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.21,-0.17,0.583,0.195,2094.74,1,BI248_525,Parkinson_Disease,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.28,0.024,0.52,0.127,627.62,1.002,BI248_525,Parkinson_Disease,Vivli,Anxiety : Pain,Anxiety,Pain
0.14,-0.163,0.443,0.155,772.55,1.001,BI248_525,Parkinson_Disease,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.47,0.205,0.689,0.125,893.14,1.002,BI248_525,Parkinson_Disease,Vivli,Arthritis : Pain,Arthritis,Pain
-0.25,-0.812,0.384,0.323,847.37,1.001,BI248_525,Parkinson_Disease,Vivli,Asthma : Pain,Asthma,Pain
0.39,0.215,0.551,0.088,2477.58,1.001,BI248_525,Parkinson_Disease,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.02,-0.249,0.211,0.117,1848.12,1.001,BI248_525,Parkinson_Disease,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.01,-0.405,0.41,0.214,1830.85,1.001,BI248_525,Parkinson_Disease,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.44,-0.754,-0.066,0.181,439.57,1.004,BI248_525,Parkinson_Disease,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.21,-0.213,0.589,0.211,1838.67,1,BI248_525,Parkinson_Disease,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.26,-0.781,0.34,0.295,1062.42,1.003,BI248_525,Parkinson_Disease,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.13,-0.078,0.329,0.104,1993.45,0.999,BI248_622,Parkinson_Disease,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.03,-0.164,0.22,0.096,2490.32,1,BI248_622,Parkinson_Disease,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
-0.1,-0.296,0.098,0.099,1809.44,0.999,BI248_622,Parkinson_Disease,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.35,0.181,0.518,0.088,1882.88,1,BI248_622,Parkinson_Disease,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.14,-0.112,0.402,0.133,1604.25,1,BI248_622,Parkinson_Disease,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.04,-0.181,0.269,0.115,1524.72,1.001,BI248_622,Parkinson_Disease,Vivli,Anxiety : Pain,Anxiety,Pain
-0.08,-0.309,0.151,0.119,1346.56,1.001,BI248_622,Parkinson_Disease,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.27,0.045,0.462,0.105,1679.01,1.001,BI248_622,Parkinson_Disease,Vivli,Arthritis : Pain,Arthritis,Pain
0.29,0.044,0.532,0.128,2488.76,1,BI248_622,Parkinson_Disease,Vivli,Asthma : Pain,Asthma,Pain
0.17,-0.039,0.369,0.104,2049.52,1.003,BI248_622,Parkinson_Disease,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.09,-0.113,0.297,0.104,1728.25,1.002,BI248_622,Parkinson_Disease,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.19,-0.072,0.433,0.13,2281.6,1,BI248_622,Parkinson_Disease,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.42,-0.605,-0.202,0.102,1235.39,1.002,BI248_622,Parkinson_Disease,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.13,-0.135,0.387,0.136,2106.06,1.001,BI248_622,Parkinson_Disease,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.23,-0.018,0.46,0.124,2519.67,1,BI248_622,Parkinson_Disease,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.13,-0.071,0.322,0.099,1835.13,1.001,BI248_629,Restless_legs_syndrome,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.32,0.122,0.491,0.095,2059.26,1,BI248_629,Restless_legs_syndrome,Vivli,Arthritis : Pain,Arthritis,Pain
0.08,-0.17,0.322,0.127,1871.88,1.002,BI248_629,Restless_legs_syndrome,Vivli,Anxiety : Pain,Anxiety,Pain
0.13,-0.095,0.365,0.118,1260.55,1.002,BI248_629,Restless_legs_syndrome,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.01,-0.233,0.256,0.127,1830.78,1.001,BI248_629,Restless_legs_syndrome,Vivli,Asthma : Pain,Asthma,Pain
0.19,0.002,0.369,0.094,2623.57,1,BI248_629,Restless_legs_syndrome,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.04,-0.28,0.195,0.124,2355.79,1.001,BI248_629,Restless_legs_syndrome,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.1,-0.126,0.334,0.117,1445.39,1,BI248_629,Restless_legs_syndrome,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.09,-0.129,0.319,0.116,2267.68,1,BI248_629,Restless_legs_syndrome,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
-0.06,-0.304,0.189,0.129,1361.41,1.002,BI248_629,Restless_legs_syndrome,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.64,-0.86,-0.344,0.135,287.2,1.009,BI248_629,Restless_legs_syndrome,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.12,-0.127,0.349,0.122,1255.35,1.004,BI248_629,Restless_legs_syndrome,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.18,-0.096,0.447,0.14,1601.8,1.001,BI248_629,Restless_legs_syndrome,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.15,-0.123,0.409,0.136,1314.29,1.002,BI248_629,Restless_legs_syndrome,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.02,-0.315,0.275,0.154,584.8,1.008,BI248_629,Restless_legs_syndrome,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.43,0.297,0.553,0.066,1721.09,1.001,BI502_254,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.31,0.128,0.475,0.089,1357.99,1.004,BI502_254,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.21,0.036,0.385,0.09,1694.19,1.001,BI502_254,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
0.09,-0.129,0.312,0.112,1224.11,1.003,BI502_254,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
-0.08,-0.313,0.157,0.12,1147.57,1.003,BI502_254,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.54,-0.732,-0.317,0.109,303.74,1.013,BI502_254,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.13,-0.03,0.291,0.082,1483.1,1,BI502_254,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.2,-0.397,0.015,0.108,896.81,1.003,BI502_254,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.03,-0.166,0.217,0.098,1440.06,1.002,BI502_254,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.23,0.038,0.412,0.094,949.77,1.005,BI502_254,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.22,0.012,0.416,0.104,983.35,1.001,BI502_254,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.04,-0.277,0.198,0.121,596.11,1.006,BI502_254,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.08,-0.139,0.298,0.111,2699.52,1,BI502_254,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
0,-0.227,0.223,0.115,2310.71,1.001,BI502_254,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
0.11,-0.138,0.351,0.124,1594.83,1,BI502_254,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.05,-0.148,0.252,0.104,1282.8,1.001,BI502_256,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.08,-0.215,0.393,0.151,446.45,1.004,BI502_256,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.12,-0.113,0.355,0.121,1599.78,1.001,BI502_256,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
-0.03,-0.396,0.35,0.191,1149.73,1.001,BI502_256,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
-0.31,-0.601,-0.019,0.152,574.16,1.011,BI502_256,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.57,-0.841,-0.21,0.163,271.73,1.008,BI502_256,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.17,-0.05,0.374,0.111,1329.85,1.001,BI502_256,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.25,-0.065,0.535,0.153,2013.06,1.002,BI502_256,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.28,-0.518,-0.009,0.133,511.21,1.008,BI502_256,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.2,-0.072,0.462,0.137,859.35,1.004,BI502_256,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.28,-0.089,0.62,0.185,904.26,1.001,BI502_256,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.04,-0.258,0.356,0.159,659.88,1.004,BI502_256,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.34,-0,0.636,0.164,1365.46,1.004,BI502_256,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.09,-0.198,0.376,0.145,1503.41,1.002,BI502_256,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
-0.3,-0.77,0.228,0.255,293.64,1,BI502_256,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
-0.01,-0.746,0.707,0.385,632.43,1.002,BI502_316,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
-0,-0.718,0.735,0.392,598.22,1.005,BI502_316,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.01,-0.669,0.667,0.361,349.79,1.011,BI502_316,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
-0,-0.689,0.724,0.379,2218.23,1,BI502_316,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
0.02,-0.708,0.702,0.377,810.52,1.004,BI502_316,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.14,-0.745,0.459,0.323,1285.94,1.001,BI502_316,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
-0.27,-0.764,0.246,0.264,539.02,1.002,BI502_316,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.02,-0.702,0.618,0.353,2566.95,1.001,BI502_316,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.08,-0.685,0.51,0.32,1195.12,0.999,BI502_316,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.25,-0.182,0.614,0.208,919.04,1,BI502_316,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.04,-0.727,0.637,0.361,3119.92,0.999,BI502_316,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.11,-0.745,0.536,0.345,1034.48,1.002,BI502_316,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
-0.06,-0.72,0.559,0.343,2883,1,BI502_316,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.18,-0.73,0.347,0.287,1438.85,1,BI502_316,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
-0.01,-0.7,0.632,0.357,1377.37,1.002,BI502_316,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.41,0.059,0.709,0.171,2720.98,1,BI502_317,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
-0.19,-0.768,0.418,0.311,1521.02,1.001,BI502_317,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.12,-0.265,0.473,0.19,1325.2,1.002,BI502_317,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
-0.17,-0.764,0.447,0.325,1220.47,1.002,BI502_317,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
-0.11,-0.748,0.499,0.328,1229.31,1.002,BI502_317,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.13,-0.691,0.455,0.304,1171.99,1.001,BI502_317,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
-0.21,-0.688,0.288,0.251,722.54,1.001,BI502_317,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.11,-0.719,0.478,0.318,1457.3,1.001,BI502_317,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.07,-0.696,0.501,0.317,1075.1,1,BI502_317,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
-0.22,-0.771,0.297,0.275,554.06,1.003,BI502_317,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.05,-0.666,0.525,0.317,1534.58,1,BI502_317,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.03,-0.673,0.573,0.33,1529.78,1.001,BI502_317,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
-0.18,-0.743,0.382,0.296,1691.82,1.001,BI502_317,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.12,-0.736,0.454,0.316,1556.68,1.003,BI502_317,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
-0.02,-0.685,0.558,0.333,1429.99,1.003,BI502_317,Hypertension,Vivli,Asthma : Diabetes,Asthma,Diabetes
0.17,-0.008,0.339,0.088,1808.95,1,BI502_327,Hypertension,Vivli,Arthritis : Pain,Arthritis,Pain
0.02,-0.213,0.25,0.118,1362.53,1,BI502_327,Hypertension,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.06,-0.179,0.29,0.121,1897.39,0.999,BI502_327,Hypertension,Vivli,Anxiety : Pain,Anxiety,Pain
-0.07,-0.356,0.207,0.148,1751.96,1.001,BI502_327,Hypertension,Vivli,Asthma : Pain,Asthma,Pain
-0.04,-0.296,0.212,0.13,1278.92,1,BI502_327,Hypertension,Vivli,Diabetes : Pain,Diabetes,Pain
-0.65,-0.898,-0.336,0.147,228.28,1.02,BI502_327,Hypertension,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.16,-0.059,0.38,0.114,1356.66,1.003,BI502_327,Hypertension,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.02,-0.277,0.258,0.139,1297.16,1.002,BI502_327,Hypertension,Vivli,Arthritis : Asthma,Arthritis,Asthma
-0.08,-0.333,0.167,0.129,862.45,1.008,BI502_327,Hypertension,Vivli,Arthritis : Diabetes,Arthritis,Diabetes
0.12,-0.154,0.373,0.134,1021.35,1,BI502_327,Hypertension,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.24,-0.041,0.5,0.137,1316.39,1.002,BI502_327,Hypertension,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.13,-0.443,0.175,0.159,396.49,1.004,BI502_327,Hypertension,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.24,-0.07,0.521,0.151,901.9,1.001,BI502_327,Hypertension,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.48,-0.86,-0.019,0.225,292.89,1.008,BI502_327,Hypertension,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
