mean,Var1,Var2,q2.5,q97.5,rhat,sd,ess_bulk,ess_tail,condition,comorbidity,repo
-0.26,Arthritis,Acid-related disease,-0.282,-0.236,1.001,0.012,2500.09,2263.18,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,SAIL
0.14,Arthritis,Anxiety,0.116,0.166,1,0.013,2052.64,2471,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,SAIL
0.1,Asthma,Arthritis,0.076,0.128,1,0.013,2301.38,2042.36,Diabetes_Mellitus_Type_2,Asthma : Arthritis,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,SAIL
0.14,Anxiety,Acid-related disease,0.115,0.165,1.001,0.013,2349.43,2196.93,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,SAIL
0.12,Asthma,Acid-related disease,0.089,0.144,1.002,0.014,2426.74,2366.62,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,SAIL
0.17,Asthma,Anxiety,0.143,0.196,1,0.014,2548.99,2755.76,Diabetes_Mellitus_Type_2,Asthma : Anxiety,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Asthma : Asthma,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Hypertension,Pain : Pain,SAIL
0.47,Pain,Arthritis,0.452,0.491,1.001,0.01,2936.95,2211.67,Hypertension,Pain : Arthritis,SAIL
0.16,Pain,Acid-related disease,0.134,0.184,1,0.013,3606.76,2428.78,Hypertension,Pain : Acid-related disease,SAIL
0.3,Pain,Anxiety,0.273,0.321,1,0.012,2652.17,2340.39,Hypertension,Pain : Anxiety,SAIL
0.24,Pain,Asthma,0.22,0.27,1.001,0.013,3821.69,2527.27,Hypertension,Pain : Asthma,SAIL
0.12,Pain,Diabetes,0.091,0.142,1.001,0.013,4185,2947.98,Hypertension,Pain : Diabetes,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Hypertension,Arthritis : Arthritis,SAIL
-0.28,Arthritis,Acid-related disease,-0.304,-0.253,1.002,0.013,2894.17,2285.1,Hypertension,Arthritis : Acid-related disease,SAIL
0.13,Arthritis,Anxiety,0.104,0.156,1.001,0.014,3691.42,2507.82,Hypertension,Arthritis : Anxiety,SAIL
0.07,Asthma,Arthritis,0.045,0.098,1.002,0.013,2792.47,2323.76,Hypertension,Asthma : Arthritis,SAIL
0,Diabetes,Arthritis,-0.024,0.03,1.002,0.014,3249.68,2771.74,Hypertension,Diabetes : Arthritis,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Hypertension,Acid-related disease : Acid-related disease,SAIL
0.18,Anxiety,Acid-related disease,0.151,0.204,1,0.014,2856.02,2631.72,Hypertension,Anxiety : Acid-related disease,SAIL
0.16,Asthma,Acid-related disease,0.131,0.185,1.002,0.014,3009.93,2552.75,Hypertension,Asthma : Acid-related disease,SAIL
0.08,Diabetes,Acid-related disease,0.056,0.113,1.001,0.014,2894.68,2640.84,Hypertension,Diabetes : Acid-related disease,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Hypertension,Anxiety : Anxiety,SAIL
0.17,Asthma,Anxiety,0.143,0.201,1,0.015,3151.34,2536.89,Hypertension,Asthma : Anxiety,SAIL
0.07,Diabetes,Anxiety,0.046,0.104,1,0.015,2509.78,2338.22,Hypertension,Diabetes : Anxiety,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Hypertension,Asthma : Asthma,SAIL
0.06,Diabetes,Asthma,0.032,0.09,1,0.015,3223.87,2503.56,Hypertension,Diabetes : Asthma,SAIL
1,Diabetes,Diabetes,1,1,NA,0,NA,NA,Hypertension,Diabetes : Diabetes,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Osteoarthritis,Cardiovascular : Cardiovascular,SAIL
0.05,Cardiovascular,Acid-related disease,0.023,0.072,1,0.013,4007.18,2585.64,Osteoarthritis,Cardiovascular : Acid-related disease,SAIL
0.14,Cardiovascular,Anxiety,0.113,0.162,1.004,0.013,4169.55,2811.69,Osteoarthritis,Cardiovascular : Anxiety,SAIL
0.13,Cardiovascular,Asthma,0.101,0.153,1.001,0.013,4005.06,2568.87,Osteoarthritis,Cardiovascular : Asthma,SAIL
0.08,Thyroid disorders,Cardiovascular,0.052,0.115,1.002,0.016,3750.02,2547.04,Osteoarthritis,Thyroid disorders : Cardiovascular,SAIL
0.41,Diabetes,Cardiovascular,0.38,0.437,1.001,0.014,3580.46,2479.9,Osteoarthritis,Diabetes : Cardiovascular,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Osteoarthritis,Acid-related disease : Acid-related disease,SAIL
0.17,Anxiety,Acid-related disease,0.149,0.2,1,0.013,3497.96,2664.07,Osteoarthritis,Anxiety : Acid-related disease,SAIL
0.18,Asthma,Acid-related disease,0.15,0.202,1,0.013,3156,2515.6,Osteoarthritis,Asthma : Acid-related disease,SAIL
0.05,Thyroid disorders,Acid-related disease,0.017,0.084,1,0.017,3626.11,2644.49,Osteoarthritis,Thyroid disorders : Acid-related disease,SAIL
0.1,Diabetes,Acid-related disease,0.066,0.127,1,0.016,3537.77,2709.68,Osteoarthritis,Diabetes : Acid-related disease,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Osteoarthritis,Anxiety : Anxiety,SAIL
0.18,Asthma,Anxiety,0.156,0.209,1,0.013,3038.13,2558.04,Osteoarthritis,Asthma : Anxiety,SAIL
0.06,Thyroid disorders,Anxiety,0.022,0.088,1.002,0.017,3755.65,2393.56,Osteoarthritis,Thyroid disorders : Anxiety,SAIL
0.13,Diabetes,Anxiety,0.092,0.158,1,0.017,3307.2,2468.31,Osteoarthritis,Diabetes : Anxiety,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Osteoarthritis,Asthma : Asthma,SAIL
0.07,Thyroid disorders,Asthma,0.04,0.106,1.001,0.017,3210.42,2260.96,Osteoarthritis,Thyroid disorders : Asthma,SAIL
0.14,Diabetes,Asthma,0.104,0.167,1.001,0.016,3281.82,2396.52,Osteoarthritis,Diabetes : Asthma,SAIL
1,Thyroid disorders,Thyroid disorders,1,1,NA,0,NA,NA,Osteoarthritis,Thyroid disorders : Thyroid disorders,SAIL
0.12,Thyroid disorders,Diabetes,0.076,0.153,1,0.019,2670.53,2551.05,Osteoarthritis,Thyroid disorders : Diabetes,SAIL
1,Diabetes,Diabetes,1,1,NA,0,NA,NA,Osteoarthritis,Diabetes : Diabetes,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Osteoporosis,Pain : Pain,SAIL
0.29,Pain,Cardiovascular,0.269,0.312,1.001,0.011,2571.23,2401.31,Osteoporosis,Pain : Cardiovascular,SAIL
0.45,Pain,Arthritis,0.43,0.47,1.001,0.01,2016.39,2441.31,Osteoporosis,Pain : Arthritis,SAIL
0.18,Pain,Acid-related disease,0.159,0.202,1.001,0.011,2365.39,2355.5,Osteoporosis,Pain : Acid-related disease,SAIL
0.32,Pain,Anxiety,0.297,0.343,1.002,0.012,2858.8,2468.51,Osteoporosis,Pain : Anxiety,SAIL
0.23,Pain,Asthma,0.209,0.254,1.002,0.012,2895.29,2469.95,Osteoporosis,Pain : Asthma,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Osteoporosis,Cardiovascular : Cardiovascular,SAIL
0.39,Cardiovascular,Arthritis,0.372,0.414,1,0.011,2937.05,2639.79,Osteoporosis,Cardiovascular : Arthritis,SAIL
0.02,Cardiovascular,Acid-related disease,-0.003,0.044,1,0.012,2529.19,2105.54,Osteoporosis,Cardiovascular : Acid-related disease,SAIL
0.09,Cardiovascular,Anxiety,0.07,0.118,1.002,0.012,3008.65,2618.67,Osteoporosis,Cardiovascular : Anxiety,SAIL
0.11,Cardiovascular,Asthma,0.082,0.13,1.001,0.013,2710.46,2635.41,Osteoporosis,Cardiovascular : Asthma,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Osteoporosis,Arthritis : Arthritis,SAIL
-0.26,Arthritis,Acid-related disease,-0.279,-0.234,1.001,0.011,2248.18,2367.19,Osteoporosis,Arthritis : Acid-related disease,SAIL
0.11,Arthritis,Anxiety,0.089,0.139,1.001,0.013,3030.15,2635.22,Osteoporosis,Arthritis : Anxiety,SAIL
0.05,Asthma,Arthritis,0.026,0.075,1,0.012,2531.53,2316.51,Osteoporosis,Asthma : Arthritis,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Osteoporosis,Acid-related disease : Acid-related disease,SAIL
0.17,Anxiety,Acid-related disease,0.149,0.198,1.001,0.012,2966.03,2605.46,Osteoporosis,Anxiety : Acid-related disease,SAIL
0.16,Asthma,Acid-related disease,0.138,0.185,1.001,0.012,2929.73,2720.81,Osteoporosis,Asthma : Acid-related disease,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Osteoporosis,Anxiety : Anxiety,SAIL
0.16,Asthma,Anxiety,0.134,0.186,1,0.013,2622.33,2235.7,Osteoporosis,Asthma : Anxiety,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Osteoporosis,Asthma : Asthma,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Psoriasis,Cardiovascular : Cardiovascular,SAIL
0.4,Pain,Cardiovascular,0.375,0.417,1.002,0.011,1666.98,1819.4,Psoriasis,Pain : Cardiovascular,SAIL
0.57,Cardiovascular,Arthritis,0.548,0.585,1,0.01,1700.01,1893.4,Psoriasis,Cardiovascular : Arthritis,SAIL
0.19,Cardiovascular,Anxiety,0.168,0.22,1.002,0.013,1812.22,2145.44,Psoriasis,Cardiovascular : Anxiety,SAIL
0.1,Cardiovascular,Asthma,0.067,0.124,1.001,0.015,2009.09,2408.46,Psoriasis,Cardiovascular : Asthma,SAIL
0.03,Cardiovascular,Acid-related disease,-0.004,0.057,1,0.015,1514.96,2297.8,Psoriasis,Cardiovascular : Acid-related disease,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Psoriasis,Pain : Pain,SAIL
0.55,Pain,Arthritis,0.527,0.565,1.001,0.01,2334.8,2361.35,Psoriasis,Pain : Arthritis,SAIL
0.37,Pain,Anxiety,0.344,0.39,1,0.012,2020.06,2394.03,Psoriasis,Pain : Anxiety,SAIL
0.27,Pain,Asthma,0.247,0.299,1,0.013,1947.74,2316.54,Psoriasis,Pain : Asthma,SAIL
0.18,Pain,Acid-related disease,0.15,0.204,1,0.014,2240.11,2636.07,Psoriasis,Pain : Acid-related disease,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Psoriasis,Arthritis : Arthritis,SAIL
0.19,Arthritis,Anxiety,0.165,0.217,1.002,0.013,2398.16,2241.92,Psoriasis,Arthritis : Anxiety,SAIL
0.09,Asthma,Arthritis,0.061,0.117,1.003,0.014,1473.88,1769.64,Psoriasis,Asthma : Arthritis,SAIL
-0.29,Arthritis,Acid-related disease,-0.321,-0.266,1.001,0.014,1899.75,2190.27,Psoriasis,Arthritis : Acid-related disease,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Psoriasis,Anxiety : Anxiety,SAIL
0.22,Asthma,Anxiety,0.192,0.25,1.001,0.015,1700.49,2056.47,Psoriasis,Asthma : Anxiety,SAIL
0.21,Anxiety,Acid-related disease,0.184,0.244,1.002,0.015,2024.38,2535.79,Psoriasis,Anxiety : Acid-related disease,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Psoriasis,Asthma : Asthma,SAIL
0.2,Asthma,Acid-related disease,0.171,0.23,1.001,0.015,2005.15,2692.29,Psoriasis,Asthma : Acid-related disease,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Psoriasis,Acid-related disease : Acid-related disease,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Cardiovascular,SAIL
0.25,Pain,Cardiovascular,0.225,0.27,1,0.011,2794.07,2659.04,Pulmonary_Disease_Chronic_Obstructive,Pain : Cardiovascular,SAIL
0.01,Cardiovascular,Acid-related disease,-0.016,0.032,0.999,0.012,3326.05,2704.28,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Acid-related disease,SAIL
0.34,Cardiovascular,Arthritis,0.316,0.359,1.001,0.011,2536.54,2565.15,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Arthritis,SAIL
0.1,Cardiovascular,Anxiety,0.08,0.128,1,0.012,2879.84,2714.15,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Anxiety,SAIL
0.42,Diabetes,Cardiovascular,0.393,0.446,1.001,0.014,2755.45,2382.62,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Cardiovascular,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Pain : Pain,SAIL
0.17,Pain,Acid-related disease,0.152,0.197,1.001,0.012,3090.54,2453.54,Pulmonary_Disease_Chronic_Obstructive,Pain : Acid-related disease,SAIL
0.43,Pain,Arthritis,0.413,0.455,1,0.011,2928.07,2475.37,Pulmonary_Disease_Chronic_Obstructive,Pain : Arthritis,SAIL
0.3,Pain,Anxiety,0.281,0.327,1,0.012,3066.8,2655.39,Pulmonary_Disease_Chronic_Obstructive,Pain : Anxiety,SAIL
0.15,Pain,Diabetes,0.121,0.177,1.002,0.015,3433.01,2695.47,Pulmonary_Disease_Chronic_Obstructive,Pain : Diabetes,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Acid-related disease : Acid-related disease,SAIL
-0.27,Arthritis,Acid-related disease,-0.293,-0.246,1,0.012,2858.05,2633.77,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Acid-related disease,SAIL
0.15,Anxiety,Acid-related disease,0.127,0.174,1,0.012,3090.41,2580.02,Pulmonary_Disease_Chronic_Obstructive,Anxiety : Acid-related disease,SAIL
0.04,Diabetes,Acid-related disease,0.016,0.072,1,0.015,3335.55,2700.61,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Acid-related disease,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Arthritis,SAIL
0.11,Arthritis,Anxiety,0.083,0.131,1.001,0.012,2907.18,2587.99,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Anxiety,SAIL
0.04,Diabetes,Arthritis,0.009,0.069,1.001,0.015,2491.99,2421.36,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Arthritis,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Anxiety : Anxiety,SAIL
0.06,Diabetes,Anxiety,0.034,0.094,1,0.016,3079.94,2556.73,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Anxiety,SAIL
1,Diabetes,Diabetes,1,1,NA,0,NA,NA,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Diabetes,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Restless_legs_syndrome,Pain : Pain,SAIL
0.33,Pain,Cardiovascular,0.298,0.356,1.002,0.015,1665.67,2134.68,Restless_legs_syndrome,Pain : Cardiovascular,SAIL
0.46,Pain,Arthritis,0.436,0.486,1.001,0.013,1684.55,1899.3,Restless_legs_syndrome,Pain : Arthritis,SAIL
0.35,Pain,Anxiety,0.318,0.376,1.001,0.015,1677.93,1914.11,Restless_legs_syndrome,Pain : Anxiety,SAIL
0.12,Pain,Acid-related disease,0.085,0.149,1,0.016,1828.11,1748.31,Restless_legs_syndrome,Pain : Acid-related disease,SAIL
0.26,Pain,Asthma,0.226,0.289,1.001,0.016,1774.37,2312.31,Restless_legs_syndrome,Pain : Asthma,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Restless_legs_syndrome,Cardiovascular : Cardiovascular,SAIL
0.42,Cardiovascular,Arthritis,0.391,0.443,1.001,0.013,2301.65,2346.94,Restless_legs_syndrome,Cardiovascular : Arthritis,SAIL
0.11,Cardiovascular,Anxiety,0.077,0.137,1,0.015,2580,1992.64,Restless_legs_syndrome,Cardiovascular : Anxiety,SAIL
0,Cardiovascular,Acid-related disease,-0.03,0.035,1.001,0.016,2262.26,2250.11,Restless_legs_syndrome,Cardiovascular : Acid-related disease,SAIL
0.1,Cardiovascular,Asthma,0.064,0.128,1.002,0.017,2444.34,2482.85,Restless_legs_syndrome,Cardiovascular : Asthma,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Restless_legs_syndrome,Arthritis : Arthritis,SAIL
0.14,Arthritis,Anxiety,0.117,0.173,1,0.015,2402.2,2523.22,Restless_legs_syndrome,Arthritis : Anxiety,SAIL
-0.36,Arthritis,Acid-related disease,-0.388,-0.33,1.002,0.015,1764.93,2162.76,Restless_legs_syndrome,Arthritis : Acid-related disease,SAIL
0.06,Asthma,Arthritis,0.031,0.095,1,0.016,2090.88,2268.18,Restless_legs_syndrome,Asthma : Arthritis,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Restless_legs_syndrome,Anxiety : Anxiety,SAIL
0.16,Anxiety,Acid-related disease,0.133,0.196,1,0.016,2413.9,2286.85,Restless_legs_syndrome,Anxiety : Acid-related disease,SAIL
