trial,Omega,tail_ess,bulk_ess
GAL-ALZ-302,Omega.1.1,NA,NA
C0168T29,Omega.1.1,NA,NA
Gal-Int-11_24m,Omega.1.1,NA,NA
Gal-Int-18_24m,Omega.1.1,NA,NA
C0524T05,Omega.1.1,NA,NA
C0524T06,Omega.1.1,NA,NA
C0524T09,Omega.1.1,NA,NA
C0524T08,Omega.1.1,NA,NA
C0743T08,Omega.1.1,NA,NA
C0524T11,Omega.1.1,NA,NA
C0743T09,Omega.1.1,NA,NA
C0524T12,Omega.1.1,NA,NA
DIA3009,Omega.1.1,NA,NA
ART3001,Omega.1.1,NA,NA
CNTO1275PSA3001,Omega.1.1,NA,NA
CNTO1275PSA3002,Omega.1.1,NA,NA
DIA3005,Omega.1.1,NA,NA
DIA3002,Omega.1.1,NA,NA
DIA3010,Omega.1.1,NA,NA
DIA3006,Omega.1.1,NA,NA
DIA3012,Omega.1.1,NA,NA
DIA3015,Omega.1.1,NA,NA
28431754DIA3014,Omega.1.1,NA,NA
28431754DIA3011,Omega.1.1,NA,NA
BI107_210,Omega.2.1,2862.34903808733,3033.72258866801
BI1245_36,Omega.2.1,3029.12740689587,3088.91873806694
BI1276_1,Omega.2.1,2803.2342565093,2964.33991925052
BI244_2484,Omega.2.1,2890.06219761151,3054.32390729574
BI248_524,Omega.2.1,3026.93365789825,3175.58205774572
BI248_525,Omega.2.1,2949.01022860958,2999.2167847418
BI248_622,Omega.2.1,3165.88484158258,3096.73674513104
BI248_629,Omega.2.1,2829.53158480231,3138.69082381299
BI502_254,Omega.2.1,2905.60072061859,3040.09638395952
BI502_256,Omega.2.1,3025.13601391254,3109.4120862785
BI502_316,Omega.2.1,2867.31410051214,2950.95529852724
BI502_317,Omega.2.1,2866.08599209758,2449.45594138402
BI502_327,Omega.2.1,2985.27602896585,3001.08739697187
BI502_376,Omega.2.1,2908.29490836267,2829.63921441097
BI502_391,Omega.2.1,2925.51037834962,2953.63690733628
BI502_392,Omega.2.1,2926.67269270272,2967.02885835877
BI502_396,Omega.2.1,2902.29400158127,2666.99468520206
BI502_397,Omega.2.1,2854.84461962765,2706.08236413369
BI502_413,Omega.2.1,2733.38523698351,2829.61465381955
BI502_550,Omega.2.1,2947.55957575875,2894.26048109644
LILLY_B3D_MC_GHAC,Omega.2.1,2847.61105368784,2921.2012628832
LILLY_B3D_US_GHBZ,Omega.2.1,2672.78501521867,2999.96609990633
LILLY_H6D_MC_LVGY,Omega.2.1,2545.36433575457,3056.38455942708
LILLY_H6D_MC_LVHB,Omega.2.1,2892.807774422,3047.90838387904
LILLY_H6D_MC_LVHG,Omega.2.1,2552.96896457713,3001.1086227012
LILLY_H6D_MC_LVHJ,Omega.2.1,2509.61453101878,2975.90376332566
LILLY_H6D_MC_LVHR,Omega.2.1,2793.82837418439,2936.01213121572
LILLY_H6D_MC_LVHS,Omega.2.1,2775.20136723779,2943.07750198926
LILLY_H6D_MC_LVID,Omega.2.1,2802.9617101421,2995.76135505051
LILLY_H9X_MC_GBCF,Omega.2.1,2893.67406938795,3098.30423514644
LILLY_H9X_MC_GBDA,Omega.2.1,2948.68767458357,2879.0761149448
LILLY_H9X_MC_GBDB,Omega.2.1,3009.93535033409,3048.2580600068
LILLY_H9X_MC_GBDC,Omega.2.1,2921.57697817627,2676.64914577915
LILLY_H9X_MC_GBDD,Omega.2.1,2796.00084284898,2791.71487980244
LILLY_H9X_MC_GBDE,Omega.2.1,3026.77946273386,3036.64886900823
LILLY_H9X_MC_GBDG,Omega.2.1,2812.53411661206,3176.05122674963
RCHNA25220,Omega.2.1,2999.90842217844,3077.35084555323
RCHWA19924,Omega.2.1,2956.80165986983,2905.88042178238
TKASYR322_305,Omega.2.1,2831.10135049813,3032.52025070037
TKASYR322_402,Omega.2.1,2929.75530946854,2930.73773314829
GSK101468_169,Omega.2.1,2713.20639929705,2826.60248380365
GSK101468_204,Omega.2.1,2784.9822006608,2701.33060234686
GSK101468_205,Omega.2.1,2897.38798601204,2865.1188780182
GSK101468_249,Omega.2.1,2985.32715165918,3095.13298435422
GSK200109,Omega.2.1,2990.65684873063,2927.55010327944
GSK200110,Omega.2.1,2941.68347992652,3196.14151638685
GSK201315,Omega.2.1,2946.3829207137,2949.7035242816
GSKAC4116135,Omega.2.1,2847.39549142139,2994.85521142199
GSKAVA102670_v02,Omega.2.1,2944.98766943101,2783.4227890904
GSKAVA102672_v02,Omega.2.1,2967.87904774935,2919.66037707607
GSKAVA105640_v02,Omega.2.1,2989.98871971197,3056.56741539017
GSKB2C112060,Omega.2.1,2847.43247512268,2997.61578429615
GSKCOR103561,Omega.2.1,2948.36522730217,2962.40427260703
GSKDB2113360_v02,Omega.2.1,2743.69102333043,3007.48317281181
GSKFFA112059,Omega.2.1,3002.92464112353,2708.40520325458
GSKFFA115285,Omega.2.1,2823.59887460087,2936.69309005463
GSKHGS1006_C1056_v05,Omega.2.1,2565.51204419326,2953.88975353582
GSKHGS1006_C1057_v03,Omega.2.1,2925.9127766067,3110.0795062349
GSKMEA115588,Omega.2.1,2908.79339675511,3063.10039583732
GSKROR104836,Omega.2.1,2935.57687971631,2444.66056714479
GAL-ALZ-302,Omega.2.1,2808.56543349578,3256.7727665464
C0168T29,Omega.2.1,2948.97796840196,2905.16711995636
Gal-Int-11_24m,Omega.2.1,2945.88286268478,3214.75527108831
Gal-Int-18_24m,Omega.2.1,2757.95872896723,3012.075608385
C0524T05,Omega.2.1,3015.46442905386,2837.08101502851
C0524T06,Omega.2.1,2545.89967145091,2817.03184207937
C0524T09,Omega.2.1,2861.5740763362,3033.57258263114
C0524T08,Omega.2.1,2511.30612492616,3095.51928732923
C0743T08,Omega.2.1,2947.92901621812,3051.43194184645
C0524T11,Omega.2.1,2865.90721494354,2628.40551452969
C0743T09,Omega.2.1,2938.8348965315,3000.71956807317
C0524T12,Omega.2.1,2988.8505376559,2823.84162819924
DIA3009,Omega.2.1,2948.81668338165,2864.59812846813
ART3001,Omega.2.1,2664.84710777992,2891.30599959067
CNTO1275PSA3001,Omega.2.1,3033.93096007567,3091.1760311287
CNTO1275PSA3002,Omega.2.1,2741.36882675311,2989.12111527052
DIA3005,Omega.2.1,2908.76223360091,3119.10234491116
DIA3002,Omega.2.1,3121.94338638895,3004.43685735216
DIA3010,Omega.2.1,2828.7752876702,2827.49979902067
DIA3006,Omega.2.1,2957.52641156755,2820.41907270371
DIA3012,Omega.2.1,3159.60621067597,3100.71141008295
DIA3015,Omega.2.1,2867.40421906964,2898.93019180158
28431754DIA3014,Omega.2.1,2773.51412423243,3041.07132774471
28431754DIA3011,Omega.2.1,3028.77842340523,2865.12698487558
BI107_210,Omega.3.1,2609.35548141561,3135.7874050666
BI1245_36,Omega.3.1,3028.66060995478,2988.90320372044
BI1276_1,Omega.3.1,2780.56886612614,3188.04802016425
BI244_2484,Omega.3.1,2986.74474271069,3047.8622670529
BI248_524,Omega.3.1,2960.23706073364,3089.3275367617
BI248_525,Omega.3.1,2826.87265425303,2911.70473437748
BI248_622,Omega.3.1,2829.26611137422,3078.71896617965
BI248_629,Omega.3.1,2592.0280940775,3024.88141712577
BI502_254,Omega.3.1,2884.22298243081,3060.21928295257
BI502_256,Omega.3.1,2753.61606866374,2915.10251012086
BI502_316,Omega.3.1,3004.13624540372,2799.23786584538
BI502_317,Omega.3.1,2918.23411110935,3050.23105150982
BI502_327,Omega.3.1,3042.63864525646,2993.68622232335
BI502_376,Omega.3.1,2982.79336624836,2905.64078864375
BI502_391,Omega.3.1,2847.76228782706,2995.29434661643
BI502_392,Omega.3.1,2406.72092696905,2505.25378262042
BI502_396,Omega.3.1,2889.37193316232,2777.38056011969
BI502_397,Omega.3.1,2795.4998847292,3193.58493047273
BI502_413,Omega.3.1,3059.35582224713,3114.4030427337
BI502_550,Omega.3.1,2830.59441400392,2851.06146019066
LILLY_B3D_MC_GHAC,Omega.3.1,2848.39040406203,3087.39358984182
LILLY_B3D_US_GHBZ,Omega.3.1,2885.96882032567,2905.4987927477
LILLY_H6D_MC_LVGY,Omega.3.1,2592.21259403959,2933.63636143798
LILLY_H6D_MC_LVHB,Omega.3.1,2990.85737492967,3111.15353816566
LILLY_H6D_MC_LVHG,Omega.3.1,2811.78152934406,3076.90624365619
LILLY_H6D_MC_LVHJ,Omega.3.1,2902.67142981119,2848.40623072858
LILLY_H6D_MC_LVHR,Omega.3.1,2873.88891046125,3153.64313785538
LILLY_H6D_MC_LVHS,Omega.3.1,2904.6951241245,2655.11769761823
LILLY_H6D_MC_LVID,Omega.3.1,2759.23847538297,2930.15049002093
LILLY_H9X_MC_GBCF,Omega.3.1,2938.29241445236,2967.82738931883
LILLY_H9X_MC_GBDA,Omega.3.1,3028.94177334538,3070.63358275795
LILLY_H9X_MC_GBDB,Omega.3.1,2732.64890366463,2980.85295988254
LILLY_H9X_MC_GBDC,Omega.3.1,2908.41950605022,2983.97900971347
LILLY_H9X_MC_GBDD,Omega.3.1,2863.6494153974,2977.94957784995
LILLY_H9X_MC_GBDE,Omega.3.1,2826.12286484884,3067.96640936623
LILLY_H9X_MC_GBDG,Omega.3.1,2908.88689232334,2999.39242175036
RCHNA25220,Omega.3.1,2574.66032611625,2850.04683888873
RCHWA19924,Omega.3.1,3120.14151433144,3108.88692523311
TKASYR322_305,Omega.3.1,2921.18674819225,2981.79683365406
TKASYR322_402,Omega.3.1,2810.48268619679,2810.54855330821
GSK101468_169,Omega.3.1,2977.92362626004,3055.18148724162
GSK101468_204,Omega.3.1,2631.7328325254,2853.98722457566
GSK101468_205,Omega.3.1,2904.53346343117,3073.54735733028
GSK101468_249,Omega.3.1,2854.15100254701,2916.90443846807
GSK200109,Omega.3.1,2752.99975350885,3124.8607996927
GSK200110,Omega.3.1,2904.88111699318,3196.11629481773
GSK201315,Omega.3.1,2777.16032905436,2640.81985051363
GSKAC4116135,Omega.3.1,2947.91398033829,2961.79525953588
GSKAVA102670_v02,Omega.3.1,2946.23292569089,2882.88673786737
GSKAVA102672_v02,Omega.3.1,2811.09035784732,2868.25502253006
GSKAVA105640_v02,Omega.3.1,2944.2121054418,3063.87955075934
GSKB2C112060,Omega.3.1,2801.47483040131,3116.39033429984
GSKCOR103561,Omega.3.1,2632.78232417125,2925.58166608236
GSKDB2113360_v02,Omega.3.1,2598.2138948267,2810.69792555073
GSKFFA112059,Omega.3.1,2928.88822477344,3112.72236402702
GSKFFA115285,Omega.3.1,2898.0746227529,2934.46266681923
GSKHGS1006_C1056_v05,Omega.3.1,2845.48594458291,3029.65787467332
GSKHGS1006_C1057_v03,Omega.3.1,3018.14884273928,2946.68215489523
GSKMEA115588,Omega.3.1,2749.2332780828,2897.23657304885
GSKROR104836,Omega.3.1,2769.71194494361,2726.06736348357
GAL-ALZ-302,Omega.3.1,3030.39068023404,3174.64111404321
C0168T29,Omega.3.1,2847.56913814291,2949.21655650961
Gal-Int-11_24m,Omega.3.1,2664.70671078373,3140.69944260826
Gal-Int-18_24m,Omega.3.1,2920.10913885728,2807.44299957699
C0524T05,Omega.3.1,2856.78619477819,3017.7899808481
C0524T06,Omega.3.1,2827.62917119183,2725.59973914933
C0524T09,Omega.3.1,2866.29362714763,3024.12543821789
C0524T08,Omega.3.1,2863.27513224425,2784.6466435092
C0743T08,Omega.3.1,2949.78479410734,3117.88276893199
C0524T11,Omega.3.1,2794.3886274552,2912.88081692945
C0743T09,Omega.3.1,2698.75481025646,3022.25925574765
C0524T12,Omega.3.1,2865.99303419952,2854.69169631139
DIA3009,Omega.3.1,2757.74351321533,3185.63641868153
ART3001,Omega.3.1,2869.29872013961,2993.6482638354
CNTO1275PSA3001,Omega.3.1,2796.04361300158,2747.02606122426
CNTO1275PSA3002,Omega.3.1,2896.34884859362,2946.54408612376
DIA3005,Omega.3.1,2863.60849710989,2982.73797327345
DIA3002,Omega.3.1,2579.07788703462,2878.45012382444
DIA3010,Omega.3.1,2945.6949263569,2861.80072779653
DIA3006,Omega.3.1,2757.54183336341,2912.3560135925
DIA3012,Omega.3.1,2871.40474770273,2831.08201054515
DIA3015,Omega.3.1,2893.42192545361,3023.95735286098
28431754DIA3014,Omega.3.1,2990.95042379886,3143.00046323432
28431754DIA3011,Omega.3.1,2908.60643309175,2998.1059301314
BI107_210,Omega.4.1,2617.74455403811,2754.866090643
BI1245_36,Omega.4.1,3025.87842301283,2922.03562054174
BI1276_1,Omega.4.1,2919.21555904021,3017.4604626931
BI244_2484,Omega.4.1,2867.88499831999,2881.67137150323
BI248_524,Omega.4.1,2948.65542505279,3128.94241114849
BI248_525,Omega.4.1,2344.58691911512,2614.30326594042
BI248_622,Omega.4.1,2470.99365791236,2859.3839509742
BI248_629,Omega.4.1,2949.55881558276,3082.90130057202
BI502_254,Omega.4.1,2698.7917385608,2926.19108866334
BI502_256,Omega.4.1,2733.32634724295,2928.47893034445
BI502_316,Omega.4.1,2860.81031722485,1881.29153921421
BI502_317,Omega.4.1,2897.40992688423,2756.37297214943
BI502_327,Omega.4.1,2877.68641964137,2926.70988766742
BI502_376,Omega.4.1,2826.09234366605,2877.42538259066
BI502_391,Omega.4.1,3119.87255999187,3054.84693387904
BI502_392,Omega.4.1,3075.01829785801,2704.93416153354
BI502_396,Omega.4.1,3071.35557605402,2932.5772936835
BI502_397,Omega.4.1,2908.51296499393,3031.75421818727
BI502_413,Omega.4.1,2652.81104618902,2802.27179573994
BI502_550,Omega.4.1,2889.02806256881,3148.59965410544
LILLY_B3D_MC_GHAC,Omega.4.1,2844.22093173728,3053.27099898925
LILLY_B3D_US_GHBZ,Omega.4.1,2891.85987043656,2975.77370677189
LILLY_H6D_MC_LVGY,Omega.4.1,2782.19287657463,2960.89314044337
LILLY_H6D_MC_LVHB,Omega.4.1,2987.80018960278,3084.66875294905
LILLY_H6D_MC_LVHG,Omega.4.1,2877.40406654688,2726.91145035841
LILLY_H6D_MC_LVHJ,Omega.4.1,2874.74712162437,2946.32737223992
LILLY_H6D_MC_LVHR,Omega.4.1,2882.89259132291,2875.3235045015
LILLY_H6D_MC_LVHS,Omega.4.1,2567.788826379,2749.53305862963
LILLY_H6D_MC_LVID,Omega.4.1,2988.44925117364,2597.46692588026
LILLY_H9X_MC_GBCF,Omega.4.1,2961.54953805449,2882.28018847796
LILLY_H9X_MC_GBDA,Omega.4.1,2833.26882627989,2141.08726462314
LILLY_H9X_MC_GBDB,Omega.4.1,2987.46588822037,3190.79495261557
LILLY_H9X_MC_GBDC,Omega.4.1,2902.31623167828,2904.27141094106
LILLY_H9X_MC_GBDD,Omega.4.1,2862.03936320264,3184.9882162356
LILLY_H9X_MC_GBDE,Omega.4.1,2715.65505751754,2797.9146260344
LILLY_H9X_MC_GBDG,Omega.4.1,3070.62495229472,3038.92106306638
RCHNA25220,Omega.4.1,2426.83236260252,2874.55738499587
RCHWA19924,Omega.4.1,2876.48931411793,3128.18170608946
TKASYR322_305,Omega.4.1,2946.40060734519,3034.56603014145
TKASYR322_402,Omega.4.1,2794.61378963057,3094.98689077477
GSK101468_169,Omega.4.1,2799.97720826953,2888.796355924
GSK101468_204,Omega.4.1,2947.14090021001,2931.25352262909
GSK101468_205,Omega.4.1,2837.95785743875,2749.9440856206
GSK101468_249,Omega.4.1,3001.65665547063,3041.96089586592
GSK200109,Omega.4.1,2885.77485657219,2555.10718196405
GSK200110,Omega.4.1,2924.87920524334,2971.26872842111
GSK201315,Omega.4.1,2728.10437073587,2780.95833291282
GSKAC4116135,Omega.4.1,2705.04024527268,2925.07569044374
GSKAVA102670_v02,Omega.4.1,2440.88231497402,2901.29174284378
GSKAVA102672_v02,Omega.4.1,2840.32664152987,2864.79049328928
GSKAVA105640_v02,Omega.4.1,2987.00019168306,2968.7447659436
GSKB2C112060,Omega.4.1,2741.87435313921,2927.153774879
GSKCOR103561,Omega.4.1,2885.70031900424,2985.37366023641
GSKDB2113360_v02,Omega.4.1,3032.22201871268,3045.54088513168
GSKFFA112059,Omega.4.1,2605.60438965241,2795.52012568442
GSKFFA115285,Omega.4.1,2866.03787098706,2795.18399220905
GSKHGS1006_C1056_v05,Omega.4.1,2658.61552830917,2925.09818470805
GSKHGS1006_C1057_v03,Omega.4.1,2948.55868286462,3115.32878488238
GSKMEA115588,Omega.4.1,2401.61661323796,3014.97613110476
GSKROR104836,Omega.4.1,2869.84071239681,2920.42896731886
GAL-ALZ-302,Omega.4.1,3112.51932794353,3107.00991916337
C0168T29,Omega.4.1,2922.4395098962,2979.67907325571
Gal-Int-11_24m,Omega.4.1,2662.8923299866,2905.39785227351
Gal-Int-18_24m,Omega.4.1,3075.04640196321,2835.1326171991
C0524T05,Omega.4.1,2874.19335949909,3090.00389346883
C0524T06,Omega.4.1,2310.56782851071,2454.58094209305
C0524T09,Omega.4.1,2940.36327186637,3124.83924906399
C0524T08,Omega.4.1,2843.3732784456,2871.67280833163
C0743T08,Omega.4.1,2670.67456801595,2708.04179250712
C0524T11,Omega.4.1,2688.51567218522,2950.09358383925
C0743T09,Omega.4.1,2599.49482479776,3016.70184599443
C0524T12,Omega.4.1,2981.59599486997,2800.28255350302
DIA3009,Omega.4.1,2800.25390973318,2959.83061408727
ART3001,Omega.4.1,2869.87083229329,2769.63153735511
CNTO1275PSA3001,Omega.4.1,2830.72313594681,2749.42174465083
CNTO1275PSA3002,Omega.4.1,2949.49425991073,2980.64165832804
DIA3005,Omega.4.1,3029.10560522754,3078.84411520901
DIA3002,Omega.4.1,3164.45836418637,3032.55052805827
DIA3010,Omega.4.1,2986.54898990807,2855.74205242423
DIA3006,Omega.4.1,2898.14124334926,2859.20488714096
DIA3012,Omega.4.1,2726.65427593845,2842.67843191626
DIA3015,Omega.4.1,3024.72552266076,3340.12590971169
28431754DIA3014,Omega.4.1,2904.81276645797,3112.62219286344
28431754DIA3011,Omega.4.1,2909.29214564594,3001.83547757595
BI107_210,Omega.5.1,2810.92386627349,2624.83274694876
BI1245_36,Omega.5.1,2864.09119657994,2996.39583645195
BI1276_1,Omega.5.1,2790.70552320152,3129.03289498744
BI244_2484,Omega.5.1,2716.54311618875,3043.67467516336
BI248_524,Omega.5.1,3075.26897582398,3108.22493368718
BI248_525,Omega.5.1,2696.8638240108,3142.67078405221
BI248_622,Omega.5.1,3025.56321361818,3127.78096409871
BI248_629,Omega.5.1,2737.32691700501,2616.80849539527
BI502_254,Omega.5.1,2907.57878726993,2962.11593158791
BI502_256,Omega.5.1,2793.88221907957,2841.77419048522
BI502_316,Omega.5.1,2982.38957585711,2496.84691731082
BI502_317,Omega.5.1,2987.71635405562,3041.27541683155
BI502_327,Omega.5.1,2905.12102584308,2907.7454793773
BI502_376,Omega.5.1,2946.84605671741,2469.67747281945
BI502_391,Omega.5.1,2641.19519686571,2858.94909960023
BI502_392,Omega.5.1,2761.99420905261,2763.12288040587
BI502_396,Omega.5.1,2985.96786037778,2951.67217685461
BI502_397,Omega.5.1,3069.8806978012,3182.36777870311
BI502_413,Omega.5.1,3120.51281712623,2995.07262131069
BI502_550,Omega.5.1,2734.92297798928,2927.35377025941
LILLY_B3D_MC_GHAC,Omega.5.1,2758.87675655325,2894.40989258598
LILLY_B3D_US_GHBZ,Omega.5.1,3070.43051868694,2979.73881853472
LILLY_H6D_MC_LVGY,Omega.5.1,2774.1236022733,2691.10137076361
LILLY_H6D_MC_LVHB,Omega.5.1,2898.64279832225,3026.77759947705
LILLY_H6D_MC_LVHG,Omega.5.1,3077.27658208073,3175.24038471579
LILLY_H6D_MC_LVHJ,Omega.5.1,2907.89007821523,3024.01654722631
LILLY_H6D_MC_LVHR,Omega.5.1,3039.4031717669,2962.64470019837
LILLY_H6D_MC_LVHS,Omega.5.1,3030.32163774498,2570.70558536254
LILLY_H6D_MC_LVID,Omega.5.1,2755.23167442679,3046.10569642609
LILLY_H9X_MC_GBCF,Omega.5.1,2907.32982764147,2870.90292223934
LILLY_H9X_MC_GBDA,Omega.5.1,2840.75698266244,2965.71719316536
LILLY_H9X_MC_GBDB,Omega.5.1,2990.22251384694,2857.90715467901
LILLY_H9X_MC_GBDC,Omega.5.1,2942.641965174,2927.06413212323
LILLY_H9X_MC_GBDD,Omega.5.1,2591.5122515562,2952.07266998828
LILLY_H9X_MC_GBDE,Omega.5.1,2777.67275790886,3024.58908471325
LILLY_H9X_MC_GBDG,Omega.5.1,2545.24869800054,2493.90118010507
RCHNA25220,Omega.5.1,3027.53288236654,2972.90712101233
RCHWA19924,Omega.5.1,2989.15418886117,3121.11925920904
TKASYR322_305,Omega.5.1,2793.10913293262,2557.47784895832
TKASYR322_402,Omega.5.1,2346.7674943845,2366.72004790742
GSK101468_169,Omega.5.1,2950.14000908017,3025.37405910561
GSK101468_204,Omega.5.1,2867.55515218472,2938.25682364131
GSK101468_205,Omega.5.1,2839.70378361214,2958.41950001591
GSK101468_249,Omega.5.1,2903.4874080883,2791.14883463255
GSK200109,Omega.5.1,2866.68643243494,2933.65196280406
GSK200110,Omega.5.1,2990.48977441958,2955.27545405885
GSK201315,Omega.5.1,2988.58710757478,3012.42064639341
GSKAC4116135,Omega.5.1,2494.88566157774,2494.34566177911
GSKAVA102670_v02,Omega.5.1,2549.98804679675,2682.12524496815
GSKAVA102672_v02,Omega.5.1,2709.46532967045,2856.18209217503
GSKAVA105640_v02,Omega.5.1,2630.54468891078,2856.9547732523
GSKB2C112060,Omega.5.1,2812.47916739791,2868.04722281486
GSKCOR103561,Omega.5.1,2787.6669969825,3003.3312614857
GSKDB2113360_v02,Omega.5.1,2905.65540461186,2983.58260666375
GSKFFA112059,Omega.5.1,2905.04720949988,3009.5348587648
GSKFFA115285,Omega.5.1,2463.76019627584,2452.74754507921
GSKHGS1006_C1056_v05,Omega.5.1,2948.55868286462,3069.09550506318
GSKHGS1006_C1057_v03,Omega.5.1,2858.36743415314,2919.57921404818
GSKMEA115588,Omega.5.1,2933.47047226065,2772.53581459506
GSKROR104836,Omega.5.1,2730.87755018956,2509.54770411828
GAL-ALZ-302,Omega.5.1,2830.05420384964,2879.55052305504
C0168T29,Omega.5.1,2789.08740650907,2946.99042557204
Gal-Int-11_24m,Omega.5.1,2765.14286881182,3060.20817099011
Gal-Int-18_24m,Omega.5.1,2739.1327991919,2910.4182981409
C0524T05,Omega.5.1,2915.19938925458,2555.2377228245
C0524T06,Omega.5.1,2744.34340694356,2741.29486664275
C0524T09,Omega.5.1,2919.95918852252,3004.92774254773
C0524T08,Omega.5.1,2995.62472458934,2986.34586311931
C0743T08,Omega.5.1,3076.16474891352,2995.87457930486
C0524T11,Omega.5.1,2948.91345119044,2797.19995165959
C0743T09,Omega.5.1,2837.6361184828,3155.69831682556
C0524T12,Omega.5.1,2883.05933937952,2989.83426202524
DIA3009,Omega.5.1,2944.30692062123,3006.81672241971
ART3001,Omega.5.1,2683.97679037689,2947.35376786579
CNTO1275PSA3001,Omega.5.1,2984.16719764594,2812.18800995635
CNTO1275PSA3002,Omega.5.1,2948.71992518179,2777.43713506913
DIA3005,Omega.5.1,2473.45287387665,2781.82191996345
DIA3002,Omega.5.1,2590.90807234483,3052.85683824993
DIA3010,Omega.5.1,2764.96701773401,2950.51123316874
DIA3006,Omega.5.1,2889.57046911521,3144.6040071305
DIA3012,Omega.5.1,2949.78479410734,2895.28587389601
DIA3015,Omega.5.1,2850.19217788325,3031.78952078869
28431754DIA3014,Omega.5.1,2903.25462511137,3091.50371275951
28431754DIA3011,Omega.5.1,3119.0561954749,3123.4478847285
BI107_210,Omega.6.1,2849.44345888565,3004.9873260605
BI1245_36,Omega.6.1,2775.21820568525,3083.36646380714
BI1276_1,Omega.6.1,2860.48387443822,3056.55952931409
BI244_2484,Omega.6.1,2945.36437282924,3091.62683926255
BI248_524,Omega.6.1,2843.42942232225,2905.57880640632
BI248_525,Omega.6.1,2453.7792026484,3225.45875511264
BI248_622,Omega.6.1,2768.44969212155,3050.31665986512
BI248_629,Omega.6.1,2983.37135432599,2866.66447715679
BI502_254,Omega.6.1,2638.54574025838,2705.10151531301
BI502_256,Omega.6.1,2942.73443578138,1994.20006673453
BI502_316,Omega.6.1,2674.66282220477,2818.5233185782
BI502_317,Omega.6.1,2821.2891513453,2719.21830297377
BI502_327,Omega.6.1,2856.50513549271,2940.08252661147
BI502_376,Omega.6.1,2867.3218407897,3016.83769608766
BI502_391,Omega.6.1,2625.58837086035,3113.35084670859
BI502_392,Omega.6.1,2909.8535497794,2904.90404219786
BI502_396,Omega.6.1,2905.06636201746,2425.57351181803
BI502_397,Omega.6.1,2737.81342830412,2950.94154830009
BI502_413,Omega.6.1,2756.0183464179,2839.81357378145
BI502_550,Omega.6.1,2921.67159151469,2970.69757743004
LILLY_B3D_MC_GHAC,Omega.6.1,2696.45704852892,2949.74890167837
LILLY_B3D_US_GHBZ,Omega.6.1,2870.09079513414,3026.7031630223
LILLY_H6D_MC_LVGY,Omega.6.1,2825.11179530083,3077.90067694052
