trial,nct_id,condition,antacids,anxiety,arthritis,prostate,CV,dementia,diabetes,erectile,epilepsy,glaucoma,gout,inflammatory,migraine,osteoporosis,pain,parkinsons,asthma_COPD,schizophrenia,thromboembolic,thyroid,urological,skin,repo,n
BI502_392,NCT00274599,Hypertension,7.4,12.4,28.4,2.3,0,0.4,6.8,1.4,1.1,1.1,2.5,5.3,1.4,1.1,21.9,0,5.3,0.9,0.1,3.6,0.5,13.7,Vivli,812
BI502_396,NCT00153023,Diabetes_Mellitus_Type_2,10.3,7.6,4.4,4.9,96.7,0.8,91.8,0.8,1.6,13.6,21.2,2.3,3.6,0.1,10.3,0.2,2.8,0.7,4,4.7,0.7,2.9,Vivli,885
BI502_397,NCT00168857,Diabetes_Mellitus_Type_2,15.3,17.4,12.8,6.9,93.6,4.3,94.9,3.3,2.7,11.2,10.6,4.8,4.7,1.3,16.7,0.1,5.9,0.1,3.4,6.5,0.7,9.5,Vivli,860
BI502_413,NCT00153088,Diabetes_Mellitus_Type_2,12,7.2,13.3,1.7,60.7,0,0,2.1,0.8,7,6.5,1.7,0.2,0.6,1.3,0.2,3.2,0.8,0.2,1.3,1.1,11.8,Vivli,527
BI502_550,NCT00926289,Hypertension,2.6,4.6,5.6,0.9,0,0.1,9.4,0.4,0.2,2.7,1.5,0.8,1.6,0.7,7.4,0.1,3.1,0.1,0.7,2.1,0.2,0.9,Vivli,892
LILLY_B3D_MC_GHAC,NCT00670501,Osteoporosis,77.9,16.2,19.6,0.5,47.1,0.6,3.3,0.1,1.8,8.3,0.3,5.4,1.3,0,25.9,1,8.4,0.8,0.1,15,0.6,19.4,Vivli,1626
LILLY_B3D_US_GHBZ,NCT00051558,Osteoporosis,44.1,20.7,51,1.9,51.3,2.1,5.8,0.7,3.5,1.6,1.2,90.7,0.9,0,29.8,0.2,14.5,1.4,2.6,14,0.5,15.6,Vivli,429
LILLY_H6D_MC_LVGY,NCT00125918,Pulmonary_Hypertension,29.3,26.8,9.1,2.2,39.7,0.2,9.4,0.2,2.2,2.7,7.6,18.7,2,6.7,21.9,0.7,20.4,2,0,18,1,8.4,Vivli,406
LILLY_H6D_MC_LVHB,NCT00861757,Benign_Prostatic_Hyperplasia,9.9,5.6,10.2,0,43.1,0.5,9.2,0,0,1.4,5.4,3.2,0,0,2.9,0,5.9,0.6,0,1.6,0,5.9,Vivli,629
LILLY_H6D_MC_LVHG,NCT00384930,Benign_Prostatic_Hyperplasia,9.1,8.2,24.8,0,44.3,0,7.7,32.1,0.7,2.8,1.9,6.1,0.9,0.2,11.9,0.9,5.2,0.5,0.7,4,0,1.4,Vivli,427
LILLY_H6D_MC_LVHJ,NCT00827242,Benign_Prostatic_Hyperplasia,0.9,0.3,2.8,0,4.3,0,2.5,15.7,0.3,0.3,0,1.5,0,0.3,2.2,0,1.2,0.3,1.5,0,0,0.9,Vivli,325
LILLY_H6D_MC_LVHR,NCT00855582,Benign_Prostatic_Hyperplasia,7.8,5.4,12.4,0,43.9,0.8,11.4,0,0.3,2.6,2.5,3.5,0.8,1.2,7.8,0.5,6.3,0.5,0.8,5.1,0,1.8,Vivli,606
LILLY_H6D_MC_LVHS,NCT00848081,Benign_Prostatic_Hyperplasia,16,11.9,26.7,0,86.2,2.2,14.2,30.8,0.9,4.7,6.3,6.3,1.9,0.6,12.9,0.6,12.6,0.3,3.1,11,0,9.7,Vivli,318
LILLY_H6D_MC_LVID,NCT00970632,Benign_Prostatic_Hyperplasia,5.7,1.4,4.1,0,50.7,0.6,11.4,12.7,0.2,0.8,4.5,2.7,0.2,0.6,2.5,0,3.9,0.2,2,2.3,0,0.8,Vivli,511
LILLY_H9X_MC_GBCF,NCT00734474,Diabetes_Mellitus_Type_2,11.6,11.1,15.9,2.9,64.3,0.9,0,2.7,1.1,1.4,2.6,4.5,0.4,0.5,12.6,0.7,5,0.7,0.3,9.2,0.3,6,Vivli,1202
LILLY_H9X_MC_GBDA,NCT01064687,Diabetes_Mellitus_Type_2,11.3,19,27.8,3.1,74,0.2,0,6.7,1.2,3.2,2.1,6.7,1.6,0.7,22.1,1,10.6,0.6,2.1,9.5,1.1,14.4,Vivli,978
LILLY_H9X_MC_GBDB,NCT01075282,Diabetes_Mellitus_Type_2,7.4,9.2,22.1,1.9,66.9,0.2,0,0.8,0.7,3.1,2.3,2.8,0.1,1,21.6,0.5,3.4,0.6,0.8,7.5,0.5,5.4,Vivli,829
LILLY_H9X_MC_GBDC,NCT01126580,Diabetes_Mellitus_Type_2,8.1,12.3,18.2,1.2,62.7,0.2,0,0.6,0.6,2.9,3.6,2.6,1,1.1,18.2,1.5,6.7,1.7,1.5,8.4,0.9,4,Vivli,807
LILLY_H9X_MC_GBDD,NCT01191268,Diabetes_Mellitus_Type_2,10.9,16.5,25.6,2.4,79.7,0.2,0,3,1.6,5,3.4,3.6,0.8,0.8,25.6,0.6,7,1.7,2.4,10.3,1,8,Vivli,892
LILLY_H9X_MC_GBDE,NCT01624259,Diabetes_Mellitus_Type_2,7.3,8.8,20.9,2.5,69.8,0,0,1.3,0.7,3.3,4.7,3.2,1.3,0.2,19.5,1.2,5.5,0.7,2,7.8,0.3,5,Vivli,599
LILLY_H9X_MC_GBDG,NCT01769378,Diabetes_Mellitus_Type_2,4.3,6,12,2,65.7,0,0,0,0.3,2.3,2.7,1.7,0.3,0,7,0.7,3,0,2.7,6.7,0,1.3,Vivli,300
RCHNA25220,NCT01232569,Rheumatoid_arthritis,18.4,13.9,0,0,33.1,0.6,8.1,0.2,0.6,1.2,0.2,0,0.5,10.8,32,0.3,4,0.5,0.5,8.4,0,15.5,Vivli,656
RCHWA19924,NCT01119859,Rheumatoid_arthritis,14.4,19.3,0,1.8,41.4,0.3,10.1,0.3,2.1,1.5,0.3,0,0.6,7.7,46.9,0.3,8.3,0.9,1.5,20.9,1.2,10.1,Vivli,326
TKASYR322_305,NCT00856284,Diabetes_Mellitus_Type_2,5.3,4.6,7.3,1,31.1,0,0,0.8,0.3,0.9,0.8,1.3,0.1,0.7,6.9,0.1,2.5,0.2,0.4,2.6,0.1,4.4,Vivli,2639
GSKAVA102672_v02,NCT00348309,Dementia_any,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0.1,GSK,1475
GSKAVA102670_v02,NCT00348140,Dementia_any,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0,GSK,1470
GSKFFA115285,NCT01436110,Asthma,3.1,2.3,5.7,0.6,7.7,0,3.4,0,0,0,0,0.6,0,0.3,6.8,0,0,0.3,0,1.7,0.3,0.6,GSK,351
GSKB2C112060,NCT01181895,Asthma,4,3.2,9.2,1.2,17.3,0,2.9,0,0,0,0.6,1.2,1.2,0.6,10.4,0,0,0,0,3.7,0.6,1.2,GSK,347
GSKFFA112059,NCT01159912,Asthma,6,4.3,17.5,0,13.2,0,4.3,0,0,0.6,0.9,2.9,1.1,0.6,20.3,0,0,0.9,0.3,2.3,0,1.7,GSK,349
GSKAVA105640_v02,NCT00428090,Dementia_any,2.4,11.7,13.6,2.2,26.7,0,1.7,0.2,0,1,0.7,1,0.5,1.6,12.8,0.2,0.5,0,0.7,2.1,0.3,0.2,GSK,580
GSKHGS1006_C1057_v03,NCT00424476,Systemic_Lupus_Erythematosus,17.1,19.1,46,0.1,41.9,0,2.8,0.2,0,1.7,2.2,0,1.5,7.5,55.9,0.1,7.8,1.5,5.2,8.4,0.3,18.9,GSK,867
GSK101468_249,NCT00363857,Restless_legs_syndrome,9.7,12.9,27.3,2.4,23.6,1,0.5,0.8,0,0.3,1,3.7,2.1,2.4,14.2,0,6.8,0,0.8,8.9,1,12.1,GSK,381
GSKHGS1006_C1056_v05,NCT00410384,Systemic_Lupus_Erythematosus,14.6,34.9,57.5,0.2,45,0.1,5,0.5,0,2.9,2.4,0,5.4,19.6,69,1.5,13.7,1.6,10.8,12.5,1.3,23.5,GSK,826
GSKMEA115588,NCT01691521,Asthma,23.6,11.6,8.6,2.6,23.8,0,8.6,0.2,0.5,1,1.2,24,0.7,7.4,13.6,0.5,0,1,0.2,5.5,0.7,7.9,GSK,580
GSK101468_169,NCT00381472,Parkinson_Disease,3.8,16.8,6.6,2.8,18.8,0.8,2.5,0.8,0,1,0.5,1.3,0.8,2.3,3.6,0,0.8,1.3,0.3,1.5,0.5,0.8,GSK,393
GSKCOR103561,NCT00273052,Hypertension,10.6,13.7,20.2,2.3,0,0,0.9,1.1,0.7,0.7,1.6,2.6,2.3,2.6,16.9,0.5,1.6,0.4,0.2,5.3,0.7,1.4,GSK,568
GSKROR104836,NCT00329602,Restless_legs_syndrome,5.2,9.9,11.9,2.7,30.7,1.2,4.2,0.2,0.5,3.7,1.5,3,5,3.5,10.4,0,4.2,0,1,11.1,0.5,3.5,GSK,404
GSK200109,NCT01957163,Pulmonary_Disease_Chronic_Obstructive,12.4,21.2,15.7,4.7,54.6,0.6,12.9,1.5,0.8,1.6,1.1,1.1,0.5,2.1,18.4,1.3,0,2.6,2.4,7.9,0.6,1.1,GSK,619
GSK200110,NCT02119286,Pulmonary_Disease_Chronic_Obstructive,12.9,16.5,15.6,6,52.4,0.3,15.3,1.9,1,1,5.2,1.6,0.6,2.4,14,1.5,0,1.5,3.1,9.5,1.1,0.6,GSK,620
GSK201315,NCT02236611,Pulmonary_Disease_Chronic_Obstructive,9.2,9.9,8,2.2,59.1,0.1,12.5,0.4,0.9,0.9,2.8,0.6,0.1,1.1,8.5,0.6,0,1.3,2.9,6.2,0.4,0.5,GSK,1034
GSKAC4116135,NCT01772134,Pulmonary_Disease_Chronic_Obstructive,14.1,16.7,15.2,6.6,51.4,0.2,14.3,1,0.6,1.9,4.5,1.6,0.6,2.6,19.8,1,0,2.6,2.4,11.7,1,1,GSK,617
GSKDB2113360_v02,NCT01316900,Pulmonary_Disease_Chronic_Obstructive,8.9,10.2,10.4,5,48.6,0.2,8,0.9,0.4,2.7,2.4,1.3,0.9,2.1,10.9,0.8,0,1.1,0.8,7,0.5,0.4,GSK,845
GSK101468_204,NCT00314860,Restless_legs_syndrome,10.6,11.9,14.5,1.9,24.1,0.5,3.4,0.9,0.9,0.7,2.5,3,1.8,2.5,11,0,5.7,0.5,1.1,6.2,1.2,2.5,GSK,565
GSK101468_205,NCT00197080,Restless_legs_syndrome,12.8,19,23.4,1.3,27.6,0.8,2.6,0.3,0.8,0.8,1.3,3.6,2.3,4.2,15.1,0,6.2,0.3,0.3,8.9,0.8,8.1,GSK,384
28431754DIA3011,NCT01809327,Diabetes_Mellitus_Type_2,3.3419023136246775,3.5989717223650386,8.997429305912597,1.028277634961439,71.46529562982005,0,0,0.514138817480719,0.257069408740359,1.028277634961439,2.313624678663239,0.257069408740359,0,0,5.655526992287917,0,4.113110539845758,1.028277634961439,1.799485861182519,6.169665809768636,0.257069408740359,1.028277634961439,YODA,389
28431754DIA3014,NCT01381900,Diabetes_Mellitus_Type_2,0.220750551876379,0.662251655629139,1.324503311258278,0.44150110375275903,32.00883002207506,0,0,0,0.220750551876379,0,0,0.220750551876379,0,0.220750551876379,0.88300220750551806,0,0,0.44150110375275903,0.220750551876379,0.662251655629139,0,0.220750551876379,YODA,453
ART3001,NCT00973479,Rheumatoid_arthritis,6.118546845124283,2.676864244741874,0,0.19120458891013298,20.45889101338432,0,2.2944550669216057,0,0.38240917782026695,0.19120458891013298,1.1472275334608029,0,0,5.927342256214149,16.061185468451242,0,1.912045889101338,0.19120458891013298,0.38240917782026695,4.01529636711281,0,0,YODA,523
C0168T29,NCT00236028,Rheumatoid_arthritis,7.425265188042431,11.475409836065573,0,0.867888138862102,27.67598842815815,0,4.918032786885246,0.38572806171648905,0.867888138862102,0.192864030858244,1.253616200578592,0,0.578592092574734,2.989392478302796,30.665380906460943,0.09643201542912248,3.567984570877531,0.675024108003857,0.771456123432979,12.825458052073287,0.192864030858244,0,YODA,1037
C0524T05,NCT00264537,Rheumatoid_arthritis,5.83596214511041,9.46372239747634,0,0.157728706624605,25.39432176656151,0,4.100946372239748,0.157728706624605,2.208201892744479,0.47318611987381703,0.788643533123028,0,0.157728706624605,4.73186119873817,29.33753943217666,0.157728706624605,4.574132492113565,0.9463722397476341,0,7.413249211356467,0.157728706624605,0,YODA,634
C0524T06,NCT00264550,Rheumatoid_arthritis,7.900677200902935,11.28668171557562,0,0.225733634311512,30.474040632054177,0,4.0632054176072225,0.225733634311512,0.451467268623024,0.6772009029345369,0.6772009029345369,0,0.6772009029345369,9.480812641083523,31.15124153498871,0,1.805869074492099,0.225733634311512,0.6772009029345369,8.35214446952596,0.225733634311512,0,YODA,443
C0524T08,NCT00265096,Psoriatic_arthritis,3.571428571428571,13.010204081632654,0,0.255102040816326,26.02040816326531,0,7.653061224489796,0.765306122448979,1.275510204081632,0.5102040816326531,1.5306122448979589,0,0.255102040816326,3.0612244897959178,28.57142857142857,0,5.612244897959184,0.255102040816326,0.5102040816326531,6.1224489795918355,0.255102040816326,0,YODA,392
C0524T09,NCT00265083,Axial_Spondyloarthritis,3.125,12.5,0,0.568181818181818,15.909090909090908,0,2.84090909090909,1.420454545454545,1.136363636363636,0.8522727272727271,2.272727272727272,0,0.8522727272727271,4.261363636363636,36.07954545454546,0.284090909090909,5.113636363636364,0.568181818181818,0.568181818181818,3.4090909090909087,0.284090909090909,0,YODA,352
C0524T11,NCT00299546,Rheumatoid_arthritis,12.087912087912088,21.53846153846154,0,0.659340659340659,48.13186813186814,0,9.230769230769234,0.219780219780219,1.758241758241758,1.098901098901099,0.879120879120879,0,2.417582417582417,20.659340659340657,52.52747252747253,0.659340659340659,7.252747252747254,0.879120879120879,1.9780219780219779,26.813186813186814,2.197802197802198,0,YODA,455
C0524T12,NCT00361335,Rheumatoid_arthritis,8.892355694227769,11.85647425897036,0,0.780031201248049,33.229329173166924,0,6.3962558502340086,0.15600624024961,2.02808112324493,0.93603744149766,0.46801872074883,0,0.62402496099844,10.452418096723868,39.15756630265211,1.0920436817472698,3.9001560062402496,0.46801872074883,0.780031201248049,14.82059282371295,0,0,YODA,641
C0743T08,NCT00267969,Psoriasis,4.635761589403973,12.251655629139071,20.860927152317878,1.324503311258278,34.7682119205298,0,10.264900662251655,0.9933774834437079,2.317880794701986,1.324503311258278,0.662251655629139,0,1.324503311258278,0.331125827814569,21.192052980132452,0,3.311258278145695,0,0.331125827814569,4.966887417218543,0,0,YODA,302
C0743T09,NCT00307437,Psoriasis,5.543710021321962,17.69722814498934,20.68230277185501,1.705756929637526,34.9680170575693,0,11.940298507462686,0.852878464818763,1.279317697228145,0.426439232409381,3.198294243070362,0,0.639658848614072,0.639658848614072,17.48400852878465,0.852878464818763,4.264392324093816,1.066098081023454,0.852878464818763,6.183368869936034,0.426439232409381,0,YODA,469
CNTO1275PSA3001,NCT01009086,Psoriatic_arthritis,4.029304029304029,1.831501831501831,0,0.366300366300366,9.5238095238095255,0,2.564102564102564,0.366300366300366,0.366300366300366,0,0.732600732600732,0,0,1.098901098901099,9.157509157509155,0,1.098901098901099,0,0.366300366300366,3.296703296703297,0,0,YODA,273
CNTO1275PSA3002,NCT01077362,Psoriatic_arthritis,6.369426751592357,11.464968152866243,0,0,12.738853503184714,0,4.458598726114649,0,1.273885350318471,0.636942675159235,1.273885350318471,0,0,3.821656050955414,24.840764331210192,0,1.910828025477707,0.636942675159235,0.636942675159235,1.273885350318471,0,0,YODA,157
DIA3002,NCT01106625,Diabetes_Mellitus_Type_2,4.516129032258064,5.806451612903226,9.67741935483871,0.32258064516129004,32.903225806451616,0,0,1.290322580645161,0,0.32258064516129004,0.6451612903225801,0.967741935483871,0.32258064516129004,0,12.258064516129032,0.32258064516129004,1.6129032258064508,0,0.6451612903225801,2.258064516129032,0,0,YODA,310
DIA3005,NCT01081834,Diabetes_Mellitus_Type_2,5.970149253731343,4.477611940298507,17.16417910447761,1.243781094527363,40.049751243781095,0,0,0.7462686567164171,0.24875621890547198,0.7462686567164171,0,1.741293532338308,0,0.7462686567164171,14.17910447761194,0,1.9900497512437811,0,0,2.487562189054726,0.497512437810945,0,YODA,402
DIA3006,NCT01106677,Diabetes_Mellitus_Type_2,3.846153846153846,2.958579881656804,8.481262327416173,0.59171597633136,36.09467455621302,0,0,1.183431952662721,1.084812623274161,0.29585798816568,0.9861932938856011,1.380670611439842,0.19723865877712,0.19723865877712,7.790927021696252,0.19723865877712,1.676528599605522,0.09861932938856016,0.39447731755424,1.9723865877712032,0.29585798816568,0,YODA,1014
DIA3009,NCT00968812,Diabetes_Mellitus_Type_2,6.71462829736211,4.316546762589928,9.832134292565948,0.9592326139088719,38.28936850519584,0,0,1.199040767386091,0.8792965627498,0.719424460431654,0.639488409272581,1.518784972022382,0.159872102318145,0.39968025579536304,8.952837729816148,0.23980815347721798,1.8385291766586729,0.39968025579536304,0.31974420463629,2.797761790567545,0,0,YODA,1251
DIA3010,NCT01106651,Diabetes_Mellitus_Type_2,5.068226120857699,5.068226120857699,6.627680311890838,1.5594541910331379,38.59649122807017,0,0,3.313840155945419,0.9746588693957109,0.7797270955165689,0.9746588693957109,1.364522417153996,0.194931773879142,0.194931773879142,8.382066276803119,0.389863547758284,2.144249512670565,0,0.584795321637426,2.923976608187134,0.9746588693957109,0,YODA,513
DIA3012,NCT01106690,Diabetes_Mellitus_Type_2,2.857142857142857,7.301587301587302,12.698412698412698,1.2698412698412689,36.82539682539683,0,0,2.539682539682539,0.317460317460317,0.634920634920634,0.634920634920634,0.634920634920634,0,0.317460317460317,11.11111111111111,0,2.539682539682539,0.317460317460317,0.317460317460317,4.444444444444444,0.317460317460317,0,YODA,315
DIA3015,NCT01137812,Diabetes_Mellitus_Type_2,7.130124777183601,4.81283422459893,9.44741532976827,0.89126559714795,45.45454545454546,0,0,1.24777183600713,1.7825311942959,0.35650623885918004,1.06951871657754,0.53475935828877,0,0.17825311942959002,7.8431372549019605,0.53475935828877,1.7825311942959,0.53475935828877,0.17825311942959002,2.67379679144385,0.17825311942959002,0,YODA,561
GAL-ALZ-302,NCT00216593,Dementia_any,21.601941747572816,73.30097087378641,6.310679611650485,0.485436893203883,50.728155339805824,0,8.495145631067961,0,4.12621359223301,2.4271844660194173,1.45631067961165,10.436893203883496,0,4.12621359223301,36.16504854368932,1.213592233009708,4.12621359223301,0,2.669902912621359,8.25242718446602,2.912621359223301,6.067961165048544,YODA,412
Gal-Int-11_24m,NCT00236431,Dementia_any,10.801781737193764,19.821826280623608,21.937639198218264,4.454342984409799,47.772828507795104,0,6.6815144766147,1.781737193763919,0.779510022271714,4.008908685968819,1.559020044543429,2.561247216035634,0.779510022271714,7.683741648106904,17.260579064587972,0.33407572383073403,4.788418708240535,0,2.338530066815145,11.358574610244988,2.561247216035634,3.34075723830735,YODA,898
Gal-Int-18_24m,NCT00236574,Dementia_any,13.217213114754097,28.07377049180328,22.13114754098361,3.0737704918032778,48.97540983606557,0,7.274590163934426,1.024590163934426,0.512295081967213,5.020491803278688,2.254098360655737,2.3565573770491803,0.40983606557377,9.118852459016393,15.881147540983607,0.512295081967213,5.942622950819672,0,4.098360655737704,11.782786885245903,2.459016393442623,2.3565573770491803,YODA,976
