"","Cohort","Type.of.condition","condition","como","prop","common_n"
"81","SAIL","Musculoskeletal","Osteoporosis","arthritis",32.4,3
"82","SAIL","Musculoskeletal","Osteoporosis","antacids",30.9,4
"83","SAIL","Musculoskeletal","Osteoporosis","anxiety",24.3,5
"84","SAIL","Musculoskeletal","Osteoporosis","asthma_COPD",24.1,6
"85","SAIL","Neurological","Parkinson_Disease","CV",58,1
"86","SAIL","Neurological","Parkinson_Disease","pain",57,2
"87","SAIL","Neurological","Parkinson_Disease","anxiety",35.3,3
"88","SAIL","Neurological","Parkinson_Disease","antacids",30,4
"89","SAIL","Neurological","Parkinson_Disease","arthritis",25.4,5
"90","SAIL","Neurological","Parkinson_Disease","asthma_COPD",14.4,6
"91","SAIL","Inflammatory","Psoriasis","CV",35.7,1
"92","SAIL","Inflammatory","Psoriasis","pain",32.5,2
"93","SAIL","Inflammatory","Psoriasis","arthritis",27.1,3
"94","SAIL","Inflammatory","Psoriasis","anxiety",18.6,4
"95","SAIL","Inflammatory","Psoriasis","asthma_COPD",15,5
"96","SAIL","Inflammatory","Psoriasis","antacids",14,6
"97","SAIL","Respiratory","Pulmonary_Disease_Chronic_Obstructive","CV",61.2,1
"98","SAIL","Respiratory","Pulmonary_Disease_Chronic_Obstructive","pain",58.4,2
"99","SAIL","Respiratory","Pulmonary_Disease_Chronic_Obstructive","antacids",30.3,3
"100","SAIL","Respiratory","Pulmonary_Disease_Chronic_Obstructive","arthritis",29.1,4
"101","SAIL","Respiratory","Pulmonary_Disease_Chronic_Obstructive","anxiety",26.8,5
"102","SAIL","Respiratory","Pulmonary_Disease_Chronic_Obstructive","diabetes",12.5,6
"103","SAIL","Respiratory","Pulmonary_fibrosis","CV",66.2,1
"104","SAIL","Respiratory","Pulmonary_fibrosis","pain",60.5,2
"105","SAIL","Respiratory","Pulmonary_fibrosis","asthma_COPD",44.8,3
"106","SAIL","Respiratory","Pulmonary_fibrosis","antacids",38.6,4
"107","SAIL","Respiratory","Pulmonary_fibrosis","arthritis",30.8,5
"108","SAIL","Respiratory","Pulmonary_fibrosis","osteoporosis",25.7,6
"109","SAIL","Neurological","Restless_legs_syndrome","pain",62.2,1
"110","SAIL","Neurological","Restless_legs_syndrome","CV",57.2,2
"111","SAIL","Neurological","Restless_legs_syndrome","arthritis",41.6,3
"112","SAIL","Neurological","Restless_legs_syndrome","anxiety",35.1,4
"113","SAIL","Neurological","Restless_legs_syndrome","antacids",27.5,5
"114","SAIL","Neurological","Restless_legs_syndrome","asthma_COPD",23.2,6
"115","SAIL","Inflammatory","Systemic_Lupus_Erythematosus","pain",57.6,1
"116","SAIL","Inflammatory","Systemic_Lupus_Erythematosus","CV",51.9,2
"117","SAIL","Inflammatory","Systemic_Lupus_Erythematosus","arthritis",38.1,3
"118","SAIL","Inflammatory","Systemic_Lupus_Erythematosus","anxiety",28.6,4
"119","SAIL","Inflammatory","Systemic_Lupus_Erythematosus","antacids",24.5,5
"120","SAIL","Inflammatory","Systemic_Lupus_Erythematosus","asthma_COPD",22.1,6
"121","SAIL","Cardiovascular","Thromboembolism","pain",61.7,1
"122","SAIL","Cardiovascular","Thromboembolism","CV",61.6,2
"123","SAIL","Cardiovascular","Thromboembolism","arthritis",26.1,3
"124","SAIL","Cardiovascular","Thromboembolism","asthma_COPD",24.9,4
"125","SAIL","Cardiovascular","Thromboembolism","anxiety",23.5,5
"126","SAIL","Cardiovascular","Thromboembolism","diabetes",12.6,6
