"","trial","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","B01","B02","B03","B05","B06","C01","C02","C03","C04","C05","C07","C08","C09","C10","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","G01","G02","G03","G04","H01","H02","H03","H04","H05","J01","J02","J04","J05","J06","J07","L","L01","L02","L03","L04","M01","M02","M03","M04","M05","M09","N01","N02","N03","N04","N05","N06","N07","P01","P02","P03","R01","R02","R03","R05","R06","R07","S01","S02","S03","V01","V03","V04","V06","V07","V08","V09","V10","V90","ZZZ","nct_id","n_unique_atc","medicine","condition"
"11","GSKAVA102672_v02",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCT00348309",11,"rosiglitazone","Alzheimer's Disease"
"12","GSKAVA105640_v02",1,1,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,"NCT00428090",59,"rosiglitazone","Alzheimer's Disease"
"13","GSKAVD100521_v02",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,"NCT00116831",80,"rosiglitazone","Atherosclerosis"
"14","GSKB2C112060",1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,1,NA,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"NCT01181895",55,"vilanterol","Asthma"
"15","GSKCOR103560",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,"NCT00123903",68,"carvedilol","Heart failure, Congestive and Microalbuminuria"
"16","GSKCOR103561",1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,"NCT00273052",76,"carvedilol","Hypertension"
"17","GSKDB2113360_v02",1,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,"NCT01316900",65,"umeclidinium bromide","Pulmonary Disease, Chronic Obstructive"
"18","GSKFFA112059",1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT01159912",60,"fluticasone furoate","Asthma"
"19","GSKFFA115285",1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"NCT01436110",44,"fluticasone furoate","Asthma"
"20","GSKFFR101816",1,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT00118729",50,"fluticasone furoate","Rhinitis, Allergic, Seasonal"
"21","GSKFFR106080",1,1,1,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT00289198",54,"fluticasone furoate","Rhinitis, Allergic, Perennial"
"22","GSKFFR30003",NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT00115622",47,"fluticasone furoate","Rhinitis, Allergic, Seasonal"
"23","GSKFFR30006",1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,"NCT00117325",63,"fluticasone furoate","Rhinitis, Vasomotor"
"24","GSKFFR30007",1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT00118703",54,"fluticasone furoate","Rhinitis, Vasomotor"
"25","GSKFFU111439",1,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,"NCT00609674",60,"fluticasone furoate","Rhinitis, Allergic, Perennial"
"26","GSKHGS1006_C1056_v05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,"NCT00410384",94,"belimumab","Systemic Lupus Erythematosus"
"27","GSKHGS1006_C1057_v03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,"NCT00424476",85,"belimumab","Systemic Lupus Erythematosus"
"28","GSKMEA115588",1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,"NCT01691521",71,"mepolizumab","Asthma"
"29","GSKROR104836",1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,"NCT00329602",69,"ropinirole","Restless Legs Syndrome"
