lbparm,testdes,lbunit,keep,new_lab
CL,,mmol/L,,
CMBSDQ,,,,
CRP,,MG/L |  | mg/L | ug/mL | UG/ML,,
CSHYAL,,/LPF,,
CTXII,,,,
CTXIICR,,,,
CYAMORPH,,,,
CYCAOXA,,,,
CYURIAC,,,,
DBILI,Bilirubin Direct,umol/L,,
EOS,Eosinophils Percent,X10E9/L |  | 10^9/L | x10E3/uL | X10E3/UL | FRACTION,,
EOSA,Eosinophils Absolute Count,x10^9/L,,
EOSINF,,,,
EPIRCE,,/HPF,,
EPISQCE,,/HPF,,
EPITCE,,/HPF,,
ESR,,MM/HR | mm/hr | mm,,
FATBODOV,,,,
FATFR,,,,
FBMDT,,,,
FERRITIN,,,,
FERTN,,ng/mL,,
FIB,,,,
GGPYD,,,,
GGPYDCR,,,,
GGT,,,,
HBSAG,,,,
HCAB,,,,
HCG,,,,
HCT,Hematocrit,V/V |  | FRACTION | RATIO | % | FRACTION,,
HDL,,MMOL/L | mmol/L,,
HLAB27,,,,
HPT,,g/L,,
IGA,,g/L,,
IGE,,U/mL,,
IGEAB,,,,
IGG,,g/L,,
IGM,,g/L,,
IL6,,,,
IMCMPX,,,,
K,,mmol/L,,
L2_4BMD,,,,
LDH,Lactate Dehydrogenase,U/L | U/L,,
LDH_1,,U/L,,
LDH_2,,U/L,,
LDH_3,,U/L,,
LDH_4,,U/L,,
LDH_5,,U/L,,
LDL,,MMOL/L |  | mmol/L,,
LPA,,mg/dL,,
LYM,Lymphocytes Percent,X10E9/L |  | 10^9/L | x10E3/uL | X10E3/UL | FRACTION,,
LYMA,Lymphocytes Absolute Count,x10^9/L,,
LYMAT,Lymphocytes Atypical Percent,10^9/L | FRACTION,,
LYMATA,Lymphocytes Atypical Absolute,x10^9/L,,
LYMPHF,,,,
MAG,Magnesium,mmol/L,,
MCH,,PG/CELL |  | pg | PG,,
MCHC,,GHB/L |  | g/L | G/L | G/DL,,
MCV,,FL |  | fL,,
METAF,,,,
METAMY,,10^9/L,,
MMP3,,,,
MONO,Monocytes Percent,X10E9/L |  | 10^9/L | x10E3/uL | X10E3/UL | FRACTION,,
MONOA,Monocytes Absolute Count,x10^9/L,,
MONOSF,,,,
MRACONC,,,,
MUCTHR,,,,
MYCY,,10^9/L,,
MYELOF,,,,
NEUT,Neutrophils Segmented Percent,FRACTION,,
NEUTA,Neutrophils Absolute Count,x10^9/L,,
NEUTAB,,,,
NEUTB,,10^9/L,,
NEUTRF,,,,
NEUTSG,,10^9/L,,
NTT,,X10E9/L |  | x10E3/uL | X10E3/UL,,
PHOS,Phosphorus,MMOL/L |  | mmol/L | mmol/L,,
PIIANP,,,,
PIICP,,,,
POT,,MMOL/L |  | mmol/L,,
POTASS,Potassium,mmol/L,,
PREGSC,Pregnancy Test BHCG,,,
PROMYELF,,,,
PROT,,G/L | g/L,,
PTA,,sec,,
PTT,,sec,,
RBC,Red Blood Cell Count,X10E12/L |  | 10^12/L | /HPF | x10E6/uL | X10E6/UL | x10^12/L,,
RBCCLUMP,,,,
RBCCOM,RBC Morphology Comment,,,
RBCMCOM,,,,
RETABS,,x10E3/uL | /uL | x10E6/uL | x10E4/uL,,
RETIC,,% | ,,
RF,,IU/mL | U/mL | U/ML,,
SAA,,ng/mL,,
SALB,,G/L | g/L,,
SIL6R,,,,
SNTX,,,,
SOC,,,,
SOD,,MMOL/L | mmol/L,,
SODIUM,Sodium,mmol/L | mmol/L,,
SPERM,,,,
TBILI,Total Bilirubin,umol/L,,
TPERAB,Thyroid Peroxidase Antibody,U/mL,,
TPROT,Protein Total,g/L,,
TRIG,,MMOL/L | mmol/L,,
UAC,,UMOL/L | umol/L,,
UBLD_QLT,,,,
UBLDQLT,,0 TO +4 | 0 to 4+ | 0 TO 4+,,
UBLOOD,,<None>,,
UCASQLT,,,,
UCAST,Urine Casts,,,
UCELL,Urine Cellular Elements,,,
UCRYST,Urine Crystals,,,
UDPYR,,,,
UGLI,Urine Glucose Covance IQ200 | Urine Glucose xxxx IQ200, | ,,
UGLU_QLT,,,,
UGLUC,,<None>,,
UGLUQLT,,0 TO +4 | 0 to 4+ | 0 TO 4+,,
UKETI,Urine Ketones Covance IQ200 | Urine Ketones xxxx IQ200, | ,,
UMICORG,Urine Microorganisms,,,
UMICRI,Urine Microscopic Covance IQ200 | Urine Microscopic xxxx IQ200, | ,,
UMICRO,,,,
UNTRI,Urine Nitrite Covance IQ200 | Urine Nitrite xxxx IQ200, | ,,
UNTXCR,,,,
UPH,,,,
UPRI,Urine Protein Covance IQ200 | Urine Protein xxxx IQ200, | ,,
UPRO_QLT,,,,
UPROQLT,,0 TO +4 | 0 to 4+ | 0 TO 4+,,
UPROT,,<None>,,
UPYR,,,,
URATE,,umol/L,,
URBCTXT,,,,
UREA,,MMOL/L | mmol/L,,
URICA,Uric Acid,umol/L,,
USGI,Urine Specific Gravity Covance IQ200 | Urine Specific Gravity xxxx IQ200, | ,,
UURO,,,,
UURO_QLT,,,,
UWBCTXT,,,,
WBC,White Blood Cell Count,X10E9/L |  | 10^9/L | /HPF | x10E3/uL | X10E3/UL | x10^9/L,,
WBCCL,,,,
WBCOT,,x10E3/uL | X10E3/UL,,
YEASTB,,,,
YEASTH,,,,
