term,match1,match2,match3,match4,match5
myprodol,prondol,mertodol,mertodol,mertodol,hyprosol
spektramox,pramox,pramox,septra,septra,spectogard
cordalin,cordran,corlan,cordarone,corwin,codamine
dextrose and sodium chloride injection,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75,dextrose and electrolyte no. 75
insulin isophane porcine,insulin lispro recombinant,insulin lispro recombinant,insulin lispro recombinant,insulin purified porcine,insulin purified porcine
obetrol                            /01345401/,obeticholic acid,obeticholic acid (substance),e,obenix,obephen
sulperazon,sulpor,sulparex,suprenza,sulphamerazine,sulphamerazine
wobenzym                           /02140101/,w,e,e,coenzyme r,enzymes
bladder catheterisation,blade,bayer aspirin,bayer aspirin,bayer aspirin,beta-lactamase inhibitors
cyproterone acetate,cyproterone,cyproterone and estrogen,cyprote acet,cyproterone (substance),cyproterone preparation
livogen                            /00486801/,livostin,livostin,livocab,livocab,livalo
metampicillin sodium,metampicillin,methampicillin,meticillin,metamipicillin,methicillin
os-cal                             /00188401/,os-cal 500 + d,os-cal 500 + d,os-cal 500 + d,os-cal 500 with d,os-cal 500 with d
supradyn                           /00453001/,suprane,supred,supred,supred,supred
bismuth,bismuth subcitrate,bismuth subcitrate (product),bismuth subnitrate (product),"bismuth preparations, combinations",bism subgallate co
cannabis sativa,cannabinoid (substance),canasa,canakinumab (substance),cantassium vitamin e,canesten oasis
diovol                             /00018101/,diovan,diovan hct,diovan hct,dv,diodone
opium alkaloids total,opium alkaloids with morphine,opium alkaloids and derivatives,opioids,"opium alkaloids and derivatives, cough suppressants",opium alkaloids and derivative combination cough suppressants
povidone,povidone k,povidine,povidine,povidine,povidine
rocuronium,rocuronium brom,rocuronium bromide,rocuronium bromide (substance),norcuron,rosoxacinum
dexketoprofen trometamol,dexketoprofen,dexketoprofen,dexketoprofen in oral dosage form,dexketoprofen in oral dosage form,dexketoprofen (substance)
kliogest,kliofem,kliofem,kliofem,kliofem,kliofem
maintelyt,manitol,mannite,manitol,mannite,manitol
phospholipids,phospholine iodide,phosphonacetic acid,phosphasal,phosphasal,phosphasal
ts 1,atuss 12 dx,atuss 12 dx,at 10,tuss hc,tuss hc
anavenol                           /00328201/,anapen,anacin,anacin,anacin,anacal
erlotinib hydrochloride,erlotinib,acriflavine hydrochloride,erlotinib (substance),ethinyl trichloride,erlosamide
glucosamine w/chondroitin sulf./mangan./vit c,glucosamine sulf,glucosamine hcl,glucosamine,glucamet,glucosamine [chemical/ingredient]
lymphomyosot                       /01357701/,lys,lh,mph,lymphocyte immune globulin anti-thymocyte globulin (equine),"lymphocyte immune globulin, anti-thymocyte globulin"
mecysteine,metisene,meclastin,meclastin,meclastine,meclastine
potacol r,potactasol,potassium chloride,potassium chloride,pot chlor,pot chlor
trimeperidine,trimeprimina,trimeprimine,trimeproprimine,trimipramine,trimepranol
algifen                            /06430701/,algin,algitec,algitec,alginic acid,agif
gidazepam,diazepam,medazepam,pinazepam,nitrodiazepam,fluridrazepam
hydrocortisone hydrogen succinate,hydrocortisone eye ointment,hydrocortisone eye ointment,hydrocortisone eye ointment,hydrocortisone eye ointment,hydrocortisone eye ointment
lenoltec with codeine no 1,lenograstim (genetical recombination),lenoxin,fioricet with codeine,fioricet with codeine,fioricet with codeine
lidocaine hydrochloride/metamizole sodium,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine
mersyndol                          /01137701/,mersol,mersal,mersalyl,menadol,menadol
oral contraception,oralone,oralone,oralone,oralone,oralone
rilmazafone hydrochloride,priscoline hydrochloride,priscoline hydrochloride,rimafen,rimafen,rimafen
ringer-acetat,ringl,renacet,florinef acetate,ide-cet,ide-cet
aktiferrin                         /00631201/,akten,akten,akten,akten,akten
beta blocking agents and other antihypertensi,beta blocking agents and other diuretics,beta blocking agents and thiazides,"beta blocking agents, thiazides and other diuretics",beta blocking agents,beta blocking agents
erythropoietin human,erythropoietin,erythropoietin (substance),erythropoietin [chemical/ingredient],erythroped a,erythroped a
ioxalan,ioxilan,ioxilane,ioxaglic acid,ioxilanum,ioxitalamic acid
normensal,normatens,normasol,normasol,normasol,normalip
petibelle filmtabletten,petidina,pet pectillin,pet pectillin,pethilorfan,pethidine (substance)
potassium magnesium aspartate,potassium permanganate,potassium permanganate,potassium permanganate (substance),potassium permanganate (substance),potassium para-aminobenzoate
sil-norboral,silenor,sileo,silvera,silvera,silvera
vancomycin hydrochloride,vancomycin hcl,vancomycin hcl,vancocin hcl,vancocin hcl,vancomycin
alcophyllex,alcohol,alcohol,alcohol,"alcohol,ethyl","alcohol,ethyl"
azapentacen,azapetine,azapetine (substance),azapress,azapropazone,azt
cyamopsis tetragonoloba,cyamepromazine,cya,cya,cyamemazine,cytosar
glucose injection,glucose,glucose,glucose,"glucose, combinations",glucose (substance)
insulin aspart protamine,insulin aspart,insulin aspart,insulin-aspart,insulin-aspart,"insulin, porcine"
mucaine                            /00115701/,mucinex,mucinex d,mucinex d,mucinex dm,mucinex dm
pemetrexed disodium,pemetrexed,pemetrexed (substance),pemetrexed [chemical/ingredient],edetate disodium,"edta, disodium"
pentazocine hydrochloride,pentazocine hcl,pentazocine,pentazocin,pentazine,pentazine
ssri,srif,spastrin,spastrin,sasapyrine,sasapyrinum
sulbactam sodium,sulbactam,sulfacetamidum,sulfacetamidum,sulphacetamidum,sulphacetamidum
unimax,unilax,urimax,urimax,urimax,urimax
vecuronium bromide,vecuronium brom,vecuronium,vecuronium (substance),vecuronium in parenteral dosage form,pipecurium bromide
becosules-z,beconase,beconase,beconase,beconase,becodisks
coveram,covera,cera,coversyl,covace,covace
flumethiazide,flumezide,flumethasone,flumethasone,flumetasone,flumetasone
homeopathic preparation,phytonadione preparation,menaphthone preparation,homatropaire,thiamine preparation,homoharringtonine
intrauterine contraceptive device,intrauterine contraceptives,intratect,intrarosa,intron a,intraven
magnosolv,magnalox,magnalox,magnalox,mandol,magnesium pidolate
magnyl                             /02350501/,magnalox,magnalox,magnalox,magnacet,magnacet
mitiglinide calcium,mitiglinide,mitigare,mitride,mitride,mitride
zotarolimus,zolim,brotizolamum,tacrolimus,tacrolimus,deforolimus
afi-b-total                        /00322001/,afinitor,afinitor,afrinol,attia,aftera
azlocillin sodium,azlocillinum,azlocillin,azlocillin (product),azlocilline,azlocilina
belbarb,belbuca,belbuca,belimumab,bellad,benzylbenzenecarboxylate
berocca                            /01543401/,berotec,bc,bc,bc,bepro
chondroitin w/glucosamine          /02118501/,chondroitin sulfate,chondroitin sulfate b,chondroitin sulfates,chondroitin sulphate,chondroitin sulphate b
denopamine,deconamine,deconamine,denzapine,dopexamine,dentapaine
di-gesic                           /00016701/,di-gel,di-gel,di-gel,d-g,d-g
diprospan                          /00582101/,dipro,diprosone,diprosone,diprosone,diprosone
elomel,evomela,eloine,eloine,eloine,eloine
inhalation therapy,"inhalant, nicotine","inhalants, nicotine",intal inhaler,intal inhaler,intal inhaler
mersyndol                          /00327201/,mersol,mersal,mersalyl,menadol,menadol
neurogrisevit                      /00091901/,neut,neut,neuromed,neuromed,neuromed
prevalon                           /00658601/,prevail,prevail,prevail,prevail,prevail
pritor                             /01506701/,primor,pr,pio,prialt,prioderm
remifentanil hydrochloride,remifentanil hcl,remifentanil,remifentanyl,remifentanil [chemical/ingredient],remifentanil (substance)
robaxisal compuesto,robaxisal,robaxisal,robaxisal,robaxisal,robalog
simeco                             /00416501/,simcor,simcor,simcor,simeticone,simuc
stilpane                           /01366801/,stilline,stilnox,stilnoct,stilbestrol,stilbestrol
"vitamin b-complex, incl combinations","vitamin b-complex, incl. combinations","vitamin b-complex, other combinations","vitamin b-complex, plain",vitamin b-complex with minerals,vitamin b-complex with anabolic steroids
aescusan                           /01088001/,asa,asa,asa,ascur,aerospan
aktiferrin,akten,akten,akten,akten,akten
calcium chloride dihydrate,calcium chloride,calcium chloride,calcium chloride,calcium chloride (substance),calcium chloride (substance)
cefalotin sodium,cefalotinum,cefazolin sod,cefalotin,cefaloridinum,cefalotina
cefmetazole sodium,cefmetazolum,cefmetazole,cefmetazolo,cefmetazole (substance),cefmetazole [chemical/ingredient]
chlorhexidine hydrochloride,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine
clorazepic acid,clorazepate dipot,carbolic acid,carbolic acid,carbolic acid,clorhexidina
codeine sulfate,codeine (substance),codeine,copper sulfate,codegest,codegest
epalrestat,elaprase,cepastat,cepastat,cepastat,cepastat
esberiven                          /00021901/,e,e,e,esbriet,estring
fleet enema                        /00129701/,fleet,fleet,fleet,fleet,fleet relief
fluorouracil w/folinic acid/irinotecan,fluorouracil/salic acid,fluorouracilo,fluorouracil in topical dosage form,fluoruracil,fluorouracil [chemical/ingredient]
folfox-4,foltx,foltx,folplex,folplex,folotyn
glucosamine w/methylsulfonylmethane,glucosamine sulf,glucosamine hcl,glucosamine,glucamet,glucosaminoglycan polysulfate
godasal                            /01574801/,goddards,asa,asa,gonal f,genasal
hjertemagnyl                       /01043701/,hmg,hexemal,ran,tmg,etn
lafamme,laam,latamoxef,lapase,lacosamide,lamb
ornof                              /03429901/,ornex,ornex,ornacyn,ornacyn,ornacyn
perihemin,permethrin,perisine,perhexilina,perhexiline,periochip
physio,physiosol,physiosol,physiosol,physiosol,physiosol
piperacillin w/tazobactam,piperacillin/tazobactam,piperacillina,piperacilina,piperacillin,piperacillinum
portalak                           /00723101/,portrazza,pr,poly d,poly d,poly d
potassium phosphate monobasic,potassium supplement combinations,potassium 4 aminobenzoate,"potassium chloride, combinations",potassium supplements,potassium gluconate (substance)
preterax arginine,prefrin,prefrin,prefrin,prefrin,prefrin
prunus africana,prunus africanae cortex,proparacaine,prussian blue stain,prulifloxacin,prulifloxacin (substance)
thallous chloride (201 tl),thallium (201tl) chloride,tha,thimerosal (product),thalidomide (substance),thc
zidovudine w/lamivudine,zidovudine and lamivudine,"zidovudine, lamivudine and abacavir","zidovudine, lamivudine and nevirapine",zidovudine,zidovudin
almagel                            /00909601/,almagate,almacone,almacone,almacone,almazine
asasantin                          /00580301/,asasantin ret,asa,asa,asendin,asmasal
b-50                               /01533601/,b-3-50,b-3-50,b-12,b-max,b-tuss
bronchilator                       /00005001/,bronchial,bronchial,bronchitol,brochlor,brondil
cimetropium,cimetropium bromide,cimetidinum,cetrimonium,cetrimonium,cimetidin
clavulanate potassium,clavine alkaloids,"citrate, potassium",clavamox,canrenoate potassium,cla
codeine phos.w/guaifenesin/pheniramine mal.,codeine phos,codeine,codeine phosphate/ibuprofen 12.8 mg-200 mg oral tablet,codeine and other non-opioid analgesics,codeinum
duocid                             /00892601/,duocet,duocet,duocaine,duocaine,duocaine
echinacea purpurea extract,econac sr,econac sr,econac,econac,echothiophate (substance)
ferro-folsan                       /00023601/,ferrogels,ferrogels,ferrogels,ferrogels,ferrogels
gastrografin,gastrinex,gastrinex,gastrotsepin,gastrocrom,gastrocrom
herbal extract nos,herbalache,herplex,herplex,herplex,herbon rockhoppers
ibuprofen sodium,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen
iletin,ilotycin,ilotycin,ilotycin,rociletinib,istin
kalinor-brausetabletten,karbolsaeure,karbolsaeure,karbolsaeure,karbolsaeure,kalziumkarbonat
kliogest                           /00686201/,kliofem,kliofem,kliofem,kliofem,kliofem
lactobacillus reuteri,lactobacillus fermentum,lactulose,lactocal,lactocal,lactocal
low molecular dextran l,lowacryl blue 9,lowacryl blue 9,low sodium plus,low sodium plus,low sodium plus
medilac-s,mediplast,mediplast,medilax,medicoal,medihaler-iso
mist. expectorans                  /00291401/,mitran,mitotan,misofen,misofen,mtx
nafamostat mesilate,nafarelin (substance),nafazair,nafazair,nafazair,nafarelin acet
otilonium,otilonium bromide,motilium,otilonium bromide (product),tibolonum,otilonium bromide (substance)
primaxin,primazine,primachin,primaquin,primaxin i.v.,primaxin i.m.
salvia miltiorrhiza root,salvax,salvax,salamol,salitop,salitop
spasfon                            /00765801/,spasmonal,spasmolin,spasmolin,spasmolin,spasmolin
sufentanil citrate,sufentanil,sufentanilo,sufentanil (substance),sufentanyl,sufenta
taxol w/carboplatin,taxol a,taxol,"taxol, bris",oxalatoplatin,tavaborole topical
vitamin-b-complex standard,vitamin a,vitamin a,vitamin a,vitamin a,vitamin bt
xylitol,xylon,xylon,xylon,xylon,xylon
alfa-adrenoceptor blocking agents and diureti,alpha and beta blocking agents and other diuretics,alpha-adrenoreceptor antagonists and diuretics,alpha and beta blocking agents and thiazides,alpha- and beta-adrenoreceptor agonists,alpha- and beta-adrenoreceptor agonists
amlodipine w/benazepril hydrochloride,amlodipine / perindopril,amlodipine - perindopril,amlodipine/perindopril,amlodipine-perindopril,amlodipine and diuretics
amlong-a,amlor,amlostin,amlodipine-valsartan,amlodipine - valsartan,amlodipine-telmisartan
arotinolol,arsthinol,aromatic alcohol,cloranolol,arsthinenol,artenimol
azelnidipine,lercanidipine,manidipine,benidipine,barnidipine,nilvadipine
barium,baridium,bactrim,nobrium,barosmin,abtrim
benzylpenicillin sodium,benzylpenicillin sod,benzylpenicillinum,benzylpenicillinum,benzylpenicillin,benzylpenicillin
bifendate,iofendylate,bifemelane,biferarx,biferarx,bendamustine
boi-k aspartico,boil-ease,boil-ease,boil-ease,boil-ease,bovine aprotinin
calcium mefolinate w/pyridoxine hydrochloride,calcium ipodate [chemical/ingredient],calcium carbonate/simethicone oral tablet,calcium carbonate/simethicone oral tablet,calcifediol [chemical/ingredient],calcium chloride [chemical/ingredient]
canrenoic acid,carbolic acid,carbolic acid,carbolic acid,carbolic acid,alendronic acid
cefoperazone w/sulbactam,cefoperazonum,cefoperazone (substance),cefoperazon,cefoperazone and beta-lactamase inhibitor,cefoperazone [chemical/ingredient]
cefoxitin sodium,cefoxitin sod,cefoxitinum,cefoxitin,cefoxitina,cefoxitine
cocillana-etyfin                   /00223001/,cocet,cocet,cocaine,cocaine,cocaine
colchimax                          /00728901/,colchicina,colchamine,colchcine,colchicin,colchicinum
combiron b 12,combigan,combigan,combivir,combivir,combigan
cromatonbic,crotamiton,cromolyn,cromolyn,cromolyn,cromolyn
dexmedetomidine hydrochloride,dexmedetomidine,dexmedetomidin,dexmedetomidina,dexmedetomidinum,dexmedetomidine (substance)
diphenhydra. hcl w/paracetamol/pseudoeph. hcl,diphenhyd hcl/pholcod,diphenyl,diphenyl,diphenadryl,diphenadryl
domperidone w/pantoprazole,domperidone/paracet,domperidona,domperidone,domperidon,domperidonum
fluorouracil sodium,fluorouracilum,fluorouracilo,fluorouracil,fluoruracil,fluorouracil topical
fosfocol fides,fosfomycine,fosfocina,fosfonet,fosfomycin trometamol,fosfomycin (substance)
galenic /flupentixol/melitracen/,galenamox,galenamox tp,galenomycin,galenomycin,galenomycin
granisetron hydrochloride,granisetron hcl,granisetron,granisetrón,granisétron,granisetronum
imipenem,imipenem-cilastatin,imipenem/cilast sod,imipramine,imipramin,imipramine hcl
inhibin                            /00508201/,inh,inh 50 mg / pza 300 mg / rifampin 120 mg oral tablet,"inhibitor, alpha 1-protease",inh 75 mg / pza 400 mg / rifampin 150 mg oral tablet,inh 80 mg / pza 250 mg / rifampin 120 mg oral tablet
lyo-diamin,lonidamin,lonidamina,lonidamine,glycodiazine,lonidaminum
macril                             /01630701/,macrogol,macrobid,macrogols,macilax,macilax
mega b                             /02048801/,megace,megace,megace,mea,mega c acid plus
nalbuphine hydrochloride,nalbuphine hcl,nalbuphine,nalbuphin,nalbuphinum,nalbuphine [chemical/ingredient]
neodolpasse                        /01305601/,neo-d,neosol,neopolydex,neopolydex,neopolydex
neosporin eye and ear,neosporin af,neosporin af,neosporin af,neosporin af,neosporin af
neotracin                          /00038301/,neocin,neocin,neocin,neocin,neocin
noctran,nocturne,noctiva,conotrane,noctamid,norplant
noklot-cv,no,norlyroc,norlyroc,senokot-s,notuss-dc
oral rehydration salt,oral rehydration salt formulations,oral-b rinse,oral-b rinse,oral-b rinse,oral-b rinse
osteo                              /01471301/,osteocaps d,osteo bi-flex,osteo bi-flex,osto-d,osto-d
paracetamol w/tramadol,paracetamol + tramadol,paracetamolum,paracet/metoclopramide hcl,paracet/metoclopramide,paracets
parafon,paraf,paraoxon,paradione,paraffin oil,parafon forte dsc
piprinhydrinate,piperidolate,pipril,pipradrol,pirinitramide,piritramide
potassium ascorbate,potassium lactate,potassium acetate,potassium salicylate,potassium (as chloride),potassium (as chloride)
prostagutt,prostap,prostamate,protostat,protostat,protostat
radiotherapy,radiogardase,radiomiro,radtue,radian-b,radiaguard
scheriproct n                      /00212301/,scheriproct,schering pc,schering pc4,schering pc4,schering pc4
sibutramine hydrochloride,sibutramine,arginine hydrochloride,sibutramina,sibutraminum,sibutramine [chemical/ingredient]
sitosterol,stilboestrol,stilboestrol,stilboestrol,stilphostrol,stilphostrol
travad phosphate enema,travoprost ophthalmic,travatan,traveleeze,travasol 10,travasol 10
uralyt                             /01779901/,uralgic,uralgic,uralgic,uralgic,uralgic
wobenzym n                         /01199401/,w,e,e,coenzyme r,enzymes
yellon                             /01043001/,yellox,yellow fever vaccine,yellow fever vaccine live,yellow fever vaccine product,"yellow fever, live attenuated"
abacavir sulfate w/lamivudine,abacavir / lamivudine,abacavir sulfate-lamivudine combination,abacavir/lamivudine,abacavir + lamivudine,"abacavir sulfate 600mg, lamivudine 300mg oral tablet"
aida                               /06358701/,aidulan,aidulan,aidulan,aidulan,aidulan
alfentanil hydrochloride,alfentanil hcl,alfentanil,alfentanyl,alfenta,alfentanilum
alpha-d-galactosidase,alpha-ara a,alpha-ara a,alphagan,alphagan,alphacalcidol
antacid,antacids,anacin,ansaid,ansaid,ansaid
antifungals,anti-fungal,anti-fungal,anti-fungal,anti-fungal,anti-fungal
becosules,beconase,beconase,beconase,beconase,becodisks
bronchilator aerosol,broncholate,broncholate,broncholate,broncholate,broncholate
calcium carbonate w/vitamin d nos,calcium carbonate/vitamin d oral wafer,calcium carbonate/vitamin d oral wafer,calcium carbonate/vitamin d oral capsule,calcium carbonate/vitamin d oral capsule,calcium carbonate/vitamin d oral tablet
calcium d3,calcium,calcium,calcid,calcid,calcium ipodate
"calcium, combinations with other drugs","calcium, combinations with vitamin d and/or other drugs",calcium carbonate/magnesium oxide oral tablet,calcium carbonate/magnesium oxide oral tablet,calcium carbonate/magnesium oxide oral tablet,calcium carbonate/magnesium oxide oral tablet
cefaliv,cefa,cefalexin,cefalotin,cefazolin,cefalexina
cisatracurium besilate,cisatracurium,cisatracurium (substance),cisatracurium [chemical/ingredient],cisapride,cisapridum
diapride forte,duradex forte,duradex forte,pred forte,pred forte,pred forte
diclovit                           /01562401/,dic,diclovol,diclozip,diclovol,diclozip
digestives enzymes,"digestives, incl. enzymes","digestives, incl. enzymes",dipeptiven,dipeptiven,dipeptiven
doxifluridine,idoxuridine,idoxuridine,idoxuridine,iodoxuridine,iodoxuridine
epirubicin hydrochloride,epirubicin hcl,epirubicin,epirubicina,epirubicine,epirubicinum
escin sodium,suramin sodium,desonidum,desonidum,seconal sodium,"selenite, sodium"
fleet enema,fleet,fleet,fleet,fleet,fleet mineral oil
hypoethanolum,hypotear,hypophthalin,hytan,hytan,hypotears
inner health plus,ins lantus,ins lantus,health+plus,health+plus,heartshield plus
juice plus,murine plus,murine plus,murine plus,ivomec plus,ivomec plus
lentogesic                         /01351301/,lentinan,lentizol,etogesic,leg-gesic,leg-gesic
levofloxacin mesylate,levofloxacine,levofloxacine,levofloxacin,levofloxacin,levofloxacinum
lycopene,lycoremine,nycopren,nycopren,nycopren,tycolene
macalvit                           /00129401/,macuvite,macuvite,macuvite,macuvite,macuvite
