term,slct,second_class,match1,match2,match3,match4,match5
alosenn                            /00476901/,Non,,alosetron,alophen,alophen,alophen,alor
alpha-d-galactosidase,Non,,alpha-ara a,alpha-ara a,alphagan,alphagan,alphacalcidol
alphadryl,Non,,alphaderm,alphaderm,alphaderm,alphosyl,alphosyl
althaea officinalis extract,1,,althea root,altacaine,altacaine,altacaine,altacaine
aludrox                            /00082501/,1,,aludrox,aldrox,alum,ado,alum ox
aluminium,1,,aluminium oxide,aluminium agents,alumina,aluminum lake,aluminium chloride
aluminium hydroxide gel w/simethicone,1,,aluminium hydroxide,aluminium hydroxide + magnesium carbonate,aluminium hydroxychloride,aluminium hydroxychloride,aluminum hydroxide gel
aluminium w/magnesium hydroxide/simeticone,1,,aluminium magnesium hydroxide sulfate hydrate,aluminium magnesium silicate,aluminum hydroxide/magnesium carbonate,alum hydrox,aluminum-magnesium hydroxide carbonate
alupent expectorant,1,,alupent,alupent,tussend expectorant,tussend expectorant,tussend expectorant
alvityl plus,Non,,alverin plus,alverin plus,alvimopan,alexitol sod,corzall plus
amfetamine sulfate,1,,amfetamine,amfetaminum,amfepramone (substance),amfepramone,amfenac amide
amigrand,Non,,migrend,migrend,migrend,amipramidin,amiodarona
amino acids nos w/carthamus tinctorius oil/fr,1,,amino acids nos,amino acids,amino acids,amino acids,amino acid
amino acids nos w/electrolytes nos/glucose/th,1,,amino acids nos,amino acids,amino acids,amino acids,amino acid
amino acids nos w/enterococcus faecium/escher,1,,amino acids nos,amino acids,amino acids,amino acids,amino acid
aminomix                           /00994901/,Non,,amix,aminomine,amox,amidox,amimax
amiyu                              /00749601/,Non,,amix,amias,ambi,aminosyn ii 3.5 % m in 5 % dextrose,aminosyn ii 3.5 % m in 5 % dextrose
amlodipine w/benazepril,amlodipine,benazepril,amlodipine,amlodipine / telmisartan,amlodipine free base,amlodipine/telmisartan,amlodipino
amlodipine w/benazepril hydrochloride,amlodipine,benazepril,amlodipine / perindopril,amlodipine - perindopril,amlodipine/perindopril,amlodipine-perindopril,amlodipine and diuretics
amlodipine w/valsartan,1,,amlodipine / valsartan,amlodipine valsartan,amlodipine/valsartan,amlodipine - valsartan,amlodipine + valsartan
amlong-a,Non,,amlor,amlostin,amlodipine-valsartan,amlodipine - valsartan,amlodipine-telmisartan
amlopres l,Non,,amlor,ampres,amiloride hcl,amphero xl,amlodipine + valsartan
ammonium carbonate w/glycyrrhiza/ipecacuanha,Non,,ammonium chloride,ammonium chloride,ammonium chloride [chemical/ingredient],ammonium chloride [chemical/ingredient],ammonium chloride (substance)
amosulalol hydrochloride,Non,,amsa,amlodipine / hydrochlorothiazide / valsartan,amlodipine/hydrochlorothiazide/valsartan,amd,amsa pd
ampicillin sodium,1,,ampicillinum,ampicillinum,ampicillin,ampicillin,ampicillin acid
ampiclox,Non,,amphocil,amphocil,amphocil,ampicilina,ampicilina
anacin                             /00141001/,1,,anacin,anacin,anacin,anacin,anacin af
analverin,Non,,alverina,alverine,analgesine,analgesine,anefrin
anavenol                           /00328201/,Non,,anapen,anacin,anacin,anacin,anacal
anavenol                           /06457501/,Non,,anapen,anacin,anacin,anacin,anacal
ancovert,Non,,corvert,ancotil,ancotil,antivert,anecortave
anginosan,Non,,angiomax,angiotensinamide,angidol,angilol,angidol
angiotensin ii,Non,,angiotensin amide,angiotensinamide,angiotensin amide [chemical/ingredient],angiotensin ii antagonists and diuretics,angiopine
angiotensin ii antagonists,1,,"angiotensin ii antagonists, plain","angiotensin ii antagonists, plain","angiotensin ii antagonists, combinations",angiotensin ii antagonists and diuretics,"angiotensin ii antagonists, other combinations"
anisodamine,Non,,pyranisamine,pyranisamine,lonidamine,anamine,anamine
antacid,1,,antacids,anacin,ansaid,ansaid,ansaid
antazoline w/tetryzoline,1,,antazoline,antazoline,antazoline [chemical/ingredient],antazoline [chemical/ingredient],antazoline (substance)
antibiotics-resistant lactic acid bacteriae,1,,antibiotics,antibiotics,antibiotics,antibiotics,antibiotics
anticoagulant therapy,antithrombotic agents,,antivaricose therapy,antinematodal agents,anti-inhibitory coagulant complex,anti-inhibitory coagulant complex,antigout preparations
antidiarrhoeal microorganisms,1,,antidiarrheal microorganisms,antidiarrheal microorganisms,anti-diarrhea,antithyroid preparations,antiglaucoma preparations and miotics
antifungals,1,,anti-fungal,anti-fungal,anti-fungal,anti-fungal,anti-fungal
antiplatelet therapy,platelet aggregation inhibitors excl. heparin,,antivaricose therapy,antivaricose therapy drugs,anticholinesterase parasympathomimetics,anti-parathyroid agents,"anti-lewisite agent, british"
antipyrine w/benzocaine,5,,antipyrine otic,antipyrine otic,antipyrine [chemical/ingredient],antipyrine [chemical/ingredient],antiben
antispasmodics/ anticholinergics,4,,antispasmodics in combination with analgesics,antispasmodics in combination with other drugs,antispasmodics in combination with psycholeptics,antispasmodics and anticholinergics in combination with other drugs,antiminth
antistin privine,Non,,antipyrine,antipyrine,"antitoxin, diphtheria","antitoxin, diphtheria",antithrombin ii
anugesic-hc,1,,anugesic hc,anugesic hc,anugesic hc,ugesic,ugesic
anusol                             /00117301/,1,,anusol,anusol,anusol hc,anusol hc,anusol hc
anusol plus                        /00330501/,1,,anusol,anusol,anusol plus hc,anusol plus hc,anusol plus hc
aplexil,Non,,aplenzin,palexia,apexicon,aloxi,arlex
aprindine hydrochloride,1,,aprindine,aprindina,aprindinum,aprinox,aprindine [chemical/ingredient]
aqueous,Non,,aquest,aquest,aquatensen,aquacot,aquasept
aqueous                            /00662801/,Non,,aquest,aquest,aquasol e,aquacot,aquasol a
aqueous iodine solution,Non,,aqueous procaine penicillin g,aquest,aqua maris decongestant,aqua maris decongestant,aqua maris decongestant
arbid                              /00002501/,Non,,arbil mr,arbinoxa,arsb,arbekacin,aerobid
arbidol,Non,,aridil,aridil,acidol,carbol,carbol
ardeparin sodium,Non,,ardern,warfarin sod,aldadiene potassium,ipodate sodium,acidum risedronicum
aristochol spasmolyticum,Non,,aristocort,aristospan,aristocort,aristospan,aristocort
arnica montana,Non,,"articaine, combinations",arcapta,narcan neonatal,amrinon,arnuity
aronamin-gold,Non,,aromasil,aromasin,apronal,anamine,anamine
arotinolol,Non,,arsthinol,aromatic alcohol,cloranolol,arsthinenol,artenimol
arotinolol hydrochloride,Non,,aralen hydrochloride,arginine hydrochloride,9 alpha fludrohydrocortisone,acriflavine hydrochloride (product),chloral hydrate
arthrochoice,Non,,arthrocine,arthrotec,arthrotec,arthrotec,arthrotec
arthrotec                          /01182401/,1,,arthrotec,arthrotec,arthrotec,arthrotec,arthrotec
arthryl                            /06859001/,Non,,arth-rx,arth-rx,arthur itis,arthur itis,arthroxen
asasantin                          /00580301/,Non,,asasantin ret,asa,asa,asendin,asmasal
ascorbic acid w/biotin/boron/calciu,1,,ascorbic acid,ascorbic acid,ascorbic acid,ascorbic acid (vit c),ascorbic acid (vit c)
ascorbic acid w/biotin/calcium pant,1,,ascorbic acid and calcium,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium pantothenat,1,,ascorbic acid and calcium,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium pantothenat/07428301/,1,,ascorbic acid and calcium,ascorbic acid,ascorbic acid,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium pantothenate/chromic,1,,ascorbic acid oral powder,ascorbic acid oral powder,ascorbic acid oral powder,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium/minerals nos/retinol/,1,,ascorbic acid and calcium,"ascorbic acid (vitamin c), combinations",ascorbic acid,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/ergocalciferol/folic acid/ret,1,,ascorbic acid oral liquid,ascorbic acid oral liquid,ascorbic acid oral liquid,ascorbic acid/ferrous fumarate/folic acid oral tablet,ascorbic acid/ferrous fumarate/folic acid oral tablet
ascorbic acid w/vitamin b nos,1,,"ascorbic acid (vitamin c), plain","ascorbic acid (vitamin c), combinations",ascorbic acid (vit c),ascorbic acid (vit c),ascorbic acid (vit c)
aseptobron respiratorio,Non,,asepso,asepxia,asepxia,aldosterone preparation,ascriptin enteric
asmeton,Non,,asmavent,asmavent,asmavent,asmaven,asmaven
aspara,Non,,apara,aspav,asparaginase ii,asparaginase macrogol,astagraf
aspartame,Non,,asparaginase,aspire,asparaginase ii,asparaginase macrogol,asparaginase (substance)
aspartate calcium w/calcium/diastase/glycyrrh,1,,"aspartate, magnesium","aspartic acid, magnesium (2:1) salt",asparagine deaminase,asparaginase in parenteral dosage form,asparaginase [chemical/ingredient]
aspecton                           /00625801/,Non,,as,asperdrink,asperdrink,asperdrink,aspergum
aspimag,Non,,aspircaf,aspirtab,aspircaf,aspirtab,aspircaf
astoma,Non,,gastromax,soma,astramorph,stromba,asthmahaler
astragalus gummifer,Non,,aragam,aragam,astramorph,astri-uc,astri-uc
atazanavir sulfate,1,,atazanavir,atazanavir (substance),atazanavirum,atazanavir / cobicistat,atazanavir + cobicistat
atenolol w/hydrochlorothiazide,1,,atenolol and thiazides,atenolol,atenolol and other diuretics,atenolol [chemical/ingredient],atenolol/bendroflumeth
atopiclair,Non,,atopica,atopica,topilar,atopalm itch relief,atopalm itch relief
atrial natriuretic peptide,Non,,atriance,atra,atra,atridine,atridine
atropa belladonna extract,atropine,,atropen,atropen,atrofed,atrogen,atrofed
augmentin                          /00756801/,1,,augmentin,augmentin-duo,amen,amen,amen
augmentine                         /01569301/,1,,augmentin,augmentin-duo,amen,amen,amen
autrin,Non,,daturin,atropin,aneurin,atralin,atralin
avena sativa fluid extract,Non,,aventyl,aveeno active naturals daily moisturizing,aveeno active naturals skin relief,aventis brand lepirudin,aveeno active naturals clear complexion
axotal                             /00727001/,1,,axotal,axotal,axotal,axocet,axalid
ayurvedic preparation nos,Non,,acid preparations,estradiol preparation,thyroid preparations,anti-acne preparations,aredia
azapentacen,Non,,azapetine,azapetine (substance),azapress,azapropazone,azt
azecol,Non,,aztec gold,azo,pazeo,vazol,pazeo
azelnidipine,Non,,lercanidipine,manidipine,benidipine,barnidipine,nilvadipine
azelnidipine w/olmesartan medoxomil,Non,,azelastine [chemical/ingredient],azelastine [chemical/ingredient],azelastine [chemical/ingredient],azelastina,azelastina
azlocillin sodium,2,,azlocillinum,azlocillin,azlocillin (product),azlocilline,azlocilina
azor                               /06230801/,1,,azor,azo,azopt,azo gesic,azt
b-50                               /01533601/,Non,,b-3-50,b-3-50,b-12,b-max,b-tuss
b-combin                           /00255501/,Non,,bc,bc,bc,bc,b-caro-t
b-complex                          /01523901/,Non,,bc,bc,bc,bc,cx
b-komplex,Non,,bromplex hd,bromplex hd,bromplex hd,bisa-plex,bisa-plex
bacicoline                         /03083601/,Non,,bacitracin,bacitracin,bacitracin,baci-im,baci rx
bacteria nos,Non,,bacterial vaccines,bactine,bactine,bactine,bactine
bactrim                            /00086101/,1,,bactrim,bactrim,bactine,bactine,bactine
baldriparan                        /00712901/,Non,,bal,balagan,balagan,balagan,balagan
barium,Non,,baridium,bactrim,nobrium,barosmin,abtrim
barium sulfate,1,,barium sulfate with suspending agents,barium sulfate without suspending agents,barium sulfate containing x-ray contrast media,alum sulf,alum sulf
basica,Non,,absorica,absorica,basiliximab,basic blue 9,basic blue 9
beclomethasone w/fenoterol,1,fenoterol,beclomethasone,beclomethasone,beclomethasone,beclomethasone,beclomethasone nasal
becosules,Non,,beconase,beconase,beconase,beconase,becodisks
becosules                          /01353601/,Non,,beconase,beconase,beconase,beconase,becodisks
becosules capsule,Non,,beconase,beconase,beconase,beconase,becodisks
becosules-z,Non,,beconase,beconase,beconase,beconase,becodisks
bee pollen,Non,,tree pollen,beepen-vk,gppe emollient,bellalphen,bellalphen
befact                             /00527001/,Non,,bc,bc,bc,bc,beacita
befact                             /01525301/,Non,,bc,bc,bc,bc,beacita
bekform,Non,,benfluorexum,benzefoam,buformin,benfluorex,cefrom
belbarb,Non,,belbuca,belbuca,belimumab,bellad,benzylbenzenecarboxylate
belotecan,Non,,berotec,beclometasone,beclometasone,beclometasone,beclometasone
beminal with c,Non,,bemiparin,bemiparin (substance),vitabee with c,vitabee with c,vitabee with c
benadryl                           /01563701/,1,,benadryl,benadryl,benuryl,bentyl,bensal
benadryl allergy                   /01454801/,1,,benadryl,benadryl,benadryl allergy sinus,benadryl allergy sinus,benadryl allergy sinus
benadryl cold and flu,1,,benadryl,benadryl,benadryl-d allergy and sinus,benadryl-d allergy and sinus,benadryl-d allergy and sinus
benazepril w/hydrochlorothiazide,5,,aliskiren / hydrochlorothiazide,aliskiren/hydrochlorothiazide,benazepril,aliskiren-hydrochlorothiazide,benazepril and diuretics
bendazol hydrochloride,Non,,benzochloryl,bendazac,bendazac,benzoyl alcohol,bendrofluazide
benexate,Non,,benoxinate,benoxinate,benekraft,benylate,benekraft
benexate hydrochloride,Non,,betaine hydrochloride,betaine hydrochloride (substance),benzene hexachloride,betaine hydrochloride [chemical/ingredient],benzethonium chloride
benylin dry cough,1,,benylin,benylin + codeine,benylin expectorant,benylin expectorant,benylin multi-symptom
benzaclin topical,Non,,benzocaine topical,benzocaine topical,benzocaine topical,benzocaine topical,benzaclin
benzocaine w/tetracaine,3,,benzocaine/triclosan,benzocaine otic,benzocaine otic,benzocaine otic,benzocaine otic
benzthiazide,Non,,benza,benza,benza,benzidamine,benzidamine
benzylpenicillin sodium,1,,benzylpenicillin sod,benzylpenicillinum,benzylpenicillinum,benzylpenicillin,benzylpenicillin
bepanthen                          /01634501/,1,,bepanthen,bpn,bentex,benph,benzapen
bepotastine,Non,,betaine,betadine,betadine,betadine,betadine
berberine,Non,,berkaprine,berlind,berberex wound cleanser,berlin blue,beperiden
beriplast hs,Non,,bespar,beraprost,benorilate,buplast,respahist
beriplex p/n,Non,,berinert,bergapten,belix,belix,erex
berizym                            /00517401/,Non,,berinert,berdoz,betim,betim,beih
berocca,Non,,berotec,roccal,roccal,roccal,bepro
berocca                            /01543401/,Non,,berotec,bc,bc,bc,bepro
"berocca calcium, magnesium",Non,,berodual n,bencocaine,bencocaine,bencocaine,bencocaine
berocca plus                       /01327001/,Non,,berotec,bc,bc,bc,berkolol
berusanol,Non,,bedranol,berman,bupranol,bedranol sr,bensal
beta blocking agents and other antihypertensi,1,,beta blocking agents and other diuretics,beta blocking agents and thiazides,"beta blocking agents, thiazides and other diuretics",beta blocking agents,beta blocking agents
betadine                           /01728201/,1,,betadine,betadine,betadine,betadine,betadine
betalgil,Non,,betaxolol,betaxolol,betmiga,betaloc,betasal
betalin complex,Non,,betadine,betadine,betadine,betadine,betadine
betnesol-n                         /00203601/,1,,betnesol-n,betnesol-n,betnesol-n,betnesol,betnesol
bifendate,Non,,iofendylate,bifemelane,biferarx,biferarx,bendamustine
bifidobacterium bifidum,Non,,bifonazolum,biocorneum,biocorneum,biocorneum,biocorneum
bifidobacterium lactis,Non,,binaca fluoride anticavity,binaca fluoride anticavity,"bioallethrin, combinations","bisacodyl, combinations","bietaserpine, combinations"
bifidobacterium longum,Non,,bifonazole,clofibrate aluminum,"bifonazole, combinations",bisacodilo,bisacodilo
biguanide,1,,biguanides,biguanides,biguanides and amidines,biguanide antimalarials,biguanide blood glucose lower drugs
bilevel positive airway pressure,Non,,bile and liver therapy drugs,bile and liver therapy,bile acids and derivatives for bile therapy,bile acids and derivatives,bile therapy drugs
bio org super pot nerv relaxer val&passiflor,Non,,biore,biore,biorphen,biotina,bioral
bio-record,Non,,biore,biore,bio-carotene,biocare,biocare
bio-strath                         /01376101/,Non,,bio-tab,bio-tab,bio-statin,bio-statin,bio-statin
biofermin                          /00275501/,Non,,biofenac,biofenac,biotin,biomycin,biomycin
bioflavonoids                      /90016201/,1,,bioflavonoids,biofenac,bioflavonoid drugs for capillary stabilizing,biozide,biozide
biogesic                           /00411801/,Non,,biore,biore,bc,bc,biocef
biotussil                          /01363301/,Non,,biotussin,biotussin,biotussin,biotuss pe,biotuss dm
biselect                           /01166101/,Non,,bc,bc,bc,bc,bisolax
bismuth,1,,bismuth subcitrate,bismuth subcitrate (product),bismuth subnitrate (product),"bismuth preparations, combinations",bism subgallate co
bismuth aluminate,1,,bismuth subnitrate,bism subgallate,bismuth subnitrate (substance),bismuth subnitrate [chemical/ingredient],sulbuthiamine
bismuth hydroxide,1,,bismuth preparations,bismuth tripotassium dicitrate,bismuth subnitrate (product),magnesium hydroxide,magnesium hydroxide
bisoprolol w/hydrochlorothiazide   /06833601/,2,,bisoprolol,bisoprolol and thiazides,bisoprolol in oral dosage form,bisoprolol/aspirin,bisoprololum
bisoxatin acetate,1,,bisoxatin,biotine,biotin,bisolax,bisolax
bitolterol mesilate,1,,bitolterol,bitolterolum,bitolterol (substance),bitolterol [chemical/ingredient],bretylium tosilate
bivelin,Non,,biclin,biklin,biclin,biklin,biclin
blackmores bio magnesium,Non,,black draught,blm,blocadren,blocadren,backprin
bladder catheterisation,Non,,blade,bayer aspirin,bayer aspirin,bayer aspirin,beta-lactamase inhibitors
blood growth hormone,Non,,blood coagulation factors,"blood-coagulation factor viii, complex",blood coagulation factor x,blood and blood forming organ drugs,blood coagulation factor ix
blood oestrogen,Non,,blood coag factor x,blood coag factor ix,blood coag factor vii,blood coag factor viii,blood coag factor xiii
blood potassium,Non,,blood plasma,potassium,potassium,blood plasma (product),"blood transfusion, auxiliary products"
boehmite,Non,,bromsite,bromhexine,blephamide,blephamide,blephamide
boi-k aspartico,Non,,boil-ease,boil-ease,boil-ease,boil-ease,bovine aprotinin
brentan,Non,,bosentan,benestan,ambrisentan,brentuximab vedotin (product),brevital
bricanyl comp.,1,,bricanyl,bricanyl,bricanyl sa,bricanyl sa,brancico xl
brinerdin,Non,,brivudin,brinase,brintellix,brivudine,bridion
bro-zedex,Non,,brofed,brofed,brovex,brovex-d,brovex-d
bro-zedex                          /01691901/,Non,,brofed,brofed,brovex,bromfed,broflex
bromhexine hydrochloride w/guaifenesin,1,,bromhexine [chemical/ingredient],bromhexine,bromodiphenhydramine [chemical/ingredient],bromhexina,bromph hd
bromperidol decanoate,1,,bromperidol,bromelain protease,bromelain protease,bromperidol (substance),bromopride
brompheniramine maleate,1,,brompheniramine mal,brompheniramine,brompheniramin,"brompheniramine, injectable",brompheniraminum
bronchicum                         /01290501/,Non,,bronchial,bronchial,bronchodil,bronchodil,brondil
bronchilator                       /00005001/,Non,,bronchial,bronchial,bronchitol,brochlor,brondil
bronchilator aerosol,Non,,broncholate,broncholate,broncholate,broncholate,broncholate
broncho-vaxom                      /00648501/,Non,,bronchial,bronchial,broncholate,broncholate,broncholate
bros,Non,,ros,brodspec,brodspec,brodspec,brodspec
brozeet,Non,,breze,brolene,brolene,brolitene,brondelate
buckley's mixtura,Non,,buckleys mixture,buckley's bedtime formula,buckley's bedtime formula,buckley's dm decongestant,buckley's dm decongestant
bucolome,Non,,buccolam,bucillamine,bucalsep,bucalsep,bucalsep
bufferin                           /00009201/,Non,,bufferin,bufferin,bufferin,buff,buffex
bufferin a,Non,,bufferin,bufferin,bufferin,buff,buformina
bulk producers,Non,,bulk-forming laxatives,butylpyrazolidines,butler protect,butler protect,bromides
buscopan plus,Non,,buscopan,buscopan cramps,buscopan ibs relief,bupap,buspar
buserelin acetate,1,,buserelin,buserelin (obsolete),buserelin (substance),goserelin acet,buserelin [chemical/ingredient]
buspiron                           /00791501/,1,,buspiron,buspirona,buspirone,buspironum,buspar
butalbital w/aspirin/caffeine,Non,,butatron,butatron,butanilicaine,butazolidin,butazolidin
butorphanol tartrate,1,,butorphanol,butorphanol (substance),butorphanolum,butorfanol,butorphanol [chemical/ingredient]
bvk roche                          /00314701/,Non,,bc,bc,bc,bc,breo
c-1000-c,Non,,c-500,c-500,c-500,cobal-1000,c-500-gr
ca,Non,,caz,care,care,care,care
cabagin                            /00246401/,Non,,cabaseril,cabaseril,cabaser,cabaser,cabazitaxel
cacit                              /00987301/,1,,cacit,cacit,cacit d,cc,caco3
cade oil,Non,,calderol,capozide ls,cadexomer iodine,cadexomer-iodine,carexil
caditar,Non,,cafda,cacit,codipar,coaltar,coaltar
cafarex,Non,,care,care,care,care,care
cafinitrina,Non,,carbenicilina,afinitor,cafcit,cinarizina,cain acridine
caladryl                           /00138901/,1,,caladryl,caladryl,calan,caladryl clear,caladryl clear
caladryl                           /01554901/,1,,caladryl,caladryl,calan,caladryl clear,caladryl clear
calcemin,Non,,calc,calc,calcid,calcet,calcet
calcifort                          /01767901/,Non,,calcort,calc,calcid,calcet,calcet
calcigran,Non,,calcimar,calciparine,calcidrine,calcidrink,calcidrink
calcigran                          /00434901/,Non,,calc,calc,calan,calcid,calcitab
calcitrol                          /00508501/,2,,calciol,calcitriol,calcitriol,calcidol,calciferol
calcium                            /01618901/,1,,calcium,calcium,calcid,calcid,calci-mix
calcium                            /01725101/,1,,calcium,calcium,calcid,calcid,calci-mix
calcium carbonate w/calcium gluconate,1,,calcium carbonate oral capsule,calcium carbonate oral capsule,calcium carbonate oral tablet,calcium carbonate oral tablet,calcium carbonate oral powder
calcium carbonate w/cholecalciferol/sodium,1,,calcium carbonate,calcium carbonate,calcium carbonate/simethicone oral liquid,calcium carbonate/simethicone oral liquid,calcium carbonate oral powder
calcium carbonate w/magnesium,1,,calcium carbonate granule,calcium carbonate granule,calciumcarbonat,calciumcarbonat,calcium carbonate (substance)
calcium carbonate w/vitamin d nos,1,,calcium carbonate/vitamin d oral wafer,calcium carbonate/vitamin d oral wafer,calcium carbonate/vitamin d oral capsule,calcium carbonate/vitamin d oral capsule,calcium carbonate/vitamin d oral tablet
calcium chlorate,1,,calcium chloride,calcium chloride,calcium chloride,calcium gluconate,calcium gluconate
calcium chloride dihydrate,1,,calcium chloride,calcium chloride,calcium chloride,calcium chloride (substance),calcium chloride (substance)
calcium d3,1,,calcium,calcium,calcid,calcid,calcium ipodate
calcium d3                         /01483701/,1,,calcium,calcium,calcid,calcid,calciquid
calcium fluoride,1,,calcium chloride,calcium chloride,calcium chloride,calcium(2+) chloride,calcium(2+) chloride
calcium horm,1,,calcium chloride,calcium chloride,calcium chloride,calcium homeostasis,calcium(2+) chloride
