body_system,terms
ANORECTAL PREPARATIONS,ALUMINUM ACETATE/HYDROCORTISONE ACETATE/LIDOCAINE/ZINC OXIDE
ANOREXIANTS AND CNS STIMULANTS,AMPHETAMINE ASPARTATE/AMPHETAMINE SULFATE/DEXTROAMPHETAMINE SACCHARATE/DEXTROAMPHETAMINE SULFATE| DEANOL ACEGLUMATE/GINSENG/TRACE ELEMENTS/VITAMIN| DIETHYLPROPION HYDROCHLORIDE| LISDEXAMFETAMINE MESILATE| PHENDIMETRAZINE TARTRATE
ANTACIDS,ALGINIC ACID/*ALUMINUM HYDROXIDE/*CALCIUM CARBONATE/*MAGNESIUM CARBONATE/*MAGNESIUM HYDROXIDE/*MAGNESIUM TRISILICATE/...| ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE/SIMETICONE| ANTACID NOS
ANTACIDS NEC,ALUMINUM HYDROXIDE/MAGNESIUM CARBONATE/SODIUM ALGINATE| ALUMINUM NOS| ANTACID NOS
ANTI-DERMOINFECTIVES,NETICONAZOLE HYDROCHLORIDE
ANTIALLERGIC AGENTS NEC,ALLERGY MEDICATION NOS
ANTIANEMIC AGENTS,*ASCORBIC ACID/FERROUS SULFATE/*MUCOPROTEOSE| CA PANTOTHENATE/CYANOCOBALAMIN/FERROUS SULFATE/FOLIC ACID/NICOTINIC ACID/PYRIDOXINE/RIBOFLAVIN/NA ASCORBATE/THIAMINE| CALCIUM PHOSPHATE/FERROUS PHOSPHATE/VITAMINS NOS| FERRIC CARBOXYMALTOSE| FERRIC SODIUM GLUCONATE| FERROUS SULFATE/*INTRINSIC FACTOR/*LIVER EXTRACT/*MULTIVITAMIN NOS| FERROUS SULFATE/FOLIC ACID/SODIUM ASCORBATE| FOLIC ACID/IRON| FOLIC ACID/IRON BISGLYCINATE| FOLIC ACID/IRON NOS
ANTIANGINAL AGENTS,KHELLIN
ANTIANGINAL AGENTS NEC,HYDRALAZINE HYDROCHLORIDE/ISOSORBIDE DINITRATE
"ANTIBIOTIC PREPARATIONS ACTING MAINLY ON GRAM-POSITIVE, G",FAROPENEM SODIUM
ANTICOAGULANTS,HEPARINOIDS
ANTIDEPRESSANTS NEC,ATOMOXETINE HYDROCHLORIDE
ANTIDIABETIC AGENTS,BUFORMIN HYDROCHLORIDE
ANTIDIARRHEALS,*ATROPINE SULFATE/*DIPHENOXYLATE/*LOPERAMIDE| ATROPINE SULFATE/DIPHENOXYLATE HYDROCHLORIDE
"ANTIDIARRHEALS, INTESTINAL REGULATORS","ANTIDIARRHEALS, INTESTINAL REGULATORS"
ANTIDOTES,SODIUM THIOSULFATE
ANTIEMETICS NEC,MECLIZINE HYDROCHLORIDE
ANTIFUNGAL AGENTS,AMOROLFINE HYDROCHLORIDE| OXICONAZOLE NITRATE
ANTIGLAUCOMA AGENTS,BRIMONIDINE TARTRATE/TIMOLOL MALEATE| TIMOLOL MALEATE/TRAVOPROST
ANTIHEMORRHOIDALS,ANTIHEMORRHOIDALS| DIFLUCORTOLONE VALERATE_LIDOCAINE
ANTIHISTAMINES,*ACRIVASTINE/*AMMONIUM CHLORIDE/*CALAMINE/*CAMPHOR/*CODEINE PHOSPHATE/*DIPHENHYDRAMINE/*MENTHOL/*SODIUM CITRATE/*ZINC...| CETIRIZINE HYDROCHLORIDE/PSEUDOEPHEDRINE HYDROCHLORIDE| D-CHLORPHENIRAMINE MALEATE| DIMENHYDRINATE OR MECLOZINE| DIPHENHYDRAMINE DIACEFYLLINATE| DIPHENHYDRAMINE NOS| FEXOFENADINE HYDROCHLORIDE/PSEUDOEPHEDRINE HYDROCHLORIDE
ANTIHYPERTENSIVE AGENTS,CHINESE MEDICINE NOS/CLONIDINE/HYDROCHLOROTHIAZIDE/RUTOSIDE| EPROSARTAN MESILATE/HYDROCHLOROTHIAZIDE| HYDROCHLOROTHIAZIDE/QUINAPRIL STUDY DRUG
ANTIHYPERTENSIVE AGENTS NEC,AMLODIPINE BESILATE/BENAZEPRIL HYDROCHLORIDE| AMLODIPINE BESILATE/LISINOPRIL| AMLODIPINE BESILATE/VALSARTAN| AMLODIPINE/BENAZEPRIL HYDROCHLORIDE| BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE| ENALAPRIL MALEATE/HYDROCHLOROTHIAZIDE| HYDROCHLOROTHIAZIDE/LOSARTAN POTASSIUM| HYDROCHLOROTHIAZIDE/METOPROLOL TARTRATE
ANTIMICROBIAL/OTHER DRUG COMBINATIONS,ANTACID NOS/DIPHENHYDRAMINE HYDROCHLORIDE/LIDOCAINE HYDROCHLORIDE/NYSTATIN| ATROPINE SULFATE/BENZOIC ACID/HYOSCYAMINE/METHENAMINE/METHYLTHIONINIUM CHLORIDE/PHENYL SALICYLATE| BENZOYL PEROXIDE/CLINDAMYCIN PHOSPHATE| BETAMETHASONE/GENTAMICIN SULFATE| CENTELLA/METRONIDAZOLE/MICONAZOLE NITRATE/NEOMYCIN SULFATE/POLYMYXIN B SULFATE| DEXAMETHASONE/NEOMYCIN SULFATE/POLYMYXIN B SULFATE
ANTIMICROBIAL/STEROID COMBINATIONS,BETAMETHASONE VALERATE/FUSIDIC ACID| BETAMETHASONE VALERATE/NEOMYCIN| CHLORTETRACYCLINE HYDROCHLORIDE/TRIAMCINOLONE ACETONIDE
ANTIMIGRAINE AGENTS,DICHLORALPHENAZONE/ISOMETHEPTENE MUCATE/PARACETAMOL
ANTIMIGRAINE AGENTS NEC,DICHLORALPHENAZONE/ISOMETHEPTENE MUCATE/PARACETAMOL
ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENT NOS| BLINDED ANTI-LYMPHOTOXIN-BETA RECEPTOR ANTIBODIES| MATRIX METALLOPROTEINASE-INHIBITOR
"ANTIPYRETICS, ANALGESICS AND ANTI-INFLAMMATORY AGENTS",ACTARIT| AMPIROXICAM| INDOMETACIN FARNESIL| LOBENZARIT DISODIUM| SODIUM CHONDROITIN SULFATE_SODIUM SALICYLATE
ANTIRHEUMATIC & ANTI-INFLAMMATORIES NEC,CALCIUM GLUCONATE/CALCIUM NOS/GOLD NOS
ANTIRHEUMATIC AGENTS,*CAMPHOR/ILEX PARAGUENSIS/*ISOPROPYL ALCOHOL/*MENTHOL| ANTIRHEUMATIC AGENT NOS| BLINDED APRATASTAT| CHOLINE SALICYLATE/MAGNESIUM SALICYLATE| CIPEMASTAT| GOLD| MENTHOL/METHYL SALICYLATE
ANTISEPTICS AND DISINFECTANTS,AMYLMETACRESOL/DICHLOROBENZYL ALCOHOL| ETHACRIDINE| THYMOL
ANTISPASMODICS AND ANTICHOLINERGICS,*PHLOROGLUCINOL/*TROSPIUM CHLORIDE| ADIPHENINE| ADIPHENINE HYDROCHLORIDE| ATROPINE SULFATE| BELLADONNA| CHLORDIAZEPOXIDE HYDROCHLORIDE/CLIDINIUM BROMIDE| DICYCLOMINE HYDROCHLORIDE| SCOPOLAMINE BUTYLBROMIDE
ANTITUSSIVES AND EXPECTORANTS,ANTITUSSIVES AND EXPECTORANTS| APRICOT KERNEL WATER
BETA-ADRENOCEPTOR BLOCKING AGENTS,METOPROLOL NOS
BISPHOSPHONATES,ALENDRONATE| ALENDRONATE SODIUM/CHOLECALCIFEROL| IBANDRONATE SODIUM| RISEDRONATE
BLOOD SUBSTITUTES,ISOTONIC SODIUM CHLORIDE SOLUTION
BOTANICALS,ALLIUM SATIVUM/PETROSELINUM CRISPUM| BETULA/OLIVE LEAVES EXTRACT| BORAGO OFFICINALIS| BOTANICAL NOS| BOTANICAL NOS/CAFFEINE/CAMELLIA SINENSIS/GINSENG/GUARANA/MAGNESIUM/PRASTERONE/PYRIDOXINE/SCHISANDRA CHINENSIS/SCUTELL...| BRYONIA| CHAMOMILE| CHERRY| CINNAMOMUM ZEYLANICUM| CRANBERRY
BRONCHODILATORS AND ANTIASTHMATICS,BECLOMETASONE DIPROPIONATE/FORMOTEROL FUMARATE| BUDESONIDE/FORMOTEROL FUMARATE| FLUTICASONE PROPIONATE/SALMETEROL XINAFOATE| FLUTICASONE/SALMETEROL XINAFOATE| IPRATROPIUM BROMIDE/SALBUTAMOL/SALBUTAMOL SULFATE| LEVOSALBUTAMOL HYDROCHLORIDE/LEVOSALBUTAMOL TARTRATE| REPROTEROL HYDROCHLORIDE| SALBUTAMOL/SALBUTAMOL SULFATE| SODIUM CROMOGLYCATE
CALCIUM COMPOUNDS AND PREPARATIONS,CALCIUM L-ASPARTATE
CALCIUM COMPOUNDS AND REGULATORS,*CALCIUM CARBONATE/*CALCIUM CITRATE/*CALCIUM GLUCONATE/*CALCIUM PHOSPHATE/*CALCIUM SACCHARATE| BORON/CALCIUM NOS/CHOLECALCIFEROL/COPPER/MAGNESIUM NOS/MANGANESE/ZINC NOS| CALCIUM CARBONATE/MINERALS| CALCIUM CARBONATE/VITAMIN D NOS| CALCIUM NOS| CALCIUM NOS/CHOLECALCIFEROL| CALCIUM NOS/GENERIC COMPONENT(S) NOT KNOWN| CALCIUM NOS/VITAMIN D NOS| CALCIUM/COLECALCIFEROL/COPPER/MAGNESIUM/MANGANESE/VITAMIN B COMPLEX/ZINC| CALCIUM/VITAMIN D NOS
CHELATING AGENTS,EDETIC ACID
CHINESE MEDICINES,DAIO-KANZO-TO| HOCHU-EKKI-TO| KEISHI-BUKURYO-GAN| SAIREI-TO| TOKISHAKUYAKUSAN| YOKUININ-TO
COLD AND SINUS REMEDIES,*BROMPHENIRAMINE/*DEXBROMPHENIRAMINE MALEATE/*DEXTROMETHORPHAN/*OXYMETAZOLINE/*PSEUDOEPHEDRINE SULFATE| *CAFFEINE/*CHLORPHENAMINE/*CODEINE PHOSPHATE/PARACETAMOL/*PSEUDOEPHEDRINE| AMMONIA/POLYGALA SENEGA| ASCORBIC ACID/ATROPINE SULFATE/CAFFEINE/CHLORPHENAMINE/PARACETAMOL/PHENYLEPHRINE| CAMPHOR/ESSENTIAL OILS/EUCALYPTUS OIL/MENTHOL/*THYMOL| CHLORPHENAMINE/HYDROCODONE TARTRATE/PHENYLPROPANOLAMINE| CHLORPHENAMINE/PSEUDOEPHEDRINE/SCOPOLAMINE METHYL NITRATE| CHLORPHENIRAMINE MALEATE/DEXTROMETHORPHAN HYDROBROMIDE/PHENYLEPHRINE HYDROCHLORIDE| CODEINE PHOSPHATE/GUAIFENESIN/PSEUDOEPHEDRINE| CODEINE PHOSPHATE/PARACETAMOL/PSEUDOEPHEDRINE HYDROCHLORIDE
CONTRACEPTIVES,*ETHINYLESTRADIOL/*MESTRANOL/NORETHISTERONE| CONTRACEPTIVE NOS| ETHINYLESTRADIOL/FERROUS FUMARATE/NORETHISTERONE ACETATE| ETHINYLESTRADIOL/NORELGESTROMIN| ETHINYLESTRADIOL/NORETHISTERONE ACETATE| ETHINYLESTRADIOL/NORGESTIMATE| ETHINYLESTRADIOL/NORGESTREL| GESTODENE| INTRA-UTERINE CONTRACEPTIVE DEVICE| ORAL CONTRACEPTIVE NOS
CORTICOSTEROIDS,BETAMETHASONE ACETATE/BETAMETHASONE SODIUM PHOSPHATE| BETAMETHASONE DIPROPIONATE/BETAMETHASONE SODIUM PHOSPHATE| BETAMETHASONE/BETAMETHASONE SODIUM PHOSPHATE| CORTICOSTEROID NOS| PREDNISOLONE SODIUM TETRAHYDROPHTHALATE| STEROID NOS| TRIAMCINOLONE HEXACETONIDE
COUGH PREPARATIONS,*CHLORPHENAMINE/*CODEINE PHOSPHATE/*EPHEDRINE HYDROCHLORIDE/*PHOLCODINE/*PROMETHAZINE| AMMONIUM CHLORIDE/DIPHENHYDRAMINE HYDROCHLORIDE| ANTIMONY POTASSIUM TARTRATE/LICORICE/OPIUM| CODEINE PHOSPHATE/GUAIFENESIN| CODEINE PHOSPHATE/PROMETHAZINE| COUGH PREPARATION NOS| ERYSIMUM/PHOLCODINE| GUAIFENESIN/HYDROCODONE TARTRATE/PHENYLEPHRINE| HYDROCODONE POLISTIREX/PHENYLTOLOXAMINE| PRIMULA/SULFOGAIACOL/THYME
COX-2 INHIBITORS,BLINDED COX-2 INHIBITOR NOS| IGURATIMOD
CYTOKINES,ILODECAKIN
DERMATICS FOR PURULENCE,BACITRACIN_FRADIOMYCIN SULFATE
DERMATOLOGIC AGENTS,"CALAMINE/ZINC OXIDE| CALCIUM HYDROXIDE| CETOMACROGOL 1000/CETOSTEARYL ALCOHOL/LIQUID PARAFFIN/WHITE SOFT PARAFFIN| DERMATOLOGIC AGENT NOS| DERMATOLOGICAL AGENT NOS| HAMAMELIS| LIQUID PARAFFIN/WAX, EMULSIFYING/WHITE SOFT PARAFFIN| LOTION NOS| LUBRICANT| MENTHOL/ZINC OXIDE"
DIURETICS,*AMILORIDE/*FUROSEMIDE/*HYDROCHLOROTHIAZIDE/*PAMABROM/*XIPAMIDE
DIURETICS NEC,AMILORIDE HYDROCHLORIDE/HYDROCHLOROTHIAZIDE
DOPAMINERGIC AGENTS,PRAMIPEXOLE HYDROCHLORIDE
DRESSINGS AND APPLIANCES,BANDAGE| CORSET| HEARING AID| ORTHOPAEDIC APPLIANCE
EMOLLIENTS(INCLUDING CAUSTICS),SULFUR AND CAMPHOR LOTION
ENZYMES,DIGESTIVE ENZYME NOS
"FLAVORING, ODOR IMPROVING AND COLORING AGENTS",SIMPLE SYRUP
FOOD & DRINK,FOOD NOS
GARGLES,AZULENE SULFONATE SODIUM
HEMATOPOIETIC STIMULANTS,EPOETIN NOS
"HERBAL,HOMEOPATHIC,& DIETARY SUPPLEMENTS","AESCULUS INDICA| ALOE/BLACK WALNUT/CASCARA SAGRADA/GRAPE/RHUBARB/RUMEX CRISPUS/SENNA/SLIPPERY ELM/VALERIAN| ASCORBIC ACID/CHONDROITIN SULFATE/GLUCOSAMINE HYDROCHLORIDE/MANGANESE/SODIUM NOS| ASTAXANTHIN| BIFIDOBACTERIUM/LACTOBACILLUS ACIDOPHILUS| BIFIDOBACTERIUM/LACTOBACILLUS ACIDOPHILUS/LACTOBACILLUS BULGARICUS/LACTOBACILLUS PARACASEI/LACTOBACILLUS PLANTARUM/STREPTOCOCCUS THERMOPHILUS| BIOFLAVONOIDS NOS| BONESET/CELLULOSE/LACTOBACILLUS SPOROGENES/LACTOSE/MALTODEXTRIN/MISTLETOE| CIMICIFUGA| CIMICIFUGA/HERBAL,HOMEOPATHIC,& DIETARY SUPPLEMENTS/VITAMINS AND MINERALS"
HOMEOPATHIC THERAPIES,HOMEOPATHIC THERAPY NOS| POTASH SULFURATED
"HYPNOTICS AND SEDATIVES, ANTIANXIETICS",TANDOSPIRONE CITRATE
IMMUNOMODULATORS,ALLERGENIC EXTRACTS| BLINDED ANTI-TNF NOS| BLINDED K-832| BLINDED PRALNACASAN| BLINDED SCIO-469| CTLA-4-IMMUNOGLOBULIN| CTLA-4 ANTIBODY| IMMUNOTHERAPY NOS| MITOGEN ACTIVATED PROTEIN KINASE INHIBITOR NOS| TAK-715
IMMUNOSTIMULANTS,B LYMPHOCYTE STIMULATOR
IMMUNOSUPPRESSANTS,BLINDED JAK3 INHIBITOR| BLINDED TEMSIROLIMUS
INSULINS,"BIPHASIC ISOPHANE INSULIN| INSULIN (SUSPENSION), ISOPHANE| INSULIN HUMAN/NPH HUMAN INSULIN ISOPHANE SUSPENSION| INSULIN LISPRO/INSULIN LISPRO PROTAMINE| NEUTRAL INSULIN| NPH HUMAN INSULIN ISOPHANE SUSPENSION"
INVESTIGATIONS,ARTHROSCOPY| ASPIRATION BURSA| ASPIRATION JOINT| BIOPSY| BIOPSY CERVIX| BIOPSY PLEURA| BIOPSY SKIN| BRONCHOSCOPY| CATHETERISATION CARDIAC| CHEST X-RAY
LAXATIVES AND STOOL SOFTENERS,"*BASSORIN/*RHAMNUS FRANGULA/*STERCULIA| *CASSIA FISTULA/*CORIANDRUM SATIVUM/*GLYCYRRHIZA GLABRA/*MALUS SYLVESTRI/*PRUNE/*SENNA/TAMARINDUS INDICA| *CASSIA FISTULA/*MACROGOL/*SODIUM PICOSULFATE| ALOE VERA/CHAMOMILE/PIMPINELLA ANISUM/SENNA/SULFUR| LAXATIVES AND STOOL SOFTENERS| PLANTAGO OVATA/SENNA| PSYLLIUM HUSK| SODIUM PHOSPHATE, DIBASIC/SODIUM PHOSPHATE, MONOBASIC| STOOL SOFTENER NOS"
LIPID REGULATING AGENTS,RED RICE YEAST| STATIN NOS/UNSATURATED FATTY ACIDS
LOCAL ANESTHETICS,LIDOCAINE/PRILOCAINE HYDROCHLORIDE| LOCAL ANESTHETIC NOS| PRAMOCAINE HYDROCHLORIDE
MINERAL PREPARATIONS,L-ASPARTATE POTASSIUM| MINERAL PREPARATIONS| SODIUM FERROUS CITRATE
MISCELLANEOUS ANTIMICROBIALS,ANTIBIOTIC NOS| BACITRACIN ZINC/NEOMYCIN/POLYMYXIN B| BACITRACIN ZINC/POLYMYXIN B
MISCELLANEOUS CARDIOVASCULAR AGENTS,ISOSORBIDE NOS
MISCELLANEOUS DRUGS,*ALENDRONIC ACID/*HYALURONATE SODIUM| *AMPICILLIN/*AMPICILLIN SODIUM/*CAFFEINE/*CARISOPRODOL/*CHLORZOXAZONE/*PARACETAMOL/*THIAMINE| *ASCORBIC ACID/*CAFFEINE/*CHLORPHENAMINE/*PARACETAMOL/*PHENYLEPHRINE/*SALICYLAMIDE/*TRIAMCINOLONE ACETONIDE| *DEXTRIN/*GUAR GUM/*TRITICUM AESTIVUM| CHINESE MEDICINE NOS| HESPERIDIN| LEUKOTRIENE ANTAGONIST NOS| MENTHOL/METHYL SALICYLATE
MISCELLANEOUS GASTROINTESTINAL AGENTS,*AMOBARBITAL/*BELLADONNA/*ERGOTAMINE/*PHLOROGLUCINOL/SIMETICONE| ALCHEMILLA VULGARIS/CINNAMOMUM ZEYLANICUM/EUCALYPTUS OIL/FENNEL OIL/GUAIAZULENE/MENTHA X PIPERITA/MENTHOL/MYRRH/PHENY...| ALVERINE CITRATE/SIMETHICONE| SILIBININ| SIMETHICONE| TIMONACIC
MIXED HORMONE PREPARATIONS,NORGESTREL_ETHINYLESTRADIOL
MIXED VITAMIN PREPARATIONS (EXCEPT MIXED VITAMIN PREPARAT,MIXED VITAMIN PREPARATIONS (EXCEPT MIXED VITAMIN PREPARAT
MONOCLONAL ANTIBODIES,AMG 827 (INTERLEUKIN-17 RECEPTOR ANTAGONIST)| ANTI-INTERLEUKIN-17 MONOCLONAL ANTIBODY| BLINDED ANTI-CD IIA MONOCLONAL ANTIBODY| BLINDED ANTI-INTERLEUKIN-17 MONOCLONAL ANTIBODY| BLINDED ANTI-INTERLEUKIN-6 MONOCLONAL ANTIBODY| BLINDED MEDI-522| BLINDED NATALIZUMAB| LY2439821 (ANTI-IL-17 MAB)| MEDI-522
MUCOLYTICS,TIMONACIC
MUSCLE RELAXANTS,CAFFEINE/CARISOPRODOL/DICLOFENAC SODIUM/PARACETAMOL| CAFFEINE/DIPYRONE/ORPHENADRINE CITRATE
NASAL PREPARATIONS,MACROGOL/PROPYLENE GLYCOL
NON-STEROIDAL ANTI-INFLAMMATORIES,*COX-2 INHIBITOR NOS/*NON-STEROIDAL ANTI-INFLAMMATORY NOS/*PLACEBO| CLONIXIN LYSINATE| CYANOCOBALAMIN/DICLOFENAC SODIUM/PYRIDOXINE HYDROCHLORIDE/THIAMINE HYDROCHLORIDE| DICLOFENAC EPOLAMINE| DICLOFENAC EPOLAMINE/DICLOFENAC SODIUM| DICLOFENAC SODIUM/LIDOCAINE HYDROCHLORIDE| DICLOFENAC SODIUM/MISOPROSTOL| DIPYRONE| ESOMEPRAZOLE MAGNESIUM/NAPROXEN
NON DRUG THERAPIES,CONTRACEPTIVE DEVICES| CORRECTIVE LENS USER| DIET AND FOODS| RESPIRATORY TREATMENTS AND DEVICES
OPHTHALMIC PREPARATIONS,"*HYDROXYPROPYL GUAR GUM/*MACROGOL/*PROPYLENE GLYCOL| AZAPENTACENE| CARBOMER 940| CARBOMER 940/CETRIMIDE| CARMELLOSE| DEXTRAN 70/GLYCEROL/HYPROMELLOSE| DEXTRAN 70/HYDROXYPROPYL METHYLCELLULOSE| DEXTRAN 70/HYPROMELLOSE| EYE DROPS NOS| GLYCEROL/POTASSIUM CHLORIDE/SODIUM CHLORIDE/SODIUM PHOSPHATE, DIBASIC"
OPIOID ANALGESICS,CODEINE/CODEINE SULFATE| HYDROCODONE NOS| NALOXONE/PENTAZOCINE HYDROCHLORIDE| PARACETAMOL/PENTAZOCINE HYDROCHLORIDE
OPIOID ANTAGONISTS,BUPRENORPHINE HYDROCHLORIDE/NALOXONE HYDROCHLORIDE
ORAL & DENTAL PREPARATIONS,CALCIUM PANTOTHENATE/METESCULETOL| ELECTROLYTES/MACROGOL/MALIC ACID/SORBITOL
OTHER AGENTS AFFECTING DIGESTIVE ORGANS,CEVIMELINE HYDROCHLORIDE HYDRATE
OTHER AGENTS FOR EPIDERMIS,BUCLADESINE SODIUM| TRAFERMIN(GENETICAL RECOMBINATION)
OTHER AGENTS FOR URO-GENITAL AND ANAL ORGAN,OTHER AGENTS FOR URO-GENITAL AND ANAL ORGAN
OTHER AGENTS RELATING TO BLOOD AND BODY FLUIDES,OTHER AGENTS RELATING TO BLOOD AND BODY FLUIDES
OTHER ANTIALLERGIC AGENTS,CETIRIZINE HYDROCHLOERIDE| PRANLUKAST HYDRATE
OTHER CARDIOVASCULAR AGENTS,LOMERIZINE HYDROCHLORIDE| TOCOPHEROL NICOTINATE
OTHER CHEMOTHERAPEUTICS,SULFAMETHOXAZOLE:TRIMETHOPRIM
OTHER DRUGS,OTHER
OTHER HORMONE PREPARATIONS(INCLUDING ANTIHORMONE PREPARAT,INSULIN HUMAN(GENETICAL RECOMBINATION)| INSULIN LISPRO(GENETICAL RECOMBINATION)
OTIC PREPARATIONS,CARBAMIDE PEROXIDE/GLYCEROL
PARASYMPATHOMIMETICS AND ANTIMYASTHENICS,CEVIMELINE HYDROCHLORIDE
PENICILLINS,AMOXICILLIN/CLAVULANATE POTASSIUM| AMOXICILLIN/CLAVULANIC ACID
PERIPHERAL AND CEREBRAL VASCULAR AGENTS,*BIOFLAVONOIDS/*DIOSMIN/*HESPERIDIN| ASCORBIC ACID/HESPERIDIN METHYL CHALCONE/KNEE HOLLY| ASCORBIC ACID/HESPERIDIN/RUSCUS ACULEATUS| BETACAROTENE/VACCINIUM MYRTILLUS| CO-DERGOCRINE MESILATE/LOMIFYLLINE| FLUNARIZINE HYDROCHLORIDE| GINKGO BILOBA/HEPTAMINOL/TROXERUTIN
PHARMACEUTIC AIDS,CARBOMER NOS| CARMELLOSE| CARMELLOSE/GLYCEROL| SILICON DIOXIDE| SODIUM CARBONATE| SODIUM HYALURONATE
PHARMACOTHERAPEUTIC CLASS NOT KNOWN,GENERIC UNKNOWN| INVESTIGATIONAL DRUG NOS
PHARMACOTHERAPEUTIC CLASS(ES) NOT KNOWN,CONTRACEPTIVE NOS| GENERIC COMPONENT(S) NOT KNOWN
PLATELET AGGREGATION INHIBITORS,ASPIRIN DL-LYSINE
PURGATIVES AND CLYSTERS,PURGATIVES AND CLYSTERS
QUINOLONE ANTIBIOTICS,PAZUFLOXACIN MESILATE
SALICYLATES,*DIETHYLAMINE SALICYLATE/*METHYL NICOTINATE/*TROLAMINE SALICYLATE| ASPIRIN DL-LYSINE
SCABICIDES AND PEDICULICIDES,SULFIRAM
SEDATIVES AND HYPNOTICS,BUTALBITAL/CAFFEINE
SEX HORMONES,ALGESTONE ACETOPHENIDE/ESTRADIOL ENANTHATE| CALCIUM LEVOMEFOLATE/DROSPIRENONE/ETHINYL ESTRADIOL| CYPROTERONE ACETATE/ETHINYL ESTRADIOL| DIENOGEST/ESTRADIOL VALERATE| ESTRADIOL OR ESTRADIOL VALERATE| ESTRADIOL VALERATE/*LEVONORGESTREL/*NORGESTREL| ESTRADIOL VALERATE/LEVONORGESTREL| ESTRADIOL VALERATE/NORETHISTERONE ENANTATE| ESTRADIOL/ESTRIOL SUCCINATE| ESTRADIOL/NORETHISTERONE ACETATE
SOLVENTS,"WATER,PURIFIED"
SPERMICIDES,NONOXINOL 9| NONOXYNOL NOS| SPERMICIDES NOS
STEROID/OTHER DRUG COMBINATIONS,BETAMETHASONE/DEXCHLORPHENIRAMINE MALEATE
STEROIDS,BETAMETHASONE DIPROPIONATE/BETAMETHASONE SODIUM PHOSPHATE| FORMOTEROL FUMARATE/MOMETASONE FUROATE| TRIAMCINOLONE HEXACETONIDE
STOMACHICS AND DIGESTIVES,STOMACHICS AND DIGESTIVES
SULFONAMIDES,SULFACETAMIDE SODIUM/SULFUR
SULFONAMIDES AND TRIMETHOPRIM,SULFONAMIDE NOS
