condition,sex,trial,age_mean,age_std,age_min,age_max,n_patients,repo
Hypertension,male,BI502_317,70.88,5.6,40,85,181,Vivli
Hypertension,male,BI502_327,54.45,9.79,27,81,372,Vivli
Hypertension,male,BI502_376,53.42,9.58,28,78,272,Vivli
Hypertension,male,BI502_391,53.36,10.33,24,80,479,Vivli
Hypertension,male,BI502_392,52.87,9.86,26,82,543,Vivli
Hypertension,male,BI502_550,55.13,11.48,18,84,479,Vivli
Osteoarthritis,female,BI107_210,63.94,11.45,26,88,888,Vivli
Osteoarthritis,male,BI107_210,63.47,11.83,23,89,432,Vivli
Osteoporosis,female,LILLY_B3D_MC_GHAC,69.3,7.04,42.09,85.87,1626,Vivli
Osteoporosis,female,LILLY_B3D_US_GHBZ,56.65,13.7,21.91,88.7,345,Vivli
Osteoporosis,male,LILLY_B3D_US_GHBZ,57.24,13.97,22.44,81.19,84,Vivli
Parkinson_Disease,female,BI248_524,61.73,9.47,30,83,240,Vivli
Parkinson_Disease,female,BI248_525,61.76,9.91,34,83,233,Vivli
Parkinson_Disease,female,BI248_622,60.96,10.23,30,82,104,Vivli
Parkinson_Disease,male,BI248_524,61.5,9.88,32,85,299,Vivli
Parkinson_Disease,male,BI248_525,61.26,9.95,34,81,285,Vivli
Parkinson_Disease,male,BI248_622,62.94,10.2,30,87,207,Vivli
Pulmonary_Disease_Chronic_Obstructive,female,BI244_2484,65.14,8.38,41,83,275,Vivli
Pulmonary_Disease_Chronic_Obstructive,male,BI244_2484,66.15,8.57,43,89,370,Vivli
Pulmonary_Hypertension,female,LILLY_H6D_MC_LVGY,52.7,15.32,14.69,86.12,318,Vivli
Pulmonary_Hypertension,male,LILLY_H6D_MC_LVGY,57.34,15.71,18.98,99,88,Vivli
Restless_legs_syndrome,female,BI248_629,57.71,11.55,22,81,198,Vivli
Restless_legs_syndrome,male,BI248_629,55.69,12.84,23,81,133,Vivli
Rheumatoid_arthritis,female,RCHNA25220,51.61,11.53,18,82,556,Vivli
Rheumatoid_arthritis,female,RCHWA19924,53.45,12.79,20,85,263,Vivli
Rheumatoid_arthritis,male,RCHNA25220,54.72,11.19,18,77,100,Vivli
Rheumatoid_arthritis,male,RCHWA19924,55.59,12.08,29,80,63,Vivli
