mean,Var1,Var2,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
1,Anxiety,Anxiety,1,1,0,2412.06,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
-0,Asthma,Anxiety,-0.71,0.714,0.379,3288.31,1,28431754DIA3014,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,633.3,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Pain,Pain,1,1,0,NA,NA,ART3001,Rheumatoid_arthritis,Pain : Pain,YODA
-0.02,Pain,Cardiovascular,-0.2,0.161,0.091,1623.58,1,ART3001,Rheumatoid_arthritis,Pain : Cardiovascular,YODA
0.29,Pain,Acid-related disease,0.068,0.491,0.107,2282.81,1,ART3001,Rheumatoid_arthritis,Pain : Acid-related disease,YODA
0.04,Pain,Asthma,-0.309,0.367,0.173,1637.55,1,ART3001,Rheumatoid_arthritis,Pain : Asthma,YODA
0.63,Pain,Anxiety,0.416,0.801,0.1,2556.68,0.999,ART3001,Rheumatoid_arthritis,Pain : Anxiety,YODA
0.04,Pain,Osteoporosis,-0.205,0.276,0.124,1387.58,1.001,ART3001,Rheumatoid_arthritis,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,3036.87,0.999,ART3001,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,YODA
0.24,Cardiovascular,Acid-related disease,0.033,0.437,0.103,2961.84,1,ART3001,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,YODA
0.16,Cardiovascular,Asthma,-0.132,0.453,0.151,2865.28,1,ART3001,Rheumatoid_arthritis,Cardiovascular : Asthma,YODA
0.04,Cardiovascular,Anxiety,-0.24,0.308,0.141,2426.53,1.001,ART3001,Rheumatoid_arthritis,Cardiovascular : Anxiety,YODA
-0.02,Osteoporosis,Cardiovascular,-0.249,0.213,0.121,1856.31,1.001,ART3001,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2483.35,0.999,ART3001,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,YODA
0.23,Asthma,Acid-related disease,-0.134,0.56,0.179,1810.81,1,ART3001,Rheumatoid_arthritis,Asthma : Acid-related disease,YODA
0.01,Anxiety,Acid-related disease,-0.354,0.365,0.185,1052.67,1.002,ART3001,Rheumatoid_arthritis,Anxiety : Acid-related disease,YODA
0,Osteoporosis,Acid-related disease,-0.3,0.308,0.156,1018.21,1.001,ART3001,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,2914.62,0.999,ART3001,Rheumatoid_arthritis,Asthma : Asthma,YODA
0.13,Asthma,Anxiety,-0.308,0.551,0.225,528.62,1.004,ART3001,Rheumatoid_arthritis,Asthma : Anxiety,YODA
-0.38,Osteoporosis,Asthma,-0.869,0.15,0.274,194.74,1.017,ART3001,Rheumatoid_arthritis,Osteoporosis : Asthma,YODA
1,Anxiety,Anxiety,1,1,0,2301.83,0.999,ART3001,Rheumatoid_arthritis,Anxiety : Anxiety,YODA
0.11,Osteoporosis,Anxiety,-0.252,0.439,0.178,577.98,1.009,ART3001,Rheumatoid_arthritis,Osteoporosis : Anxiety,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2588.91,0.999,ART3001,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,YODA
1,Pain,Pain,1,1,0,NA,NA,C0168T29,Rheumatoid_arthritis,Pain : Pain,YODA
-0.01,Pain,Cardiovascular,-0.127,0.092,0.057,2541.75,1,C0168T29,Rheumatoid_arthritis,Pain : Cardiovascular,YODA
-0.1,Pain,Acid-related disease,-0.251,0.049,0.076,2298.4,0.999,C0168T29,Rheumatoid_arthritis,Pain : Acid-related disease,YODA
0.06,Pain,Asthma,-0.12,0.236,0.09,2573.65,1,C0168T29,Rheumatoid_arthritis,Pain : Asthma,YODA
0.21,Pain,Anxiety,0.085,0.333,0.063,2252.94,1.001,C0168T29,Rheumatoid_arthritis,Pain : Anxiety,YODA
-0.12,Pain,Osteoporosis,-0.325,0.111,0.112,2217.17,1,C0168T29,Rheumatoid_arthritis,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2737.78,0.999,C0168T29,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,YODA
-0.15,Cardiovascular,Acid-related disease,-0.306,0.015,0.082,2085.67,1,C0168T29,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,YODA
-0.07,Cardiovascular,Asthma,-0.273,0.116,0.099,1985.51,1,C0168T29,Rheumatoid_arthritis,Cardiovascular : Asthma,YODA
0.18,Cardiovascular,Anxiety,0.05,0.311,0.066,1989.26,1,C0168T29,Rheumatoid_arthritis,Cardiovascular : Anxiety,YODA
0.13,Osteoporosis,Cardiovascular,-0.098,0.332,0.111,2402.72,1,C0168T29,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2879.77,0.999,C0168T29,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,YODA
-0.05,Asthma,Acid-related disease,-0.312,0.198,0.13,1201.73,1,C0168T29,Rheumatoid_arthritis,Asthma : Acid-related disease,YODA
0.22,Anxiety,Acid-related disease,0.042,0.377,0.086,1132.76,1.002,C0168T29,Rheumatoid_arthritis,Anxiety : Acid-related disease,YODA
-0.03,Osteoporosis,Acid-related disease,-0.31,0.241,0.143,1311.05,1.002,C0168T29,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,3001.22,0.999,C0168T29,Rheumatoid_arthritis,Asthma : Asthma,YODA
0.18,Asthma,Anxiety,-0.023,0.381,0.103,990.79,1.002,C0168T29,Rheumatoid_arthritis,Asthma : Anxiety,YODA
0.16,Osteoporosis,Asthma,-0.154,0.444,0.157,904.63,1.009,C0168T29,Rheumatoid_arthritis,Osteoporosis : Asthma,YODA
1,Anxiety,Anxiety,1,1,0,2024.47,0.999,C0168T29,Rheumatoid_arthritis,Anxiety : Anxiety,YODA
0.07,Osteoporosis,Anxiety,-0.183,0.308,0.123,1892.67,1,C0168T29,Rheumatoid_arthritis,Osteoporosis : Anxiety,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2992.97,0.999,C0168T29,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,YODA
1,Pain,Pain,1,1,0,NA,NA,C0524T05,Rheumatoid_arthritis,Pain : Pain,YODA
0.07,Pain,Cardiovascular,-0.078,0.22,0.075,3038.24,1,C0524T05,Rheumatoid_arthritis,Pain : Cardiovascular,YODA
-0.09,Pain,Acid-related disease,-0.295,0.122,0.107,2483.67,1.001,C0524T05,Rheumatoid_arthritis,Pain : Acid-related disease,YODA
0.36,Pain,Asthma,0.161,0.53,0.094,3384.76,1,C0524T05,Rheumatoid_arthritis,Pain : Asthma,YODA
0.38,Pain,Anxiety,0.212,0.525,0.078,3013.78,1,C0524T05,Rheumatoid_arthritis,Pain : Anxiety,YODA
-0.15,Pain,Osteoporosis,-0.383,0.1,0.125,3000.6,1,C0524T05,Rheumatoid_arthritis,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2942.41,0.999,C0524T05,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,YODA
0.06,Cardiovascular,Acid-related disease,-0.152,0.27,0.107,2631.01,1.001,C0524T05,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,YODA
-0.06,Cardiovascular,Asthma,-0.292,0.17,0.117,2797.62,1,C0524T05,Rheumatoid_arthritis,Cardiovascular : Asthma,YODA
0.19,Cardiovascular,Anxiety,0.009,0.366,0.092,2854.47,1,C0524T05,Rheumatoid_arthritis,Cardiovascular : Anxiety,YODA
-0.09,Osteoporosis,Cardiovascular,-0.32,0.139,0.118,2623.5,1,C0524T05,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,YODA
1,Acid-related disease,Acid-related disease,1,1,0,3139.6,0.999,C0524T05,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,YODA
0.01,Asthma,Acid-related disease,-0.309,0.321,0.16,1040.43,1.001,C0524T05,Rheumatoid_arthritis,Asthma : Acid-related disease,YODA
0.05,Anxiety,Acid-related disease,-0.209,0.297,0.128,917.66,1.005,C0524T05,Rheumatoid_arthritis,Anxiety : Acid-related disease,YODA
-0.26,Osteoporosis,Acid-related disease,-0.625,0.14,0.2,875.73,1.003,C0524T05,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,2574.53,0.999,C0524T05,Rheumatoid_arthritis,Asthma : Asthma,YODA
0.29,Asthma,Anxiety,0.051,0.502,0.116,1502.35,1,C0524T05,Rheumatoid_arthritis,Asthma : Anxiety,YODA
-0.12,Osteoporosis,Asthma,-0.494,0.275,0.195,902.14,1.002,C0524T05,Rheumatoid_arthritis,Osteoporosis : Asthma,YODA
1,Anxiety,Anxiety,1,1,0,336.88,0.999,C0524T05,Rheumatoid_arthritis,Anxiety : Anxiety,YODA
-0.15,Osteoporosis,Anxiety,-0.437,0.161,0.153,1670.47,1.001,C0524T05,Rheumatoid_arthritis,Osteoporosis : Anxiety,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2843.84,0.999,C0524T05,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,YODA
1,Pain,Pain,1,1,0,NA,NA,C0524T06,Rheumatoid_arthritis,Pain : Pain,YODA
-0.02,Pain,Cardiovascular,-0.186,0.14,0.083,1816.15,1,C0524T06,Rheumatoid_arthritis,Pain : Cardiovascular,YODA
0.33,Pain,Acid-related disease,0.133,0.515,0.098,1877.66,1.001,C0524T06,Rheumatoid_arthritis,Pain : Acid-related disease,YODA
0.28,Pain,Asthma,-0.05,0.555,0.155,2361.54,1,C0524T06,Rheumatoid_arthritis,Pain : Asthma,YODA
0.2,Pain,Anxiety,0.007,0.381,0.096,1797.27,1.002,C0524T06,Rheumatoid_arthritis,Pain : Anxiety,YODA
0.07,Pain,Osteoporosis,-0.138,0.269,0.103,1292.7,1.001,C0524T06,Rheumatoid_arthritis,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2927.72,0.999,C0524T06,Rheumatoid_arthritis,Cardiovascular : Cardiovascular,YODA
0.02,Cardiovascular,Acid-related disease,-0.194,0.237,0.112,2001.42,1.001,C0524T06,Rheumatoid_arthritis,Cardiovascular : Acid-related disease,YODA
0.15,Cardiovascular,Asthma,-0.183,0.481,0.17,1737.32,1.001,C0524T06,Rheumatoid_arthritis,Cardiovascular : Asthma,YODA
0.24,Cardiovascular,Anxiety,0.055,0.425,0.097,2138.79,1,C0524T06,Rheumatoid_arthritis,Cardiovascular : Anxiety,YODA
0.13,Osteoporosis,Cardiovascular,-0.071,0.329,0.102,1699.22,1,C0524T06,Rheumatoid_arthritis,Osteoporosis : Cardiovascular,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2860.67,0.999,C0524T06,Rheumatoid_arthritis,Acid-related disease : Acid-related disease,YODA
0.05,Asthma,Acid-related disease,-0.358,0.433,0.203,1037.08,1,C0524T06,Rheumatoid_arthritis,Asthma : Acid-related disease,YODA
0.13,Anxiety,Acid-related disease,-0.113,0.383,0.127,872.49,1.002,C0524T06,Rheumatoid_arthritis,Anxiety : Acid-related disease,YODA
0.16,Osteoporosis,Acid-related disease,-0.113,0.428,0.137,630.73,1.005,C0524T06,Rheumatoid_arthritis,Osteoporosis : Acid-related disease,YODA
1,Asthma,Asthma,1,1,0,2230.63,0.999,C0524T06,Rheumatoid_arthritis,Asthma : Asthma,YODA
0.44,Asthma,Anxiety,0.126,0.709,0.151,390.36,1.005,C0524T06,Rheumatoid_arthritis,Asthma : Anxiety,YODA
-0.38,Osteoporosis,Asthma,-0.804,0.138,0.25,173.32,1.018,C0524T06,Rheumatoid_arthritis,Osteoporosis : Asthma,YODA
1,Anxiety,Anxiety,1,1,0,2015.86,0.999,C0524T06,Rheumatoid_arthritis,Anxiety : Anxiety,YODA
-0.22,Osteoporosis,Anxiety,-0.461,0.053,0.134,1403.88,1.001,C0524T06,Rheumatoid_arthritis,Osteoporosis : Anxiety,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2663.92,0.999,C0524T06,Rheumatoid_arthritis,Osteoporosis : Osteoporosis,YODA
1,Pain,Pain,1,1,0,NA,NA,C0524T08,Psoriatic_arthritis,Pain : Pain,YODA
0.02,Pain,Cardiovascular,-0.168,0.2,0.093,2444.99,1.001,C0524T08,Psoriatic_arthritis,Pain : Cardiovascular,YODA
0.17,Pain,Anxiety,-0.027,0.369,0.1,2809.28,1,C0524T08,Psoriatic_arthritis,Pain : Anxiety,YODA
0.33,Pain,Asthma,0.087,0.549,0.119,2763.5,1,C0524T08,Psoriatic_arthritis,Pain : Asthma,YODA
0.17,Pain,Acid-related disease,-0.103,0.432,0.138,2695.29,1,C0524T08,Psoriatic_arthritis,Pain : Acid-related disease,YODA
-0.05,Pain,Diabetes,-0.303,0.208,0.128,2055.65,1.001,C0524T08,Psoriatic_arthritis,Pain : Diabetes,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2988.02,0.999,C0524T08,Psoriatic_arthritis,Cardiovascular : Cardiovascular,YODA
0.07,Cardiovascular,Anxiety,-0.15,0.291,0.11,2074.17,1.001,C0524T08,Psoriatic_arthritis,Cardiovascular : Anxiety,YODA
0.15,Cardiovascular,Asthma,-0.084,0.378,0.122,1925.2,1,C0524T08,Psoriatic_arthritis,Cardiovascular : Asthma,YODA
-0.01,Cardiovascular,Acid-related disease,-0.336,0.305,0.164,1955.03,1.004,C0524T08,Psoriatic_arthritis,Cardiovascular : Acid-related disease,YODA
0.46,Diabetes,Cardiovascular,0.248,0.652,0.103,2420.72,1,C0524T08,Psoriatic_arthritis,Diabetes : Cardiovascular,YODA
1,Anxiety,Anxiety,1,1,0,3137.89,0.999,C0524T08,Psoriatic_arthritis,Anxiety : Anxiety,YODA
0.22,Asthma,Anxiety,-0.049,0.479,0.133,2076.66,1,C0524T08,Psoriatic_arthritis,Asthma : Anxiety,YODA
0.27,Anxiety,Acid-related disease,-0.032,0.549,0.147,2373.95,0.999,C0524T08,Psoriatic_arthritis,Anxiety : Acid-related disease,YODA
0.01,Diabetes,Anxiety,-0.282,0.317,0.154,1247.17,1,C0524T08,Psoriatic_arthritis,Diabetes : Anxiety,YODA
1,Asthma,Asthma,1,1,0,1672.18,0.999,C0524T08,Psoriatic_arthritis,Asthma : Asthma,YODA
0.37,Asthma,Acid-related disease,0.055,0.651,0.153,2024.7,1.001,C0524T08,Psoriatic_arthritis,Asthma : Acid-related disease,YODA
0.04,Diabetes,Asthma,-0.311,0.371,0.178,926.32,1,C0524T08,Psoriatic_arthritis,Diabetes : Asthma,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2281.13,0.999,C0524T08,Psoriatic_arthritis,Acid-related disease : Acid-related disease,YODA
0.17,Diabetes,Acid-related disease,-0.182,0.509,0.179,1195.82,1.003,C0524T08,Psoriatic_arthritis,Diabetes : Acid-related disease,YODA
1,Diabetes,Diabetes,1,1,0,2136.99,0.999,C0524T08,Psoriatic_arthritis,Diabetes : Diabetes,YODA
1,Pain,Pain,1,1,0,NA,NA,C0524T09,Axial_Spondyloarthritis,Pain : Pain,YODA
0.15,Pain,Cardiovascular,-0.071,0.358,0.109,2983.09,1,C0524T09,Axial_Spondyloarthritis,Pain : Cardiovascular,YODA
0.25,Pain,Anxiety,0.041,0.439,0.102,3209.06,1,C0524T09,Axial_Spondyloarthritis,Pain : Anxiety,YODA
0.27,Pain,Asthma,0.006,0.513,0.129,3244.05,0.999,C0524T09,Axial_Spondyloarthritis,Pain : Asthma,YODA
0.34,Pain,Acid-related disease,0.061,0.608,0.145,2238.72,1,C0524T09,Axial_Spondyloarthritis,Pain : Acid-related disease,YODA
0.16,Pain,Diabetes,-0.145,0.471,0.159,2264.05,1,C0524T09,Axial_Spondyloarthritis,Pain : Diabetes,YODA
1,Cardiovascular,Cardiovascular,1,1,0,3043.61,0.999,C0524T09,Axial_Spondyloarthritis,Cardiovascular : Cardiovascular,YODA
0.07,Cardiovascular,Anxiety,-0.184,0.334,0.134,1900.4,1,C0524T09,Axial_Spondyloarthritis,Cardiovascular : Anxiety,YODA
-0.34,Cardiovascular,Asthma,-0.653,0.019,0.177,1331.68,1.003,C0524T09,Axial_Spondyloarthritis,Cardiovascular : Asthma,YODA
0.16,Cardiovascular,Acid-related disease,-0.157,0.474,0.161,2218.04,1,C0524T09,Axial_Spondyloarthritis,Cardiovascular : Acid-related disease,YODA
0.52,Diabetes,Cardiovascular,0.193,0.789,0.153,2042.22,0.999,C0524T09,Axial_Spondyloarthritis,Diabetes : Cardiovascular,YODA
1,Anxiety,Anxiety,1,1,0,2818.86,0.999,C0524T09,Axial_Spondyloarthritis,Anxiety : Anxiety,YODA
0.09,Asthma,Anxiety,-0.217,0.395,0.156,2631.97,1.001,C0524T09,Axial_Spondyloarthritis,Asthma : Anxiety,YODA
-0.1,Anxiety,Acid-related disease,-0.475,0.28,0.195,1877.25,1,C0524T09,Axial_Spondyloarthritis,Anxiety : Acid-related disease,YODA
0.25,Diabetes,Anxiety,-0.08,0.554,0.167,2553.84,0.999,C0524T09,Axial_Spondyloarthritis,Diabetes : Anxiety,YODA
1,Asthma,Asthma,1,1,0,1869.77,0.999,C0524T09,Axial_Spondyloarthritis,Asthma : Asthma,YODA
-0.23,Asthma,Acid-related disease,-0.695,0.255,0.253,723.17,1.006,C0524T09,Axial_Spondyloarthritis,Asthma : Acid-related disease,YODA
-0.04,Diabetes,Asthma,-0.492,0.404,0.228,923.09,1.005,C0524T09,Axial_Spondyloarthritis,Diabetes : Asthma,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2733.13,0.999,C0524T09,Axial_Spondyloarthritis,Acid-related disease : Acid-related disease,YODA
0.28,Diabetes,Acid-related disease,-0.131,0.624,0.196,2071.19,1,C0524T09,Axial_Spondyloarthritis,Diabetes : Acid-related disease,YODA
1,Diabetes,Diabetes,1,1,0,2827.46,0.999,C0524T09,Axial_Spondyloarthritis,Diabetes : Diabetes,YODA
1,Pain,Pain,1,1,0,NA,NA,C0524T11,Rheumatoid_arthritis,Pain : Pain,YODA
