nct_id,Omega,comorbidity
NCT00973479,31,antacids : pain
NCT00973479,41,asthma_COPD : pain
NCT00973479,51,anxiety : pain
NCT00973479,61,osteoporosis : pain
NCT00973479,12,pain : CV
NCT00973479,22,CV : CV
NCT00973479,32,antacids : CV
NCT00973479,42,asthma_COPD : CV
NCT00973479,52,anxiety : CV
NCT00973479,62,osteoporosis : CV
NCT00973479,13,pain : antacids
NCT00973479,23,CV : antacids
NCT00973479,33,antacids : antacids
NCT00973479,43,asthma_COPD : antacids
NCT00973479,53,anxiety : antacids
NCT00973479,63,osteoporosis : antacids
NCT00973479,14,pain : asthma_COPD
NCT00973479,24,CV : asthma_COPD
NCT00973479,34,antacids : asthma_COPD
NCT00973479,44,asthma_COPD : asthma_COPD
NCT00973479,54,anxiety : asthma_COPD
NCT00973479,64,osteoporosis : asthma_COPD
NCT00973479,15,pain : anxiety
NCT00973479,25,CV : anxiety
NCT00973479,35,antacids : anxiety
NCT00973479,45,asthma_COPD : anxiety
NCT00973479,55,anxiety : anxiety
NCT00973479,65,osteoporosis : anxiety
NCT00973479,16,pain : osteoporosis
NCT00973479,26,CV : osteoporosis
NCT00973479,36,antacids : osteoporosis
NCT00973479,46,asthma_COPD : osteoporosis
NCT00973479,56,anxiety : osteoporosis
NCT00973479,66,osteoporosis : osteoporosis
NCT00236028,11,pain : pain
NCT00236028,21,CV : pain
NCT00236028,31,antacids : pain
NCT00236028,41,asthma_COPD : pain
NCT00236028,51,anxiety : pain
NCT00236028,61,osteoporosis : pain
NCT00236028,12,pain : CV
NCT00236028,22,CV : CV
NCT00236028,32,antacids : CV
NCT00236028,42,asthma_COPD : CV
NCT00236028,52,anxiety : CV
NCT00236028,62,osteoporosis : CV
NCT00236028,13,pain : antacids
NCT00236028,23,CV : antacids
NCT00236028,33,antacids : antacids
NCT00236028,43,asthma_COPD : antacids
NCT00236028,53,anxiety : antacids
NCT00236028,63,osteoporosis : antacids
NCT00236028,14,pain : asthma_COPD
NCT00236028,24,CV : asthma_COPD
NCT00236028,34,antacids : asthma_COPD
NCT00236028,44,asthma_COPD : asthma_COPD
NCT00236028,54,anxiety : asthma_COPD
NCT00236028,64,osteoporosis : asthma_COPD
NCT00236028,15,pain : anxiety
NCT00236028,25,CV : anxiety
NCT00236028,35,antacids : anxiety
NCT00236028,45,asthma_COPD : anxiety
NCT00236028,55,anxiety : anxiety
NCT00236028,65,osteoporosis : anxiety
NCT00236028,16,pain : osteoporosis
NCT00236028,26,CV : osteoporosis
NCT00236028,36,antacids : osteoporosis
NCT00236028,46,asthma_COPD : osteoporosis
NCT00236028,56,anxiety : osteoporosis
NCT00236028,66,osteoporosis : osteoporosis
NCT00264537,11,pain : pain
NCT00264537,21,CV : pain
NCT00264537,31,antacids : pain
NCT00264537,41,asthma_COPD : pain
NCT00264537,51,anxiety : pain
NCT00264537,61,osteoporosis : pain
NCT00264537,12,pain : CV
NCT00264537,22,CV : CV
NCT00264537,32,antacids : CV
NCT00264537,42,asthma_COPD : CV
NCT00264537,52,anxiety : CV
NCT00264537,62,osteoporosis : CV
NCT00264537,13,pain : antacids
NCT00264537,23,CV : antacids
NCT00264537,33,antacids : antacids
NCT00264537,43,asthma_COPD : antacids
NCT00264537,53,anxiety : antacids
NCT00264537,63,osteoporosis : antacids
NCT00264537,14,pain : asthma_COPD
NCT00264537,24,CV : asthma_COPD
NCT00264537,34,antacids : asthma_COPD
NCT00264537,44,asthma_COPD : asthma_COPD
NCT00264537,54,anxiety : asthma_COPD
NCT00264537,64,osteoporosis : asthma_COPD
NCT00264537,15,pain : anxiety
NCT00264537,25,CV : anxiety
NCT00264537,35,antacids : anxiety
NCT00264537,45,asthma_COPD : anxiety
NCT00264537,55,anxiety : anxiety
NCT00264537,65,osteoporosis : anxiety
NCT00264537,16,pain : osteoporosis
NCT00264537,26,CV : osteoporosis
NCT00264537,36,antacids : osteoporosis
NCT00264537,46,asthma_COPD : osteoporosis
NCT00264537,56,anxiety : osteoporosis
NCT00264537,66,osteoporosis : osteoporosis
NCT00264550,11,pain : pain
NCT00264550,21,CV : pain
NCT00264550,31,antacids : pain
NCT00264550,41,asthma_COPD : pain
NCT00264550,51,anxiety : pain
NCT00264550,61,osteoporosis : pain
NCT00264550,12,pain : CV
NCT00264550,22,CV : CV
NCT00264550,32,antacids : CV
NCT00264550,42,asthma_COPD : CV
NCT00264550,52,anxiety : CV
NCT00264550,62,osteoporosis : CV
NCT00264550,13,pain : antacids
NCT00264550,23,CV : antacids
NCT00264550,33,antacids : antacids
NCT00264550,43,asthma_COPD : antacids
NCT00264550,53,anxiety : antacids
NCT00264550,63,osteoporosis : antacids
NCT00264550,14,pain : asthma_COPD
NCT00264550,24,CV : asthma_COPD
NCT00264550,34,antacids : asthma_COPD
NCT00264550,44,asthma_COPD : asthma_COPD
NCT00264550,54,anxiety : asthma_COPD
NCT00264550,64,osteoporosis : asthma_COPD
NCT00264550,15,pain : anxiety
NCT00264550,25,CV : anxiety
NCT00264550,35,antacids : anxiety
NCT00264550,45,asthma_COPD : anxiety
NCT00264550,55,anxiety : anxiety
NCT00264550,65,osteoporosis : anxiety
NCT00264550,16,pain : osteoporosis
NCT00264550,26,CV : osteoporosis
NCT00264550,36,antacids : osteoporosis
NCT00264550,46,asthma_COPD : osteoporosis
NCT00264550,56,anxiety : osteoporosis
NCT00264550,66,osteoporosis : osteoporosis
NCT00265096,11,pain : pain
NCT00265096,21,CV : pain
NCT00265096,31,anxiety : pain
NCT00265096,41,asthma_COPD : pain
NCT00265096,51,antacids : pain
NCT00265096,61,diabetes : pain
NCT00265096,12,pain : CV
NCT00265096,22,CV : CV
NCT00265096,32,anxiety : CV
NCT00265096,42,asthma_COPD : CV
NCT00265096,52,antacids : CV
NCT00265096,62,diabetes : CV
NCT00265096,13,pain : anxiety
NCT00265096,23,CV : anxiety
NCT00265096,33,anxiety : anxiety
NCT00265096,43,asthma_COPD : anxiety
NCT00265096,53,antacids : anxiety
NCT00265096,63,diabetes : anxiety
NCT00265096,14,pain : asthma_COPD
NCT00265096,24,CV : asthma_COPD
NCT00265096,34,anxiety : asthma_COPD
NCT00265096,44,asthma_COPD : asthma_COPD
NCT00265096,54,antacids : asthma_COPD
NCT00265096,64,diabetes : asthma_COPD
NCT00265096,15,pain : antacids
NCT00265096,25,CV : antacids
NCT00265096,35,anxiety : antacids
NCT00265096,45,asthma_COPD : antacids
NCT00265096,55,antacids : antacids
NCT00265096,65,diabetes : antacids
NCT00265096,16,pain : diabetes
NCT00265096,26,CV : diabetes
NCT00265096,36,anxiety : diabetes
NCT00265096,46,asthma_COPD : diabetes
NCT00265096,56,antacids : diabetes
NCT00265096,66,diabetes : diabetes
NCT00265083,11,pain : pain
NCT00265083,21,CV : pain
NCT00265083,31,anxiety : pain
NCT00265083,41,asthma_COPD : pain
NCT00265083,51,antacids : pain
NCT00265083,61,diabetes : pain
NCT00265083,12,pain : CV
NCT00265083,22,CV : CV
NCT00265083,32,anxiety : CV
NCT00265083,42,asthma_COPD : CV
NCT00265083,52,antacids : CV
NCT00265083,62,diabetes : CV
NCT00265083,13,pain : anxiety
NCT00265083,23,CV : anxiety
NCT00265083,33,anxiety : anxiety
NCT00265083,43,asthma_COPD : anxiety
NCT00265083,53,antacids : anxiety
NCT00265083,63,diabetes : anxiety
NCT00265083,14,pain : asthma_COPD
NCT00265083,24,CV : asthma_COPD
NCT00265083,34,anxiety : asthma_COPD
NCT00265083,44,asthma_COPD : asthma_COPD
NCT00265083,54,antacids : asthma_COPD
NCT00265083,64,diabetes : asthma_COPD
NCT00265083,15,pain : antacids
NCT00265083,25,CV : antacids
NCT00265083,35,anxiety : antacids
NCT00265083,45,asthma_COPD : antacids
NCT00265083,55,antacids : antacids
NCT00265083,65,diabetes : antacids
NCT00265083,16,pain : diabetes
NCT00265083,26,CV : diabetes
NCT00265083,36,anxiety : diabetes
NCT00265083,46,asthma_COPD : diabetes
NCT00265083,56,antacids : diabetes
NCT00265083,66,diabetes : diabetes
NCT00299546,11,pain : pain
NCT00299546,21,CV : pain
NCT00299546,31,antacids : pain
NCT00299546,41,asthma_COPD : pain
NCT00299546,51,anxiety : pain
NCT00299546,61,osteoporosis : pain
NCT00299546,12,pain : CV
NCT00299546,22,CV : CV
NCT00299546,32,antacids : CV
NCT00299546,42,asthma_COPD : CV
NCT00299546,52,anxiety : CV
NCT00299546,62,osteoporosis : CV
NCT00299546,13,pain : antacids
NCT00299546,23,CV : antacids
NCT00299546,33,antacids : antacids
NCT00299546,43,asthma_COPD : antacids
NCT00299546,53,anxiety : antacids
NCT00299546,63,osteoporosis : antacids
NCT00299546,14,pain : asthma_COPD
NCT00299546,24,CV : asthma_COPD
NCT00299546,34,antacids : asthma_COPD
NCT00299546,44,asthma_COPD : asthma_COPD
NCT00299546,54,anxiety : asthma_COPD
NCT00299546,64,osteoporosis : asthma_COPD
NCT00299546,15,pain : anxiety
NCT00299546,25,CV : anxiety
NCT00299546,35,antacids : anxiety
NCT00299546,45,asthma_COPD : anxiety
NCT00299546,55,anxiety : anxiety
NCT00299546,65,osteoporosis : anxiety
NCT00299546,16,pain : osteoporosis
NCT00299546,26,CV : osteoporosis
NCT00299546,36,antacids : osteoporosis
NCT00299546,46,asthma_COPD : osteoporosis
NCT00299546,56,anxiety : osteoporosis
NCT00299546,66,osteoporosis : osteoporosis
NCT00361335,11,pain : pain
NCT00361335,21,CV : pain
NCT00361335,31,antacids : pain
NCT00361335,41,asthma_COPD : pain
NCT00361335,51,anxiety : pain
NCT00361335,61,osteoporosis : pain
NCT00361335,12,pain : CV
NCT00361335,22,CV : CV
NCT00361335,32,antacids : CV
NCT00361335,42,asthma_COPD : CV
NCT00361335,52,anxiety : CV
NCT00361335,62,osteoporosis : CV
NCT00361335,13,pain : antacids
NCT00361335,23,CV : antacids
NCT00361335,33,antacids : antacids
NCT00361335,43,asthma_COPD : antacids
NCT00361335,53,anxiety : antacids
NCT00361335,63,osteoporosis : antacids
NCT00361335,14,pain : asthma_COPD
NCT00361335,24,CV : asthma_COPD
NCT00361335,34,antacids : asthma_COPD
NCT00361335,44,asthma_COPD : asthma_COPD
NCT00361335,54,anxiety : asthma_COPD
NCT00361335,64,osteoporosis : asthma_COPD
NCT00361335,15,pain : anxiety
NCT00361335,25,CV : anxiety
NCT00361335,35,antacids : anxiety
NCT00361335,45,asthma_COPD : anxiety
NCT00361335,55,anxiety : anxiety
NCT00361335,65,osteoporosis : anxiety
NCT00361335,16,pain : osteoporosis
NCT00361335,26,CV : osteoporosis
NCT00361335,36,antacids : osteoporosis
NCT00361335,46,asthma_COPD : osteoporosis
NCT00361335,56,anxiety : osteoporosis
NCT00361335,66,osteoporosis : osteoporosis
NCT00267969,11,CV : CV
NCT00267969,21,pain : CV
NCT00267969,31,arthritis : CV
NCT00267969,41,anxiety : CV
NCT00267969,51,asthma_COPD : CV
NCT00267969,61,antacids : CV
NCT00267969,12,CV : pain
NCT00267969,22,pain : pain
NCT00267969,32,arthritis : pain
NCT00267969,42,anxiety : pain
NCT00267969,52,asthma_COPD : pain
NCT00267969,62,antacids : pain
NCT00267969,13,CV : arthritis
NCT00267969,23,pain : arthritis
NCT00267969,33,arthritis : arthritis
NCT00267969,43,anxiety : arthritis
NCT00267969,53,asthma_COPD : arthritis
NCT00267969,63,antacids : arthritis
NCT00267969,14,CV : anxiety
NCT00267969,24,pain : anxiety
NCT00267969,34,arthritis : anxiety
NCT00267969,44,anxiety : anxiety
NCT00267969,54,asthma_COPD : anxiety
NCT00267969,64,antacids : anxiety
NCT00267969,15,CV : asthma_COPD
NCT00267969,25,pain : asthma_COPD
NCT00267969,35,arthritis : asthma_COPD
NCT00267969,45,anxiety : asthma_COPD
NCT00267969,55,asthma_COPD : asthma_COPD
NCT00267969,65,antacids : asthma_COPD
NCT00267969,16,CV : antacids
NCT00267969,26,pain : antacids
NCT00267969,36,arthritis : antacids
NCT00267969,46,anxiety : antacids
NCT00267969,56,asthma_COPD : antacids
NCT00267969,66,antacids : antacids
NCT00307437,11,CV : CV
NCT00307437,21,pain : CV
NCT00307437,31,arthritis : CV
NCT00307437,41,anxiety : CV
NCT00307437,51,asthma_COPD : CV
NCT00307437,61,antacids : CV
NCT00307437,12,CV : pain
NCT00307437,22,pain : pain
NCT00307437,32,arthritis : pain
NCT00307437,42,anxiety : pain
NCT00307437,52,asthma_COPD : pain
NCT00307437,62,antacids : pain
NCT00307437,13,CV : arthritis
NCT00307437,23,pain : arthritis
NCT00307437,33,arthritis : arthritis
NCT00307437,43,anxiety : arthritis
NCT00307437,53,asthma_COPD : arthritis
NCT00307437,63,antacids : arthritis
NCT00307437,14,CV : anxiety
NCT00307437,24,pain : anxiety
NCT00307437,34,arthritis : anxiety
NCT00307437,44,anxiety : anxiety
NCT00307437,54,asthma_COPD : anxiety
NCT00307437,64,antacids : anxiety
NCT00307437,15,CV : asthma_COPD
NCT00307437,25,pain : asthma_COPD
NCT00307437,35,arthritis : asthma_COPD
NCT00307437,45,anxiety : asthma_COPD
NCT00307437,55,asthma_COPD : asthma_COPD
NCT00307437,65,antacids : asthma_COPD
NCT00307437,16,CV : antacids
NCT00307437,26,pain : antacids
NCT00307437,36,arthritis : antacids
NCT00307437,46,anxiety : antacids
NCT00307437,56,asthma_COPD : antacids
NCT00307437,66,antacids : antacids
NCT01009086,11,pain : pain
NCT01009086,21,CV : pain
NCT01009086,31,anxiety : pain
NCT01009086,41,asthma_COPD : pain
NCT01009086,51,antacids : pain
NCT01009086,61,diabetes : pain
NCT01009086,12,pain : CV
NCT01009086,22,CV : CV
NCT01009086,32,anxiety : CV
NCT01009086,42,asthma_COPD : CV
NCT01009086,52,antacids : CV
NCT01009086,62,diabetes : CV
NCT01009086,13,pain : anxiety
NCT01009086,23,CV : anxiety
NCT01009086,33,anxiety : anxiety
NCT01009086,43,asthma_COPD : anxiety
NCT01009086,53,antacids : anxiety
NCT01009086,63,diabetes : anxiety
NCT01009086,14,pain : asthma_COPD
NCT01009086,24,CV : asthma_COPD
NCT01009086,34,anxiety : asthma_COPD
NCT01009086,44,asthma_COPD : asthma_COPD
NCT01009086,54,antacids : asthma_COPD
NCT01009086,64,diabetes : asthma_COPD
NCT01009086,15,pain : antacids
NCT01009086,25,CV : antacids
NCT01009086,35,anxiety : antacids
NCT01009086,45,asthma_COPD : antacids
NCT01009086,55,antacids : antacids
NCT01009086,65,diabetes : antacids
NCT01009086,16,pain : diabetes
NCT01009086,26,CV : diabetes
NCT01009086,36,anxiety : diabetes
NCT01009086,46,asthma_COPD : diabetes
NCT01009086,56,antacids : diabetes
NCT01009086,66,diabetes : diabetes
NCT01077362,11,pain : pain
NCT01077362,21,CV : pain
NCT01077362,31,anxiety : pain
NCT01077362,41,asthma_COPD : pain
NCT01077362,51,antacids : pain
NCT01077362,61,diabetes : pain
NCT01077362,12,pain : CV
NCT01077362,22,CV : CV
NCT01077362,32,anxiety : CV
NCT01077362,42,asthma_COPD : CV
NCT01077362,52,antacids : CV
NCT01077362,62,diabetes : CV
NCT01077362,13,pain : anxiety
NCT01077362,23,CV : anxiety
NCT01077362,33,anxiety : anxiety
NCT01077362,43,asthma_COPD : anxiety
NCT01077362,53,antacids : anxiety
NCT01077362,63,diabetes : anxiety
NCT01077362,14,pain : asthma_COPD
NCT01077362,24,CV : asthma_COPD
NCT01077362,34,anxiety : asthma_COPD
NCT01077362,44,asthma_COPD : asthma_COPD
NCT01077362,54,antacids : asthma_COPD
NCT01077362,64,diabetes : asthma_COPD
NCT01077362,15,pain : antacids
NCT01077362,25,CV : antacids
NCT01077362,35,anxiety : antacids
NCT01077362,45,asthma_COPD : antacids
NCT01077362,55,antacids : antacids
NCT01077362,65,diabetes : antacids
NCT01077362,16,pain : diabetes
NCT01077362,26,CV : diabetes
NCT01077362,36,anxiety : diabetes
NCT01077362,46,asthma_COPD : diabetes
NCT01077362,56,antacids : diabetes
NCT01077362,66,diabetes : diabetes
NCT01106625,11,CV : CV
NCT01106625,21,pain : CV
NCT01106625,31,arthritis : CV
NCT01106625,41,antacids : CV
NCT01106625,51,anxiety : CV
NCT01106625,61,asthma_COPD : CV
NCT01106625,12,CV : pain
NCT01106625,22,pain : pain
NCT01106625,32,arthritis : pain
NCT01106625,42,antacids : pain
NCT01106625,52,anxiety : pain
NCT01106625,62,asthma_COPD : pain
NCT01106625,13,CV : arthritis
NCT01106625,23,pain : arthritis
NCT01106625,33,arthritis : arthritis
NCT01106625,43,antacids : arthritis
NCT01106625,53,anxiety : arthritis
NCT01106625,63,asthma_COPD : arthritis
NCT01106625,14,CV : antacids
NCT01106625,24,pain : antacids
NCT01106625,34,arthritis : antacids
NCT01106625,44,antacids : antacids
NCT01106625,54,anxiety : antacids
NCT01106625,64,asthma_COPD : antacids
NCT01106625,15,CV : anxiety
NCT01106625,25,pain : anxiety
NCT01106625,35,arthritis : anxiety
NCT01106625,45,antacids : anxiety
NCT01106625,55,anxiety : anxiety
NCT01106625,65,asthma_COPD : anxiety
NCT01106625,16,CV : asthma_COPD
NCT01106625,26,pain : asthma_COPD
NCT01106625,36,arthritis : asthma_COPD
NCT01106625,46,antacids : asthma_COPD
NCT01106625,56,anxiety : asthma_COPD
NCT01106625,66,asthma_COPD : asthma_COPD
NCT01081834,11,CV : CV
NCT01081834,21,pain : CV
NCT01081834,31,arthritis : CV
NCT01081834,41,antacids : CV
NCT01081834,51,anxiety : CV
NCT01081834,61,asthma_COPD : CV
NCT01081834,12,CV : pain
NCT01081834,22,pain : pain
NCT01081834,32,arthritis : pain
NCT01081834,42,antacids : pain
NCT01081834,52,anxiety : pain
NCT01081834,62,asthma_COPD : pain
NCT01081834,13,CV : arthritis
NCT01081834,23,pain : arthritis
NCT01081834,33,arthritis : arthritis
NCT01081834,43,antacids : arthritis
NCT01081834,53,anxiety : arthritis
NCT01081834,63,asthma_COPD : arthritis
NCT01081834,14,CV : antacids
NCT01081834,24,pain : antacids
NCT01081834,34,arthritis : antacids
NCT01081834,44,antacids : antacids
NCT01081834,54,anxiety : antacids
NCT01081834,64,asthma_COPD : antacids
NCT01081834,15,CV : anxiety
NCT01081834,25,pain : anxiety
NCT01081834,35,arthritis : anxiety
NCT01081834,45,antacids : anxiety
NCT01081834,55,anxiety : anxiety
NCT01081834,65,asthma_COPD : anxiety
NCT01081834,16,CV : asthma_COPD
NCT01081834,26,pain : asthma_COPD
NCT01081834,36,arthritis : asthma_COPD
NCT01081834,46,antacids : asthma_COPD
NCT01081834,56,anxiety : asthma_COPD
NCT01081834,66,asthma_COPD : asthma_COPD
NCT01106677,11,CV : CV
NCT01106677,21,pain : CV
NCT01106677,31,arthritis : CV
NCT01106677,41,antacids : CV
NCT01106677,51,anxiety : CV
NCT01106677,61,asthma_COPD : CV
NCT01106677,12,CV : pain
NCT01106677,22,pain : pain
NCT01106677,32,arthritis : pain
NCT01106677,42,antacids : pain
NCT01106677,52,anxiety : pain
NCT01106677,62,asthma_COPD : pain
NCT01106677,13,CV : arthritis
NCT01106677,23,pain : arthritis
NCT01106677,33,arthritis : arthritis
NCT01106677,43,antacids : arthritis
NCT01106677,53,anxiety : arthritis
NCT01106677,63,asthma_COPD : arthritis
NCT01106677,14,CV : antacids
NCT01106677,24,pain : antacids
NCT01106677,34,arthritis : antacids
NCT01106677,44,antacids : antacids
NCT01106677,54,anxiety : antacids
NCT01106677,64,asthma_COPD : antacids
NCT01106677,15,CV : anxiety
NCT01106677,25,pain : anxiety
NCT01106677,35,arthritis : anxiety
NCT01106677,45,antacids : anxiety
NCT01106677,55,anxiety : anxiety
NCT01106677,65,asthma_COPD : anxiety
NCT01106677,16,CV : asthma_COPD
NCT01106677,26,pain : asthma_COPD
NCT01106677,36,arthritis : asthma_COPD
NCT01106677,46,antacids : asthma_COPD
NCT01106677,56,anxiety : asthma_COPD
NCT01106677,66,asthma_COPD : asthma_COPD
NCT00968812,11,CV : CV
NCT00968812,21,pain : CV
NCT00968812,31,arthritis : CV
NCT00968812,41,antacids : CV
NCT00968812,51,anxiety : CV
NCT00968812,61,asthma_COPD : CV
NCT00968812,12,CV : pain
NCT00968812,22,pain : pain
NCT00968812,32,arthritis : pain
NCT00968812,42,antacids : pain
NCT00968812,52,anxiety : pain
NCT00968812,62,asthma_COPD : pain
NCT00968812,13,CV : arthritis
NCT00968812,23,pain : arthritis
NCT00968812,33,arthritis : arthritis
NCT00968812,43,antacids : arthritis
NCT00968812,53,anxiety : arthritis
NCT00968812,63,asthma_COPD : arthritis
NCT00968812,14,CV : antacids
NCT00968812,24,pain : antacids
NCT00968812,34,arthritis : antacids
NCT00968812,44,antacids : antacids
NCT00968812,54,anxiety : antacids
NCT00968812,64,asthma_COPD : antacids
NCT00968812,15,CV : anxiety
NCT00968812,25,pain : anxiety
NCT00968812,35,arthritis : anxiety
NCT00968812,45,antacids : anxiety
NCT00968812,55,anxiety : anxiety
NCT00968812,65,asthma_COPD : anxiety
NCT00968812,16,CV : asthma_COPD
NCT00968812,26,pain : asthma_COPD
NCT00968812,36,arthritis : asthma_COPD
NCT00968812,46,antacids : asthma_COPD
NCT00968812,56,anxiety : asthma_COPD
NCT00968812,66,asthma_COPD : asthma_COPD
NCT01106651,11,CV : CV
NCT01106651,21,pain : CV
NCT01106651,31,arthritis : CV
NCT01106651,41,antacids : CV
NCT01106651,51,anxiety : CV
NCT01106651,61,asthma_COPD : CV
NCT01106651,12,CV : pain
NCT01106651,22,pain : pain
NCT01106651,32,arthritis : pain
NCT01106651,42,antacids : pain
NCT01106651,52,anxiety : pain
NCT01106651,62,asthma_COPD : pain
NCT01106651,13,CV : arthritis
NCT01106651,23,pain : arthritis
NCT01106651,33,arthritis : arthritis
NCT01106651,43,antacids : arthritis
NCT01106651,53,anxiety : arthritis
NCT01106651,63,asthma_COPD : arthritis
NCT01106651,14,CV : antacids
NCT01106651,24,pain : antacids
NCT01106651,34,arthritis : antacids
NCT01106651,44,antacids : antacids
NCT01106651,54,anxiety : antacids
NCT01106651,64,asthma_COPD : antacids
NCT01106651,15,CV : anxiety
NCT01106651,25,pain : anxiety
NCT01106651,35,arthritis : anxiety
NCT01106651,45,antacids : anxiety
NCT01106651,55,anxiety : anxiety
NCT01106651,65,asthma_COPD : anxiety
NCT01106651,16,CV : asthma_COPD
NCT01106651,26,pain : asthma_COPD
NCT01106651,36,arthritis : asthma_COPD
NCT01106651,46,antacids : asthma_COPD
NCT01106651,56,anxiety : asthma_COPD
NCT01106651,66,asthma_COPD : asthma_COPD
NCT01106690,11,CV : CV
NCT01106690,21,pain : CV
NCT01106690,31,arthritis : CV
NCT01106690,41,antacids : CV
NCT01106690,51,anxiety : CV
NCT01106690,61,asthma_COPD : CV
NCT01106690,12,CV : pain
NCT01106690,22,pain : pain
NCT01106690,32,arthritis : pain
NCT01106690,42,antacids : pain
NCT01106690,52,anxiety : pain
NCT01106690,62,asthma_COPD : pain
NCT01106690,13,CV : arthritis
NCT01106690,23,pain : arthritis
NCT01106690,33,arthritis : arthritis
NCT01106690,43,antacids : arthritis
NCT01106690,53,anxiety : arthritis
NCT01106690,63,asthma_COPD : arthritis
NCT01106690,14,CV : antacids
NCT01106690,24,pain : antacids
NCT01106690,34,arthritis : antacids
NCT01106690,44,antacids : antacids
NCT01106690,54,anxiety : antacids
NCT01106690,64,asthma_COPD : antacids
NCT01106690,15,CV : anxiety
NCT01106690,25,pain : anxiety
NCT01106690,35,arthritis : anxiety
NCT01106690,45,antacids : anxiety
NCT01106690,55,anxiety : anxiety
NCT01106690,65,asthma_COPD : anxiety
NCT01106690,16,CV : asthma_COPD
NCT01106690,26,pain : asthma_COPD
NCT01106690,36,arthritis : asthma_COPD
NCT01106690,46,antacids : asthma_COPD
