index_condition,n,term1,term2,data_type,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
Axial Spondyloarthritis,1468,2,3,actual,-6.808e-02,7.566e-04,4.531e-02,-1.577e-01,-9.780e-02,-6.788e-02,-3.801e-02,2.164e-02,3586.5,1
Axial Spondyloarthritis,1468,2,3,pseudo,-7.979e-02,8.129e-04,4.569e-02,-1.712e-01,-1.106e-01,-7.942e-02,-4.848e-02,9.266e-03,3159.2,1
Axial Spondyloarthritis,1468,2,4,actual,-8.183e-02,8.452e-04,4.864e-02,-1.744e-01,-1.154e-01,-8.161e-02,-4.945e-02,1.387e-02,3311.9,1
Axial Spondyloarthritis,1468,2,4,pseudo,-1.090e-01,8.937e-04,4.947e-02,-2.040e-01,-1.437e-01,-1.095e-01,-7.539e-02,-1.100e-02,3064.1,1
Axial Spondyloarthritis,1468,2,5,actual,-9.465e-02,9.374e-04,5.017e-02,-1.906e-01,-1.295e-01,-9.466e-02,-5.980e-02,-3.569e-04,2865,1
Axial Spondyloarthritis,1468,2,5,pseudo,-6.592e-02,9.256e-04,5.080e-02,-1.637e-01,-1.007e-01,-6.539e-02,-3.186e-02,3.372e-02,3012.2,1
Axial Spondyloarthritis,1468,2,6,actual,3.080e-01,1.158e-03,6.033e-02,1.868e-01,2.683e-01,3.082e-01,3.491e-01,4.236e-01,2716.4,1
Axial Spondyloarthritis,1468,2,6,pseudo,3.540e-01,1.146e-03,5.782e-02,2.368e-01,3.155e-01,3.553e-01,3.929e-01,4.641e-01,2545.2,1
Axial Spondyloarthritis,1468,3,4,actual,9.019e-02,8.611e-04,4.911e-02,-5.017e-03,5.588e-02,8.918e-02,1.235e-01,1.874e-01,3251.8,1
Axial Spondyloarthritis,1468,3,4,pseudo,8.800e-02,9.239e-04,4.950e-02,-8.132e-03,5.444e-02,8.844e-02,1.228e-01,1.813e-01,2870.6,1
Axial Spondyloarthritis,1468,3,5,actual,7.225e-02,1.007e-03,5.178e-02,-2.972e-02,3.802e-02,7.092e-02,1.071e-01,1.776e-01,2646.5,1
Axial Spondyloarthritis,1468,3,5,pseudo,6.162e-02,9.131e-04,5.089e-02,-3.987e-02,2.761e-02,6.285e-02,9.580e-02,1.591e-01,3106,1
Axial Spondyloarthritis,1468,3,6,actual,7.382e-03,1.275e-03,6.447e-02,-1.173e-01,-3.671e-02,6.080e-03,5.142e-02,1.329e-01,2556.7,1
Axial Spondyloarthritis,1468,3,6,pseudo,-7.243e-03,1.113e-03,6.159e-02,-1.269e-01,-4.809e-02,-5.900e-03,3.299e-02,1.155e-01,3064.1,1
Axial Spondyloarthritis,1468,4,5,actual,7.390e-02,1.105e-03,5.459e-02,-3.408e-02,3.707e-02,7.496e-02,1.111e-01,1.801e-01,2442.4,1
Axial Spondyloarthritis,1468,4,5,pseudo,6.774e-02,1.010e-03,5.289e-02,-3.364e-02,3.129e-02,6.693e-02,1.031e-01,1.687e-01,2743.6,1
Axial Spondyloarthritis,1468,4,6,actual,7.676e-02,1.167e-03,6.300e-02,-4.815e-02,3.375e-02,7.811e-02,1.183e-01,2.009e-01,2913.7,1
Axial Spondyloarthritis,1468,4,6,pseudo,6.578e-02,1.197e-03,6.257e-02,-5.852e-02,2.529e-02,6.652e-02,1.075e-01,1.857e-01,2730.3,1
Axial Spondyloarthritis,1468,5,6,actual,1.912e-02,1.216e-03,6.457e-02,-1.065e-01,-2.494e-02,1.962e-02,6.370e-02,1.435e-01,2817.3,1
Axial Spondyloarthritis,1468,5,6,pseudo,6.667e-02,1.176e-03,6.308e-02,-5.845e-02,2.432e-02,6.765e-02,1.091e-01,1.887e-01,2876.5,1
Hip arthroplasty,2755,1,2,actual,5.592e-02,6.112e-04,3.375e-02,-9.562e-03,3.297e-02,5.583e-02,7.903e-02,1.221e-01,3049.6,1
Hip arthroplasty,2755,1,2,pseudo,3.711e-02,5.359e-04,3.389e-02,-3.041e-02,1.452e-02,3.713e-02,6.038e-02,1.021e-01,3997.9,1
Hip arthroplasty,2755,1,3,actual,-7.500e-02,5.673e-04,3.633e-02,-1.460e-01,-9.858e-02,-7.501e-02,-5.128e-02,-3.026e-03,4101.8,1
Hip arthroplasty,2755,1,3,pseudo,-9.914e-02,5.472e-04,3.621e-02,-1.672e-01,-1.239e-01,-1.003e-01,-7.443e-02,-2.578e-02,4378.8,1
Hip arthroplasty,2755,1,4,actual,-2.283e-01,6.474e-04,3.564e-02,-2.985e-01,-2.517e-01,-2.281e-01,-2.044e-01,-1.567e-01,3030.4,1
Hip arthroplasty,2755,1,4,pseudo,-2.164e-01,6.230e-04,3.563e-02,-2.876e-01,-2.407e-01,-2.164e-01,-1.925e-01,-1.469e-01,3271.8,1
Hip arthroplasty,2755,1,5,actual,-1.054e-01,6.290e-04,3.745e-02,-1.779e-01,-1.308e-01,-1.061e-01,-8.015e-02,-3.169e-02,3544.7,1
Hip arthroplasty,2755,1,5,pseudo,-1.068e-01,5.493e-04,3.610e-02,-1.781e-01,-1.301e-01,-1.060e-01,-8.365e-02,-3.631e-02,4319.1,1
Hip arthroplasty,2755,1,6,actual,-5.226e-02,7.106e-04,4.344e-02,-1.364e-01,-8.138e-02,-5.240e-02,-2.292e-02,3.316e-02,3736.2,1
Hip arthroplasty,2755,1,6,pseudo,-2.845e-02,6.582e-04,4.211e-02,-1.118e-01,-5.708e-02,-2.823e-02,-6.644e-05,5.374e-02,4094,1
Hip arthroplasty,2755,2,3,actual,-7.844e-02,5.455e-04,3.501e-02,-1.456e-01,-1.020e-01,-7.889e-02,-5.494e-02,-1.085e-02,4118.1,1
Hip arthroplasty,2755,2,3,pseudo,-6.293e-02,5.281e-04,3.547e-02,-1.331e-01,-8.646e-02,-6.277e-02,-3.951e-02,6.710e-03,4509.2,1
Hip arthroplasty,2755,2,4,actual,-6.078e-01,3.612e-04,2.473e-02,-6.553e-01,-6.250e-01,-6.084e-01,-5.915e-01,-5.569e-01,4687.9,1
Hip arthroplasty,2755,2,4,pseudo,-6.041e-01,3.966e-04,2.551e-02,-6.526e-01,-6.214e-01,-6.046e-01,-5.869e-01,-5.523e-01,4135.6,1
Hip arthroplasty,2755,2,5,actual,-1.327e-01,5.445e-04,3.408e-02,-1.992e-01,-1.556e-01,-1.325e-01,-1.101e-01,-6.531e-02,3918.1,1
Hip arthroplasty,2755,2,5,pseudo,-1.309e-01,5.411e-04,3.485e-02,-1.993e-01,-1.541e-01,-1.314e-01,-1.082e-01,-6.121e-02,4149.7,1
Hip arthroplasty,2755,2,6,actual,-6.043e-02,6.039e-04,4.057e-02,-1.395e-01,-8.832e-02,-6.079e-02,-3.234e-02,1.950e-02,4513.9,1
Hip arthroplasty,2755,2,6,pseudo,-6.654e-02,5.571e-04,4.036e-02,-1.467e-01,-9.368e-02,-6.679e-02,-3.825e-02,1.186e-02,5248.4,1
Hip arthroplasty,2755,3,4,actual,9.288e-02,6.219e-04,3.919e-02,1.614e-02,6.611e-02,9.325e-02,1.201e-01,1.688e-01,3971.5,1
Hip arthroplasty,2755,3,4,pseudo,8.366e-02,5.820e-04,3.849e-02,8.857e-03,5.764e-02,8.287e-02,1.097e-01,1.593e-01,4375,1
Hip arthroplasty,2755,3,5,actual,1.665e-01,6.528e-04,3.773e-02,9.202e-02,1.416e-01,1.669e-01,1.918e-01,2.410e-01,3339.6,1
Hip arthroplasty,2755,3,5,pseudo,1.657e-01,5.803e-04,3.851e-02,9.076e-02,1.400e-01,1.656e-01,1.914e-01,2.415e-01,4403.1,1
Hip arthroplasty,2755,3,6,actual,1.137e-01,7.665e-04,4.348e-02,2.906e-02,8.423e-02,1.134e-01,1.428e-01,1.980e-01,3217,1
Hip arthroplasty,2755,3,6,pseudo,9.585e-02,6.664e-04,4.312e-02,1.053e-02,6.715e-02,9.630e-02,1.255e-01,1.783e-01,4186.4,1
Hip arthroplasty,2755,4,5,actual,1.495e-01,6.894e-04,3.836e-02,7.239e-02,1.243e-01,1.505e-01,1.752e-01,2.231e-01,3095.7,1
Hip arthroplasty,2755,4,5,pseudo,1.477e-01,6.621e-04,3.817e-02,7.275e-02,1.222e-01,1.481e-01,1.732e-01,2.220e-01,3323.3,1
Hip arthroplasty,2755,4,6,actual,1.444e-02,8.693e-04,4.461e-02,-7.202e-02,-1.572e-02,1.474e-02,4.510e-02,9.958e-02,2632.9,1
Hip arthroplasty,2755,4,6,pseudo,1.507e-02,6.850e-04,4.370e-02,-7.093e-02,-1.446e-02,1.568e-02,4.497e-02,9.947e-02,4068.6,1
Hip arthroplasty,2755,5,6,actual,7.360e-02,7.342e-04,4.448e-02,-1.359e-02,4.365e-02,7.315e-02,1.030e-01,1.618e-01,3669.6,1
Hip arthroplasty,2755,5,6,pseudo,7.161e-02,7.291e-04,4.487e-02,-1.275e-02,4.110e-02,7.162e-02,1.028e-01,1.602e-01,3787.9,1
"Hypertension, Pulmonary",665,1,2,actual,-1.483e-02,1.657e-03,7.500e-02,-1.619e-01,-6.620e-02,-1.404e-02,3.615e-02,1.335e-01,2049.9,1
"Hypertension, Pulmonary",665,1,2,pseudo,-3.573e-02,1.469e-03,7.665e-02,-1.847e-01,-8.673e-02,-3.547e-02,1.585e-02,1.178e-01,2723.5,1
"Hypertension, Pulmonary",665,1,3,actual,-2.936e-01,1.435e-03,7.069e-02,-4.280e-01,-3.424e-01,-2.951e-01,-2.456e-01,-1.536e-01,2425.6,1
"Hypertension, Pulmonary",665,1,3,pseudo,-2.840e-01,1.245e-03,7.049e-02,-4.141e-01,-3.332e-01,-2.863e-01,-2.357e-01,-1.448e-01,3207.4,1
"Hypertension, Pulmonary",665,1,4,actual,2.295e-01,1.611e-03,7.669e-02,7.178e-02,1.771e-01,2.309e-01,2.825e-01,3.751e-01,2265.6,1
"Hypertension, Pulmonary",665,1,4,pseudo,2.390e-01,1.483e-03,7.554e-02,8.697e-02,1.878e-01,2.396e-01,2.901e-01,3.838e-01,2593.6,1
"Hypertension, Pulmonary",665,1,5,actual,-5.979e-02,1.592e-03,7.869e-02,-2.126e-01,-1.128e-01,-6.143e-02,-5.012e-03,9.160e-02,2444,1
"Hypertension, Pulmonary",665,1,5,pseudo,-8.014e-02,1.432e-03,7.915e-02,-2.349e-01,-1.334e-01,-7.967e-02,-2.587e-02,7.575e-02,3053.2,1
"Hypertension, Pulmonary",665,1,6,actual,-1.548e-01,1.560e-03,8.250e-02,-3.165e-01,-2.099e-01,-1.562e-01,-1.018e-01,8.806e-03,2796.4,1
"Hypertension, Pulmonary",665,1,6,pseudo,-1.531e-01,1.468e-03,8.191e-02,-3.155e-01,-2.082e-01,-1.543e-01,-1.006e-01,1.407e-02,3112.6,1
"Hypertension, Pulmonary",665,2,3,actual,8.249e-02,1.024e-03,6.266e-02,-4.194e-02,4.121e-02,8.370e-02,1.230e-01,2.055e-01,3741,1
"Hypertension, Pulmonary",665,2,3,pseudo,8.170e-02,1.020e-03,6.338e-02,-4.249e-02,3.865e-02,8.205e-02,1.244e-01,2.037e-01,3862.5,1
"Hypertension, Pulmonary",665,2,4,actual,3.477e-01,1.093e-03,6.323e-02,2.228e-01,3.055e-01,3.491e-01,3.903e-01,4.708e-01,3345.5,1
"Hypertension, Pulmonary",665,2,4,pseudo,3.505e-01,9.612e-04,6.208e-02,2.271e-01,3.093e-01,3.527e-01,3.930e-01,4.679e-01,4171.6,1
"Hypertension, Pulmonary",665,2,5,actual,2.106e-01,1.107e-03,6.790e-02,7.741e-02,1.652e-01,2.118e-01,2.571e-01,3.405e-01,3763.6,1
"Hypertension, Pulmonary",665,2,5,pseudo,2.060e-01,1.031e-03,6.646e-02,7.587e-02,1.604e-01,2.068e-01,2.515e-01,3.322e-01,4158.4,1
"Hypertension, Pulmonary",665,2,6,actual,3.748e-02,1.164e-03,7.322e-02,-1.048e-01,-1.026e-02,3.827e-02,8.565e-02,1.809e-01,3954.7,1
"Hypertension, Pulmonary",665,2,6,pseudo,3.027e-02,1.165e-03,7.598e-02,-1.180e-01,-2.140e-02,2.917e-02,8.068e-02,1.814e-01,4250.4,1
"Hypertension, Pulmonary",665,3,4,actual,3.813e-03,9.779e-04,6.527e-02,-1.259e-01,-4.029e-02,2.381e-03,4.701e-02,1.342e-01,4455.2,1
"Hypertension, Pulmonary",665,3,4,pseudo,1.474e-03,1.038e-03,6.783e-02,-1.318e-01,-4.559e-02,1.272e-03,4.818e-02,1.351e-01,4269,1
"Hypertension, Pulmonary",665,3,5,actual,5.618e-02,1.035e-03,6.666e-02,-7.294e-02,1.322e-02,5.641e-02,1.004e-01,1.860e-01,4146.4,1
"Hypertension, Pulmonary",665,3,5,pseudo,5.398e-02,1.058e-03,6.731e-02,-7.573e-02,8.117e-03,5.283e-02,9.976e-02,1.862e-01,4049.6,1
"Hypertension, Pulmonary",665,3,6,actual,1.678e-01,1.082e-03,7.072e-02,2.493e-02,1.186e-01,1.687e-01,2.177e-01,3.017e-01,4269.6,1
"Hypertension, Pulmonary",665,3,6,pseudo,1.723e-01,1.060e-03,6.973e-02,3.273e-02,1.255e-01,1.727e-01,2.202e-01,3.052e-01,4326.3,1
"Hypertension, Pulmonary",665,4,5,actual,1.433e-02,1.107e-03,7.021e-02,-1.217e-01,-3.377e-02,1.393e-02,6.145e-02,1.498e-01,4020.6,1
"Hypertension, Pulmonary",665,4,5,pseudo,3.427e-03,1.167e-03,7.147e-02,-1.348e-01,-4.477e-02,1.197e-03,5.102e-02,1.462e-01,3751.4,1
"Hypertension, Pulmonary",665,4,6,actual,-1.529e-01,1.294e-03,7.680e-02,-2.999e-01,-2.068e-01,-1.546e-01,-1.006e-01,8.597e-05,3522.7,1
"Hypertension, Pulmonary",665,4,6,pseudo,-1.582e-01,1.503e-03,7.793e-02,-3.051e-01,-2.118e-01,-1.620e-01,-1.053e-01,-6.284e-03,2687.3,1
"Hypertension, Pulmonary",665,5,6,actual,1.075e-01,1.298e-03,7.679e-02,-4.210e-02,5.541e-02,1.084e-01,1.610e-01,2.535e-01,3500.5,1
"Hypertension, Pulmonary",665,5,6,pseudo,1.018e-01,1.275e-03,7.723e-02,-5.120e-02,5.133e-02,1.025e-01,1.550e-01,2.482e-01,3666.8,1
Inflammatory bowel disease,8869,1,2,actual,-1.894e-02,2.959e-04,1.755e-02,-5.295e-02,-3.073e-02,-1.875e-02,-7.106e-03,1.571e-02,3519.7,1
Inflammatory bowel disease,8869,1,2,pseudo,-3.430e-02,2.865e-04,1.760e-02,-6.935e-02,-4.619e-02,-3.437e-02,-2.237e-02,5.235e-04,3774.8,1
Inflammatory bowel disease,8869,1,3,actual,-7.934e-02,3.072e-04,1.785e-02,-1.139e-01,-9.124e-02,-7.936e-02,-6.726e-02,-4.495e-02,3376.3,1
Inflammatory bowel disease,8869,1,3,pseudo,-8.248e-02,2.719e-04,1.720e-02,-1.171e-01,-9.398e-02,-8.253e-02,-7.086e-02,-4.865e-02,4001,1
Inflammatory bowel disease,8869,1,4,actual,2.642e-01,3.183e-04,1.684e-02,2.305e-01,2.529e-01,2.646e-01,2.753e-01,2.970e-01,2798.9,1
Inflammatory bowel disease,8869,1,4,pseudo,2.628e-01,3.072e-04,1.703e-02,2.294e-01,2.514e-01,2.628e-01,2.739e-01,2.960e-01,3073.4,1
Inflammatory bowel disease,8869,1,5,actual,1.132e-01,2.942e-04,1.806e-02,7.711e-02,1.012e-01,1.133e-01,1.255e-01,1.477e-01,3767.7,1
Inflammatory bowel disease,8869,1,5,pseudo,1.131e-01,2.705e-04,1.765e-02,7.859e-02,1.015e-01,1.130e-01,1.251e-01,1.482e-01,4256.1,1
Inflammatory bowel disease,8869,1,6,actual,-3.423e-02,2.898e-04,1.832e-02,-7.065e-02,-4.632e-02,-3.422e-02,-2.194e-02,1.267e-03,3996.6,1
Inflammatory bowel disease,8869,1,6,pseudo,-3.510e-02,3.294e-04,1.892e-02,-7.223e-02,-4.766e-02,-3.512e-02,-2.236e-02,1.836e-03,3299.5,1
Inflammatory bowel disease,8869,2,3,actual,-2.507e-01,2.994e-04,1.737e-02,-2.837e-01,-2.624e-01,-2.508e-01,-2.390e-01,-2.164e-01,3364.9,1
Inflammatory bowel disease,8869,2,3,pseudo,-2.650e-01,3.099e-04,1.758e-02,-2.995e-01,-2.768e-01,-2.651e-01,-2.533e-01,-2.305e-01,3219.1,1
Inflammatory bowel disease,8869,2,4,actual,4.093e-01,2.996e-04,1.593e-02,3.778e-01,3.985e-01,4.096e-01,4.201e-01,4.403e-01,2828.4,1
Inflammatory bowel disease,8869,2,4,pseudo,4.110e-01,2.937e-04,1.573e-02,3.800e-01,4.007e-01,4.111e-01,4.213e-01,4.426e-01,2867.1,1
Inflammatory bowel disease,8869,2,5,actual,-2.081e-02,2.907e-04,1.792e-02,-5.598e-02,-3.274e-02,-2.112e-02,-8.608e-03,1.459e-02,3801,1
Inflammatory bowel disease,8869,2,5,pseudo,-1.701e-02,3.030e-04,1.871e-02,-5.341e-02,-2.973e-02,-1.683e-02,-4.818e-03,1.965e-02,3810.6,1
Inflammatory bowel disease,8869,2,6,actual,-7.614e-02,3.078e-04,1.921e-02,-1.125e-01,-8.964e-02,-7.600e-02,-6.283e-02,-3.926e-02,3895,1
Inflammatory bowel disease,8869,2,6,pseudo,-7.876e-02,3.270e-04,1.947e-02,-1.168e-01,-9.220e-02,-7.881e-02,-6.563e-02,-4.062e-02,3543.9,1
Inflammatory bowel disease,8869,3,4,actual,-5.016e-01,2.861e-04,1.544e-02,-5.312e-01,-5.123e-01,-5.017e-01,-4.911e-01,-4.709e-01,2911.8,1
Inflammatory bowel disease,8869,3,4,pseudo,-5.049e-01,2.705e-04,1.529e-02,-5.339e-01,-5.154e-01,-5.051e-01,-4.944e-01,-4.749e-01,3194.6,1
Inflammatory bowel disease,8869,3,5,actual,-3.105e-03,2.922e-04,1.858e-02,-3.943e-02,-1.565e-02,-3.013e-03,9.195e-03,3.411e-02,4041.8,1
Inflammatory bowel disease,8869,3,5,pseudo,-4.287e-03,3.023e-04,1.827e-02,-4.051e-02,-1.644e-02,-4.432e-03,7.696e-03,3.125e-02,3650.5,1
Inflammatory bowel disease,8869,3,6,actual,1.702e-02,2.950e-04,1.938e-02,-2.150e-02,4.248e-03,1.716e-02,3.003e-02,5.534e-02,4316.9,1
Inflammatory bowel disease,8869,3,6,pseudo,1.645e-02,3.040e-04,1.921e-02,-2.046e-02,3.541e-03,1.616e-02,2.967e-02,5.408e-02,3993.9,1
Inflammatory bowel disease,8869,4,5,actual,-4.423e-03,3.066e-04,1.824e-02,-4.045e-02,-1.669e-02,-4.432e-03,7.771e-03,3.140e-02,3539,1
Inflammatory bowel disease,8869,4,5,pseudo,-3.707e-03,2.940e-04,1.820e-02,-3.942e-02,-1.572e-02,-3.712e-03,8.394e-03,3.172e-02,3834.4,1
Inflammatory bowel disease,8869,4,6,actual,-6.685e-02,3.159e-04,1.943e-02,-1.048e-01,-8.006e-02,-6.684e-02,-5.386e-02,-2.843e-02,3782.3,1
Inflammatory bowel disease,8869,4,6,pseudo,-6.799e-02,3.438e-04,1.909e-02,-1.052e-01,-8.061e-02,-6.814e-02,-5.500e-02,-3.107e-02,3084.7,1
Inflammatory bowel disease,8869,5,6,actual,2.989e-02,3.137e-04,1.964e-02,-8.810e-03,1.683e-02,2.981e-02,4.332e-02,6.811e-02,3917.4,1
Inflammatory bowel disease,8869,5,6,pseudo,2.860e-02,3.210e-04,1.947e-02,-9.201e-03,1.548e-02,2.831e-02,4.170e-02,6.596e-02,3680.6,1
Knee arthroplasty,3195,1,2,actual,-9.171e-02,5.608e-04,3.163e-02,-1.529e-01,-1.138e-01,-9.166e-02,-6.969e-02,-3.120e-02,3180.5,1
Knee arthroplasty,3195,1,2,pseudo,-1.019e-01,5.878e-04,3.159e-02,-1.629e-01,-1.239e-01,-1.019e-01,-8.022e-02,-4.086e-02,2888.1,1
Knee arthroplasty,3195,1,3,actual,-1.624e-01,5.891e-04,3.346e-02,-2.275e-01,-1.852e-01,-1.621e-01,-1.402e-01,-9.741e-02,3226.5,1
Knee arthroplasty,3195,1,3,pseudo,-1.614e-01,6.291e-04,3.395e-02,-2.287e-01,-1.832e-01,-1.616e-01,-1.379e-01,-9.562e-02,2912.8,1
Knee arthroplasty,3195,1,4,actual,-4.292e-02,5.411e-04,3.427e-02,-1.090e-01,-6.672e-02,-4.365e-02,-1.901e-02,2.299e-02,4011,1
Knee arthroplasty,3195,1,4,pseudo,-4.422e-02,5.811e-04,3.421e-02,-1.107e-01,-6.774e-02,-4.420e-02,-2.091e-02,2.382e-02,3467,1
