selection,term,route_classify
take_any,TERBINAFINE HYDROCHLORIDE,"topical, topical, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral"
take_any,DICLOFENAC SODIUM,"oral/enteral, parenteral"
take_any,FLUCONAZOLE,"oral/enteral, parenteral, oral/enteral"
take_any,CYANOCOBALAMIN,"oral/enteral, parenteral"
take_any,TERBINAFINE,"oral/enteral, oral/enteral, oral/enteral, topical, topical, topical"
take_any,TESTOSTERONE,"topical, parenteral"
take_any,GLYCERYL TRINITRATE,"parenteral, parenteral, buccal/sublingual, buccal/sublingual"
take_any,CROMOGLICATE SODIUM,"inhaled/nebulised, inhaled/nebulised, inhaled/nebulised, eye, eye, eye"
take_any,FENTANYL,"parenteral, topical, parenteral"
take_any,METRONIDAZOLE,"oral/enteral, parenteral"
take_any,ONDANSETRON,"parenteral, oral/enteral"
take_any,OXYCODONE HYDROCHLORIDE,"oral/enteral, nasal"
take_any,METAMIZOLE,"parenteral, oral/enteral"
take_any,ACICLOVIR,"topical, oral/enteral"
take_any,DICLOFENAC,"topical, oral/enteral"
take_any,PREDNISOLONE,"parenteral, oral/enteral"
take_any,MEPIVACAINE HYDROCHLORIDE,"parenteral, oral/enteral"
take_any,HOMEOPATICS NOS,"oral/enteral, parenteral"
take_any,ALL OTHER THERAPEUTIC PRODUCTS,"oral/enteral, parenteral"
take_any,LEVOFLOXACIN,"parenteral, oral/enteral"
take_any,NYSTATIN,"buccal/sublingual, oral/enteral"
take_any,PIRACETAM,"parenteral, oral/enteral"
take_any,DICLOFENAC,"oral/enteral, rectal"
take_any,DROTAVERINE HYDROCHLORIDE,"parenteral, oral/enteral"
take_any,ETAMSILATE,"parenteral, oral/enteral"
take_any,PANTOPRAZOLE,"parenteral, oral/enteral"
take_any,CEFUROXIME,"parenteral, oral/enteral"
take_any,AZITHROMYCIN,"oral/enteral, eye"
take_any,NYSTATIN,"oral/enteral, topical"
take_any,LEVOFLOXACIN,"oral/enteral, parenteral"
take_any,CLINDAMYCIN,"oral/enteral, parenteral"
take_any,PROMETHAZINE,"parenteral, oral/enteral"
take_any,CLOTRIMAZOLE,"topical, pv"
take_any,VITAMIN B12 NOS,"oral/enteral, parenteral"
take_any,MORPHINE,"parenteral, oral/enteral"
take_any,MICONAZOLE NITRATE,"pv, topical"
take_any,CLINDAMYCIN,"oral/enteral, topical"
take_any,CLINDAMYCIN HYDROCHLORIDE,"oral/enteral, topical"
take_any,CEFALEXIN,"parenteral, oral/enteral"
take_any,MICONAZOLE NITRATE,"topical, pv"
take_any,LOXOPROFEN SODIUM,"oral/enteral, topical"
take_any,FUROSEMIDE,"parenteral, oral/enteral"
take_any,LEVOFLOXACIN,"oral/enteral, eye"
take_any,LIDOCAINE,"topical, rectal"
take_any,LEVOCABASTINE HYDROCHLORIDE,"nasal, eye"
take_any,AMPHOTERICIN B,"oral/enteral, buccal/sublingual"
take_any,CHLORTETRACYCLINE,"topical, nasal"
take_any,FUSIDIC ACID,"eye, topical"
take_any,ALL OTHER THERAPEUTIC PRODUCTS,"oral/enteral, topical"
take_any,CEFUROXIME,"oral/enteral, parenteral"
take_any,MESALAZINE,"rectal, oral/enteral"
take_any,DICLOFENAC,"rectal, oral/enteral"
take_any,AMPHOTERICIN B,"topical, topical, oral/enteral"
take_any,DICLOFENAC,"parenteral, oral/enteral"
take_any,DIPHENHYDRAMINE,"parenteral, oral/enteral"
take_any,AZITHROMYCIN,"parenteral, oral/enteral"
take_any,CLINDAMYCIN,"parenteral, oral/enteral"
take_any,DEXAMETHASONE,"oral/enteral, parenteral"
take_any,NYSTATIN,"oral/enteral, buccal/sublingual"
take_any,NO-FLU F,"oral/enteral, parenteral"
take_any,DICLOFENAC,"oral/enteral, topical"
take_any,AMOXICILLIN,"parenteral, oral/enteral"
take_any,MOMETASONE FUROATE,"topical, nasal"
take_any,HYDROMORPHONE,"parenteral, oral/enteral"
take_any,PARACETAMOL,"rectal, oral/enteral"
take_any,HYDROMORPHONE HYDROCHLORIDE,"parenteral, parenteral, oral/enteral"
take_any,NAPROXEN,"rectal, oral/enteral"
take_any,ONDANSETRON HYDROCHLORIDE,"parenteral, oral/enteral"
take_any,GUAIFENESIN,"parenteral, oral/enteral"
take_any,TERBINAFINE,"topical, oral/enteral"
take_any,PREDNISOLONE,"eye, oral/enteral"
take_any,CEFPODOXIME PROXETIL,"ear, oral/enteral"
take_any,CROMOGLICIC ACID,"eye, nasal"
take_any,DEXAMETHASONE,"eye, nasal"
take_any,METAMIZOLE SODIUM,"parenteral, oral/enteral"
take_any,LIDOCAINE,"topical, parenteral"
take_any,METAMIZOLE,"parenteral, parenteral, oral/enteral"
take_any,PARACETAMOL,"oral/enteral, parenteral"
take_any,PANTOPRAZOLE,"oral/enteral, parenteral"
take_any,ACETYLLEUCINE,"oral/enteral, parenteral"
take_any,OFLOXACIN,"ear, oral/enteral"
take_any,FLUCLOXACILLIN,"oral/enteral, parenteral"
take_any,DICLOFENAC,"oral/enteral, parenteral"
take_any,METFORMIN,"oral/enteral, buccal/sublingual"
take_any,CIPROFLOXACIN,"parenteral, oral/enteral"
take_any,CROMOGLICATE SODIUM,"eye, nasal"
take_any,ACETYLSALICYLIC ACID,"oral/enteral, parenteral"
take_any,PHENOXYMETHYLPENICILLIN,"parenteral, oral/enteral"
take_any,ANTIINFLAMMATORY AGENTS,"oral/enteral, parenteral"
take_any,CLARITHROMYCIN,"parenteral, oral/enteral"
take_any,FLUCONAZOLE,"oral/enteral, topical"
take_any,GLYCERYL TRINITRATE,"oral/enteral, topical"
take_any,FUROSEMIDE,"oral/enteral, parenteral"
take_any,GLUCOSE,"parenteral, oral/enteral"
take_any,MORPHINE,"oral/enteral, parenteral"
take_any,CONTRAST MEDIA,"parenteral, oral/enteral"
take_any,GLYCERYL TRINITRATE,"parenteral, parenteral, oral/enteral"
take_any,KETOCONAZOLE,"topical, oral/enteral"
take_any,HYDROMORPHONE HYDROCHLORIDE,"oral/enteral, parenteral"
take_any,CIPROFLOXACIN,"oral/enteral, ear"
take_any,CAPIVEN,"rectal, topical"
take_any,REPARON,"rectal, topical"
take_any,CARVEDILOL,"oral/enteral, pv"
take_any,RAMIPRIL,"oral/enteral, buccal/sublingual"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, rectal, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, oral/enteral, parenteral, parenteral, parenteral"
take_any,PREDNISONE,"oral/enteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, oral/enteral, parenteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, parenteral, parenteral"
take_any,METHYLPREDNISOLONE,"oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, parenteral"
take_any,INDOMETACIN,"oral/enteral, rectal"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,METHYLPREDNISOLONE,"oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, oral/enteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, parenteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, oral/enteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, parenteral, parenteral, oral/enteral, parenteral, oral/enteral"
take_any,TRIAMCINOLONE ACETONIDE,"parenteral, parenteral, topical"
take_any,RANITIDINE,"oral/enteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, parenteral, oral/enteral, oral/enteral, parenteral, parenteral"
take_any,METHOTREXATE,"parenteral, parenteral, parenteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, oral/enteral, parenteral, parenteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, parenteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, oral/enteral, parenteral, parenteral, oral/enteral, parenteral"
take_any,METHOTREXATE,"parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral, parenteral"
take_any,PREDNISOLONE,"oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, parenteral"
take_any,PREDNISOLONE,"oral/enteral, oral/enteral, parenteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHOTREXATE,"oral/enteral, parenteral, oral/enteral, parenteral, parenteral"
take_any,GOLD,"parenteral, oral/enteral"
take_any,INDOMETACIN,"rectal, oral/enteral"
take_any,GENERIC UNKNOWN,"oral/enteral, parenteral, oral/enteral, oral/enteral"
take_any,METHYLPREDNISOLONE ACETATE,"parenteral, oral/enteral"
take_any,PREDNISOLONE,"parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,METHYLPREDNISOLONE ACETATE,"topical, topical, parenteral"
take_any,KETOPROFEN,"parenteral, oral/enteral, oral/enteral"
take_any,DIPYRONE,"parenteral, oral/enteral"
take_any,METHYLPREDNISOLONE ACETATE,"oral/enteral, parenteral, parenteral, parenteral, parenteral"
take_any,METHYLPREDNISOLONE,"parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,MESALAZINE,"rectal, rectal, oral/enteral"
take_any,MESALAZINE,"oral/enteral, rectal"
take_any,MESALAZINE,"pv, rectal"
take_any,PREDNISOLONE,"oral/enteral, parenteral, oral/enteral"
take_any,PREDNISOLONE,"parenteral, oral/enteral, oral/enteral, oral/enteral, oral/enteral"
take_any,HYOSCINE,"oral/enteral, parenteral"
take_any,PROMETHAZINE,"topical, oral/enteral"
take_any,BUDESONIDE,"oral/enteral, inhaled/nebulised"
take_any,HYDROCORTISONE,"oral/enteral, rectal, topical"
take_any,VITAMIN B12 NOS,"parenteral, oral/enteral"
take_any,ESTRADIOL,"pv, oral/enteral"
take_any,METOCLOPRAMIDE,"oral/enteral, parenteral"
take_any,THEOPHYLLINE,"parenteral, oral/enteral"
