condition_sought,level_name,term,drug_defined_label
cardiovascular,llt_name,Atheroma in the circle of Willis,Cardiovascular diseases
cardiovascular,llt_name,Atherosclerosis cerebral,Cardiovascular diseases
cardiovascular,llt_name,Attack coronary,Cardiovascular diseases
cardiovascular,llt_name,Attack heart (NOS),Cardiovascular diseases
cardiovascular,llt_name,Atypical angina,Cardiovascular diseases
cardiovascular,pt_name,Balint's syndrome,Cardiovascular diseases
cardiovascular,llt_name,Bare metal coronary stent placement,Cardiovascular diseases
cardiovascular,llt_name,Bare metal stent occlusion,Cardiovascular diseases
cardiovascular,llt_name,Bare metal stent reocclusion,Cardiovascular diseases
cardiovascular,llt_name,Bare metal stent restenosis,Cardiovascular diseases
cardiovascular,llt_name,Bare metal stent stenosis,Cardiovascular diseases
cardiovascular,llt_name,Basal ganglia bleeding,Cardiovascular diseases
cardiovascular,pt_name,Basal ganglia haematoma,Cardiovascular diseases
cardiovascular,pt_name,Basal ganglia haemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Basal ganglia hematoma,Cardiovascular diseases
cardiovascular,llt_name,Basal ganglia hemorrhage,Cardiovascular diseases
cardiovascular,pt_name,Basal ganglia infarction,Cardiovascular diseases
cardiovascular,pt_name,Basal ganglia stroke,Cardiovascular diseases
cardiovascular,pt_name,Basilar artery aneurysm,Cardiovascular diseases
cardiovascular,llt_name,Basilar artery atheroma,Cardiovascular diseases
cardiovascular,pt_name,Basilar artery occlusion,Cardiovascular diseases
cardiovascular,pt_name,Basilar artery perforation,Cardiovascular diseases
cardiovascular,pt_name,Basilar artery stenosis,Cardiovascular diseases
cardiovascular,llt_name,Basilar artery syndrome,Cardiovascular diseases
cardiovascular,pt_name,Basilar artery thrombosis,Cardiovascular diseases
cardiovascular,llt_name,Basilar insufficiency,Cardiovascular diseases
cardiovascular,llt_name,Benign angiopathy of CNS,Cardiovascular diseases
cardiovascular,llt_name,Berry aneurysm,Cardiovascular diseases
cardiovascular,llt_name,Bi-ventricular failure,Cardiovascular diseases
cardiovascular,llt_name,Binswanger's disease,Cardiovascular diseases
cardiovascular,llt_name,Bioabsorbable coronary stent placement,Cardiovascular diseases
cardiovascular,llt_name,Bleeding intracranial,Cardiovascular diseases
cardiovascular,pt_name,Blood creatine phosphokinase MB abnormal,Cardiovascular diseases
cardiovascular,llt_name,Blood creatine phosphokinase MB abnormal NOS,Cardiovascular diseases
cardiovascular,pt_name,Blood creatine phosphokinase MB increased,Cardiovascular diseases
cardiovascular,pt_name,Brachiocephalic arteriosclerosis,Cardiovascular diseases
cardiovascular,pt_name,Brachiocephalic artery occlusion,Cardiovascular diseases
cardiovascular,pt_name,Brachiocephalic artery stenosis,Cardiovascular diseases
cardiovascular,pt_name,Brain hypoxia,Cardiovascular diseases
cardiovascular,llt_name,Brain infarction,Cardiovascular diseases
cardiovascular,llt_name,Brain stem bleeding,Cardiovascular diseases
cardiovascular,pt_name,Brain stem embolism,Cardiovascular diseases
cardiovascular,pt_name,Brain stem haematoma,Cardiovascular diseases
cardiovascular,pt_name,Brain stem haemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Brain stem hematoma,Cardiovascular diseases
cardiovascular,llt_name,Brain stem hemorrhage,Cardiovascular diseases
cardiovascular,pt_name,Brain stem infarction,Cardiovascular diseases
cardiovascular,pt_name,Brain stem ischaemia,Cardiovascular diseases
cardiovascular,llt_name,Brain stem ischemia,Cardiovascular diseases
cardiovascular,llt_name,Brain stem microbleeding,Cardiovascular diseases
cardiovascular,pt_name,Brain stem microhaemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Brain stem microhemorrhage,Cardiovascular diseases
cardiovascular,pt_name,Brain stem stroke,Cardiovascular diseases
cardiovascular,pt_name,Brain stem thrombosis,Cardiovascular diseases
cardiovascular,pt_name,Brain stent insertion,Cardiovascular diseases
cardiovascular,llt_name,Broken heart syndrome,Cardiovascular diseases
cardiovascular,llt_name,CABG,Cardiovascular diseases
cardiovascular,llt_name,CAD,Cardiovascular diseases
cardiovascular,llt_name,Call-Fleming syndrome,Cardiovascular diseases
cardiovascular,pt_name,Capsular warning syndrome,Cardiovascular diseases
cardiovascular,pt_name,Cardiac asthma,Cardiovascular diseases
cardiovascular,pt_name,Cardiac failure,Cardiovascular diseases
cardiovascular,llt_name,Cardiac failure (NOS),Cardiovascular diseases
cardiovascular,pt_name,Cardiac failure acute,Cardiovascular diseases
cardiovascular,llt_name,Cardiac failure aggravated,Cardiovascular diseases
cardiovascular,pt_name,Cardiac failure chronic,Cardiovascular diseases
cardiovascular,llt_name,Cardiac failure chronic aggravated,Cardiovascular diseases
cardiovascular,pt_name,Cardiac failure congestive,Cardiovascular diseases
cardiovascular,pt_name,Cardiac failure high output,Cardiovascular diseases
cardiovascular,llt_name,Cardiac failure left,Cardiovascular diseases
cardiovascular,llt_name,Cardiac failure NOS,Cardiovascular diseases
cardiovascular,llt_name,Cardiac failure right,Cardiovascular diseases
cardiovascular,llt_name,"Cardiac failure, congestive",Cardiovascular diseases
cardiovascular,llt_name,Cardiac function failed,Cardiovascular diseases
cardiovascular,llt_name,Cardiac function failure,Cardiovascular diseases
cardiovascular,llt_name,Cardiac insufficiency,Cardiovascular diseases
cardiovascular,llt_name,Cardiac ischaemia,Cardiovascular diseases
cardiovascular,llt_name,Cardiac ischemia,Cardiovascular diseases
cardiovascular,llt_name,Cardiac pain,Cardiovascular diseases
cardiovascular,llt_name,Cardiac syndrome X,Cardiovascular diseases
cardiovascular,llt_name,Cardiac troponin I increased,Cardiovascular diseases
cardiovascular,llt_name,Cardiac troponin increased,Cardiovascular diseases
cardiovascular,llt_name,Cardiac troponin T increased,Cardiovascular diseases
cardiovascular,llt_name,Cardialgia,Cardiovascular diseases
cardiovascular,llt_name,Cardio-respiratory failure,Cardiovascular diseases
cardiovascular,llt_name,Cardioembolic stroke,Cardiovascular diseases
cardiovascular,llt_name,Cardiogenic pulmonary edema,Cardiovascular diseases
cardiovascular,llt_name,Cardiogenic pulmonary oedema,Cardiovascular diseases
cardiovascular,pt_name,Cardiogenic shock,Cardiovascular diseases
cardiovascular,llt_name,Cardiopathy necrotic,Cardiovascular diseases
cardiovascular,pt_name,Cardiopulmonary failure,Cardiovascular diseases
cardiovascular,llt_name,Cardiopulmonary insufficiency,Cardiovascular diseases
cardiovascular,pt_name,Cardiorenal syndrome,Cardiovascular diseases
cardiovascular,llt_name,Carotid-subclavian bypass,Cardiovascular diseases
cardiovascular,pt_name,Carotid aneurysm rupture,Cardiovascular diseases
cardiovascular,pt_name,Carotid angioplasty,Cardiovascular diseases
cardiovascular,pt_name,Carotid arterial embolus,Cardiovascular diseases
cardiovascular,pt_name,Carotid arteriosclerosis,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery aneurysm,Cardiovascular diseases
cardiovascular,llt_name,Carotid artery atheroma,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery bypass,Cardiovascular diseases
cardiovascular,llt_name,Carotid artery calcification,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery disease,Cardiovascular diseases
cardiovascular,llt_name,Carotid artery disease NOS,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery dissection,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery insufficiency,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery occlusion,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery perforation,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery restenosis,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery stenosis,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery stent insertion,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery stent removal,Cardiovascular diseases
cardiovascular,pt_name,Carotid artery thrombosis,Cardiovascular diseases
cardiovascular,llt_name,Carotid embolus,Cardiovascular diseases
cardiovascular,pt_name,Carotid endarterectomy,Cardiovascular diseases
cardiovascular,llt_name,Carotid occlusion,Cardiovascular diseases
cardiovascular,pt_name,Carotid revascularisation,Cardiovascular diseases
cardiovascular,llt_name,Carotid revascularization,Cardiovascular diseases
cardiovascular,llt_name,Carotid thrombosis,Cardiovascular diseases
cardiovascular,llt_name,CCF,Cardiovascular diseases
cardiovascular,llt_name,Central nervous system bleeding,Cardiovascular diseases
cardiovascular,pt_name,Central nervous system haemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Central nervous system hemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Central retinal artery occlusion,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar arterial aneurysm,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar artery obstruction,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar artery occlusion,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar artery thrombosis,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar bleeding,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar embolism,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar haematoma,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar haematoma NOS,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar haemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar hematoma,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar hemorrhage,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar infarction,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar ischaemia,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar ischemia,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar microbleeding,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar microhaemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Cerebellar microhemorrhage,Cardiovascular diseases
cardiovascular,pt_name,Cerebellar stroke,Cardiovascular diseases
cardiovascular,llt_name,Cerebral aneurysm (unruptured),Cardiovascular diseases
cardiovascular,pt_name,Cerebral aneurysm perforation,Cardiovascular diseases
cardiovascular,pt_name,Cerebral aneurysm ruptured syphilitic,Cardiovascular diseases
cardiovascular,llt_name,"Cerebral aneurysm, nonruptured",Cardiovascular diseases
cardiovascular,llt_name,Cerebral arterial aneurysm,Cardiovascular diseases
cardiovascular,llt_name,Cerebral arterial spasm,Cardiovascular diseases
cardiovascular,llt_name,Cerebral arterial thrombosis,Cardiovascular diseases
cardiovascular,pt_name,Cerebral arteriosclerosis,Cardiovascular diseases
cardiovascular,llt_name,Cerebral arteriospasm,Cardiovascular diseases
cardiovascular,pt_name,Cerebral arteriovenous malformation haemorrhagic,Cardiovascular diseases
cardiovascular,llt_name,Cerebral arteriovenous malformation hemorrhagic,Cardiovascular diseases
cardiovascular,llt_name,Cerebral artery atheroma,Cardiovascular diseases
cardiovascular,pt_name,Cerebral artery embolism,Cardiovascular diseases
cardiovascular,pt_name,Cerebral artery occlusion,Cardiovascular diseases
cardiovascular,llt_name,"Cerebral artery occlusion, unspecified",Cardiovascular diseases
cardiovascular,pt_name,Cerebral artery perforation,Cardiovascular diseases
cardiovascular,pt_name,Cerebral artery restenosis,Cardiovascular diseases
cardiovascular,pt_name,Cerebral artery stenosis,Cardiovascular diseases
cardiovascular,pt_name,Cerebral artery thrombosis,Cardiovascular diseases
cardiovascular,llt_name,Cerebral atherosclerosis,Cardiovascular diseases
cardiovascular,llt_name,Cerebral bleeding,Cardiovascular diseases
cardiovascular,pt_name,Cerebral congestion,Cardiovascular diseases
cardiovascular,llt_name,Cerebral embolism,Cardiovascular diseases
cardiovascular,llt_name,Cerebral embolism (vessel unspecified),Cardiovascular diseases
cardiovascular,pt_name,Cerebral endovascular aneurysm repair,Cardiovascular diseases
cardiovascular,pt_name,Cerebral gas embolism,Cardiovascular diseases
cardiovascular,pt_name,Cerebral haematoma,Cardiovascular diseases
cardiovascular,pt_name,Cerebral haemorrhage,Cardiovascular diseases
cardiovascular,pt_name,Cerebral haemorrhage foetal,Cardiovascular diseases
cardiovascular,pt_name,Cerebral haemorrhage neonatal,Cardiovascular diseases
cardiovascular,llt_name,Cerebral hematoma,Cardiovascular diseases
cardiovascular,llt_name,Cerebral hemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Cerebral hemorrhage fetal,Cardiovascular diseases
cardiovascular,llt_name,Cerebral hemorrhage neonatal,Cardiovascular diseases
cardiovascular,llt_name,Cerebral hyperaemia,Cardiovascular diseases
cardiovascular,llt_name,Cerebral hyperemia,Cardiovascular diseases
cardiovascular,llt_name,Cerebral infarct,Cardiovascular diseases
cardiovascular,pt_name,Cerebral infarction,Cardiovascular diseases
cardiovascular,llt_name,Cerebral infarction fetal,Cardiovascular diseases
cardiovascular,pt_name,Cerebral infarction foetal,Cardiovascular diseases
cardiovascular,pt_name,Cerebral ischaemia,Cardiovascular diseases
cardiovascular,llt_name,Cerebral ischemia,Cardiovascular diseases
cardiovascular,llt_name,Cerebral microbleeding,Cardiovascular diseases
cardiovascular,pt_name,Cerebral microembolism,Cardiovascular diseases
cardiovascular,pt_name,Cerebral microhaemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Cerebral microhemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Cerebral petechial bleeding,Cardiovascular diseases
cardiovascular,llt_name,Cerebral petechial haemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Cerebral petechial hemorrhage,Cardiovascular diseases
cardiovascular,pt_name,Cerebral reperfusion injury,Cardiovascular diseases
cardiovascular,pt_name,Cerebral revascularisation,Cardiovascular diseases
cardiovascular,llt_name,Cerebral revascularisation synangiosis,Cardiovascular diseases
cardiovascular,llt_name,Cerebral revascularization,Cardiovascular diseases
cardiovascular,llt_name,Cerebral revascularization synangiosis,Cardiovascular diseases
cardiovascular,pt_name,Cerebral septic infarct,Cardiovascular diseases
cardiovascular,pt_name,Cerebral small vessel ischaemic disease,Cardiovascular diseases
cardiovascular,llt_name,Cerebral small vessel ischemic disease,Cardiovascular diseases
cardiovascular,pt_name,Cerebral thrombosis,Cardiovascular diseases
cardiovascular,llt_name,Cerebral thrombosis (vessel unspecified),Cardiovascular diseases
cardiovascular,llt_name,Cerebral thrombosis NOS,Cardiovascular diseases
cardiovascular,llt_name,Cerebral vascular disturbance,Cardiovascular diseases
cardiovascular,llt_name,Cerebral vascular disturbance (NOS),Cardiovascular diseases
cardiovascular,llt_name,Cerebral vascular lesion,Cardiovascular diseases
cardiovascular,llt_name,Cerebral vascular lesion (NOS),Cardiovascular diseases
cardiovascular,pt_name,Cerebral vascular occlusion,Cardiovascular diseases
cardiovascular,pt_name,Cerebral vasoconstriction,Cardiovascular diseases
cardiovascular,pt_name,Cerebral venous thrombosis,Cardiovascular diseases
cardiovascular,pt_name,Cerebral ventricular rupture,Cardiovascular diseases
cardiovascular,llt_name,"Cerebrovas disorders occurring in pregnancy, childbirth, or the puerperium, unspec as to eoc",Cardiovascular diseases
cardiovascular,pt_name,Cerebrovascular accident,Cardiovascular diseases
cardiovascular,llt_name,Cerebrovascular accident NOS,Cardiovascular diseases
cardiovascular,pt_name,Cerebrovascular accident prophylaxis,Cardiovascular diseases
cardiovascular,pt_name,Cerebrovascular disorder,Cardiovascular diseases
cardiovascular,llt_name,Cerebrovascular disorder (NOS),Cardiovascular diseases
cardiovascular,llt_name,Cerebrovascular disorder fetal,Cardiovascular diseases
cardiovascular,llt_name,Cerebrovascular disorder foetal,Cardiovascular diseases
cardiovascular,llt_name,Cerebrovascular disorder NOS,Cardiovascular diseases
