body_system,atc_code,reason_not_classified,terms
ANTITUSSIVES AND EXPECTORANTS,,not  class of interest,ANTITUSSIVES AND EXPECTORANTS| APRICOT KERNEL WATER
BLOOD SUBSTITUTES,,not  class of interest,ISOTONIC SODIUM CHLORIDE SOLUTION
COLD AND SINUS REMEDIES,,not  class of interest,*BROMPHENIRAMINE/*DEXBROMPHENIRAMINE MALEATE/*DEXTROMETHORPHAN/*OXYMETAZOLINE/*PSEUDOEPHEDRINE SULFATE| *CAFFEINE/*CHLORPHENAMINE/*CODEINE PHOSPHATE/PARACETAMOL/*PSEUDOEPHEDRINE| AMMONIA/POLYGALA SENEGA| ASCORBIC ACID/ATROPINE SULFATE/CAFFEINE/CHLORPHENAMINE/PARACETAMOL/PHENYLEPHRINE| CAMPHOR/ESSENTIAL OILS/EUCALYPTUS OIL/MENTHOL/*THYMOL| CHLORPHENAMINE/HYDROCODONE TARTRATE/PHENYLPROPANOLAMINE| CHLORPHENAMINE/PSEUDOEPHEDRINE/SCOPOLAMINE METHYL NITRATE| CHLORPHENIRAMINE MALEATE/DEXTROMETHORPHAN HYDROBROMIDE/PHENYLEPHRINE HYDROCHLORIDE| CODEINE PHOSPHATE/GUAIFENESIN/PSEUDOEPHEDRINE| CODEINE PHOSPHATE/PARACETAMOL/PSEUDOEPHEDRINE HYDROCHLORIDE
CONTRACEPTIVES,,not  class of interest,*ETHINYLESTRADIOL/*MESTRANOL/NORETHISTERONE| CONTRACEPTIVE NOS| ETHINYLESTRADIOL/FERROUS FUMARATE/NORETHISTERONE ACETATE| ETHINYLESTRADIOL/NORELGESTROMIN| ETHINYLESTRADIOL/NORETHISTERONE ACETATE| ETHINYLESTRADIOL/NORGESTIMATE| ETHINYLESTRADIOL/NORGESTREL| GESTODENE| INTRA-UTERINE CONTRACEPTIVE DEVICE| ORAL CONTRACEPTIVE NOS
COUGH PREPARATIONS,,not  class of interest,*CHLORPHENAMINE/*CODEINE PHOSPHATE/*EPHEDRINE HYDROCHLORIDE/*PHOLCODINE/*PROMETHAZINE| AMMONIUM CHLORIDE/DIPHENHYDRAMINE HYDROCHLORIDE| ANTIMONY POTASSIUM TARTRATE/LICORICE/OPIUM| CODEINE PHOSPHATE/GUAIFENESIN| CODEINE PHOSPHATE/PROMETHAZINE| COUGH PREPARATION NOS| ERYSIMUM/PHOLCODINE| GUAIFENESIN/HYDROCODONE TARTRATE/PHENYLEPHRINE| HYDROCODONE POLISTIREX/PHENYLTOLOXAMINE| PRIMULA/SULFOGAIACOL/THYME
DERMATICS FOR PURULENCE,,not  class of interest,BACITRACIN_FRADIOMYCIN SULFATE
EMOLLIENTS(INCLUDING CAUSTICS),,not  class of interest,SULFUR AND CAMPHOR LOTION
ENZYMES,,not  class of interest,DIGESTIVE ENZYME NOS
HEMATOPOIETIC STIMULANTS,,not  class of interest,EPOETIN NOS
LAXATIVES AND STOOL SOFTENERS,,not  class of interest,"*BASSORIN/*RHAMNUS FRANGULA/*STERCULIA| *CASSIA FISTULA/*CORIANDRUM SATIVUM/*GLYCYRRHIZA GLABRA/*MALUS SYLVESTRI/*PRUNE/*SENNA/TAMARINDUS INDICA| *CASSIA FISTULA/*MACROGOL/*SODIUM PICOSULFATE| ALOE VERA/CHAMOMILE/PIMPINELLA ANISUM/SENNA/SULFUR| LAXATIVES AND STOOL SOFTENERS| PLANTAGO OVATA/SENNA| PSYLLIUM HUSK| SODIUM PHOSPHATE, DIBASIC/SODIUM PHOSPHATE, MONOBASIC| STOOL SOFTENER NOS"
LOCAL ANESTHETICS,,not  class of interest,LIDOCAINE/PRILOCAINE HYDROCHLORIDE| LOCAL ANESTHETIC NOS| PRAMOCAINE HYDROCHLORIDE
MINERAL PREPARATIONS,,not  class of interest,L-ASPARTATE POTASSIUM| MINERAL PREPARATIONS| SODIUM FERROUS CITRATE
MISCELLANEOUS ANTIMICROBIALS,,not  class of interest,ANTIBIOTIC NOS| BACITRACIN ZINC/NEOMYCIN/POLYMYXIN B| BACITRACIN ZINC/POLYMYXIN B
MIXED VITAMIN PREPARATIONS (EXCEPT MIXED VITAMIN PREPARAT,,not  class of interest,MIXED VITAMIN PREPARATIONS (EXCEPT MIXED VITAMIN PREPARAT
MUCOLYTICS,,not  class of interest,TIMONACIC
MUSCLE RELAXANTS,,not  class of interest,CAFFEINE/CARISOPRODOL/DICLOFENAC SODIUM/PARACETAMOL| CAFFEINE/DIPYRONE/ORPHENADRINE CITRATE
NASAL PREPARATIONS,,not  class of interest,MACROGOL/PROPYLENE GLYCOL
OTHER AGENTS FOR EPIDERMIS,,not  class of interest,BUCLADESINE SODIUM| TRAFERMIN(GENETICAL RECOMBINATION)
OTHER AGENTS FOR URO-GENITAL AND ANAL ORGAN,,not  class of interest,OTHER AGENTS FOR URO-GENITAL AND ANAL ORGAN
OTHER AGENTS RELATING TO BLOOD AND BODY FLUIDES,,not  class of interest,OTHER AGENTS RELATING TO BLOOD AND BODY FLUIDES
OTHER ANTIALLERGIC AGENTS,,not  class of interest,CETIRIZINE HYDROCHLOERIDE| PRANLUKAST HYDRATE
OTHER CHEMOTHERAPEUTICS,,not  class of interest,SULFAMETHOXAZOLE:TRIMETHOPRIM
OTIC PREPARATIONS,,not  class of interest,CARBAMIDE PEROXIDE/GLYCEROL
PARASYMPATHOMIMETICS AND ANTIMYASTHENICS,,not  class of interest,CEVIMELINE HYDROCHLORIDE
PENICILLINS,,not  class of interest,AMOXICILLIN/CLAVULANATE POTASSIUM| AMOXICILLIN/CLAVULANIC ACID
PURGATIVES AND CLYSTERS,,not  class of interest,PURGATIVES AND CLYSTERS
QUINOLONE ANTIBIOTICS,,not  class of interest,PAZUFLOXACIN MESILATE
SCABICIDES AND PEDICULICIDES,,not  class of interest,SULFIRAM
SEX HORMONES,,not  class of interest,ALGESTONE ACETOPHENIDE/ESTRADIOL ENANTHATE| CALCIUM LEVOMEFOLATE/DROSPIRENONE/ETHINYL ESTRADIOL| CYPROTERONE ACETATE/ETHINYL ESTRADIOL| DIENOGEST/ESTRADIOL VALERATE| ESTRADIOL OR ESTRADIOL VALERATE| ESTRADIOL VALERATE/*LEVONORGESTREL/*NORGESTREL| ESTRADIOL VALERATE/LEVONORGESTREL| ESTRADIOL VALERATE/NORETHISTERONE ENANTATE| ESTRADIOL/ESTRIOL SUCCINATE| ESTRADIOL/NORETHISTERONE ACETATE
SOLVENTS,,not  class of interest,"WATER,PURIFIED"
SPERMICIDES,,not  class of interest,NONOXINOL 9| NONOXYNOL NOS| SPERMICIDES NOS
STOMACHICS AND DIGESTIVES,,not  class of interest,STOMACHICS AND DIGESTIVES
SULFONAMIDES,,not  class of interest,SULFACETAMIDE SODIUM/SULFUR
SULFONAMIDES AND TRIMETHOPRIM,,not  class of interest,SULFONAMIDE NOS
SUPPLEMENTS,,not  class of interest,*ALPHA-TOCOPHEROL/*APIUM GRAVEOLENS/*BIOFLAVONOIDS/*CALCIUM ASCORBATE/PROANTHOCYANIDINS| *ASCORBIC ACID/*BIOFLAVONOIDS/*CALCIUM ASCORBATE| *MULTIVITAMIN NOS/*PHOSPHATIDYL CHOLINE/*PHOSPHOLIPID| ACAI BERRY| ACETYLCYSTEINE/CAMELLIA SINENSIS/CURCUMIN/PICRORHIZA KURROA/SCHISANDRA CHINENSIS/SILYBUM MARIANUM| AMINO ACIDS/FIBRE NOS/MINERALS/MULTIVITAMIN NOS/ORYZA SATIVA| AMYLASE/BROMELAINS/CHYMOTRYPSIN/LIPASE/PANCREATIN/PAPAIN/RUTOSIDE/TRYPSIN| ASCORBIC ACID/BETAINE HYDROCHLORIDE/CYANOCOBALAMIN/FOLIC ACID/PYRIDOXINE HYDROCHLORIDE| BOSWELLIA/CHONDROITIN SULFATE/GLUCOSAMINE/PHELLODENDRON/SULFATE/URTICA/ZINGIBER OFFICINALE| BOTANICAL NOS/COLLAGEN TYPE II/ENZYME NOS/OREGANO
"VACCINES, TOXOIDS AND SEROLOGIC AGENTS",,not  class of interest,"ACELLULAR PERTUSSIS VACCINE/DIPHTHERIA VACCINE/TETANUS VACCINE| ALLERGENIC EXTRACTS| DIPHTHERIA VACCINE/TETANUS VACCINE| GLOBULIN, IMMUNE| HEPATITIS A VACCINE/HEPATITIS B VIRUS VACCINE INACTIVATED| HEPATITIS B VIRUS VACCINE INACTIVATED| MUMPS VACCINE| TETANUS VACCINE| VACCINES NOS| VARICELLA ZOSTER VACCINE"
VITAMIN B PREPARATIONS (EXCEPT VITAMIN B1),,not  class of interest,FLAVIN ADENINE DINUCLEOTIDE
VITAMIN E AND PREPARATIONS,,not  class of interest,TOCOPHEROL ACETATE
VITAMINS AND MINERALS,,not  class of interest,*ALPHA-TOCOPHEROL/*ASCORBIC ACID/*CUPRIC OXIDE/*LUTEIN/*MINERALS/*VITAMIN/*ZINC OXIDE| *ASCORBIC ACID/IRON/VITAMIN B COMPLEX| ADENOSINE TRIPHOSPHATE DISODIUM/ASCORBIC ACID/GLUTATHIONE/INOSITOL CALCIUM/THIAMINE| ALPHA-TOCOPHEROL| ALPHA-TOCOPHEROL/ASCORBIC ACID/CALCIUM/CALCIUM PANTOTHENATE/COLECALCIFEROL/CYANOCOBALAMIN/FOLIC ACID/IRON/NICOTINIC A...| ALPHA-TOCOPHEROL/ASCORBIC ACID/CALCIUM/COLECALCIFEROL/COPPER/*DEANOL BITARTRATE/FLUORIDE/GINSENG/IRON/MAGNESIUM/MANGA...| ALPHA-TOCOPHEROL/ASCORBIC ACID/CALCIUM/COLECALCIFEROL/COPPER/IODINE/IRON/MAGNESIUM/MANGANESE/MOLYBDENUM/NICOTINAMIDE/...| ALPHA-TOCOPHEROL/ASCORBIC ACID/COPPER/LUTEIN/ZINC| ALPHA-TOCOPHEROL/ASCORBIC ACID/COPPER/RETINOL/SELENIUM/ZINC| ALPHA-TOCOPHEROL/ASCORBIC ACID/CYANOCOBALAMIN/FERROUS FUMARATE/FOLIC ACID
BOTANICALS,,not a drug,ALLIUM SATIVUM/PETROSELINUM CRISPUM| BETULA/OLIVE LEAVES EXTRACT| BORAGO OFFICINALIS| BOTANICAL NOS| BOTANICAL NOS/CAFFEINE/CAMELLIA SINENSIS/GINSENG/GUARANA/MAGNESIUM/PRASTERONE/PYRIDOXINE/SCHISANDRA CHINENSIS/SCUTELL...| BRYONIA| CHAMOMILE| CHERRY| CINNAMOMUM ZEYLANICUM| CRANBERRY
CHINESE MEDICINES,,not a drug,DAIO-KANZO-TO| HOCHU-EKKI-TO| KEISHI-BUKURYO-GAN| SAIREI-TO| TOKISHAKUYAKUSAN| YOKUININ-TO
DRESSINGS AND APPLIANCES,,not a drug,BANDAGE| CORSET| HEARING AID| ORTHOPAEDIC APPLIANCE
"FLAVORING, ODOR IMPROVING AND COLORING AGENTS",,not a drug,SIMPLE SYRUP
FOOD & DRINK,,not a drug,FOOD NOS
GARGLES,,not a drug,AZULENE SULFONATE SODIUM
"HERBAL,HOMEOPATHIC,& DIETARY SUPPLEMENTS",,not a drug,"AESCULUS INDICA| ALOE/BLACK WALNUT/CASCARA SAGRADA/GRAPE/RHUBARB/RUMEX CRISPUS/SENNA/SLIPPERY ELM/VALERIAN| ASCORBIC ACID/CHONDROITIN SULFATE/GLUCOSAMINE HYDROCHLORIDE/MANGANESE/SODIUM NOS| ASTAXANTHIN| BIFIDOBACTERIUM/LACTOBACILLUS ACIDOPHILUS| BIFIDOBACTERIUM/LACTOBACILLUS ACIDOPHILUS/LACTOBACILLUS BULGARICUS/LACTOBACILLUS PARACASEI/LACTOBACILLUS PLANTARUM/STREPTOCOCCUS THERMOPHILUS| BIOFLAVONOIDS NOS| BONESET/CELLULOSE/LACTOBACILLUS SPOROGENES/LACTOSE/MALTODEXTRIN/MISTLETOE| CIMICIFUGA| CIMICIFUGA/HERBAL,HOMEOPATHIC,& DIETARY SUPPLEMENTS/VITAMINS AND MINERALS"
HOMEOPATHIC THERAPIES,,not a drug,HOMEOPATHIC THERAPY NOS| POTASH SULFURATED
INVESTIGATIONS,,not a drug,ARTHROSCOPY| ASPIRATION BURSA| ASPIRATION JOINT| BIOPSY| BIOPSY CERVIX| BIOPSY PLEURA| BIOPSY SKIN| BRONCHOSCOPY| CATHETERISATION CARDIAC| CHEST X-RAY
NON DRUG THERAPIES,,not a drug,CONTRACEPTIVE DEVICES| CORRECTIVE LENS USER| DIET AND FOODS| RESPIRATORY TREATMENTS AND DEVICES
PHARMACEUTIC AIDS,,not a drug,CARBOMER NOS| CARMELLOSE| CARMELLOSE/GLYCEROL| SILICON DIOXIDE| SODIUM CARBONATE| SODIUM HYALURONATE
SURGICAL & MEDICAL PROCEDURES,,not a drug,ABDOMINAL HERNIA REPAIR| ABSCESS DRAINAGE| ADENOIDECTOMY| ADRENALECTOMY| ANKLE OPERATION| AORTIC VALVE REPLACEMENT| APHERESIS| APPENDICECTOMY| ARTHRODESIS| BAKER'S CYST EXCISION
SURGICAL TREATMENTS,,not a drug,OTHER
THERAPEUTIC MICROBES,,not a drug,LACTOBACILLUS RHAMNOSUS| PROBIOTIC NOS| SACCHAROMYCES
"AGENTS AFFECTING METABOLISM,N.E.C.",,too broad,ALENDRONATE SODIUM HYDRATE| MIZORIBINE| SODIUM RISEDRONATE HYDRATE
CORTICOSTEROIDS,,too broad,BETAMETHASONE ACETATE/BETAMETHASONE SODIUM PHOSPHATE| BETAMETHASONE DIPROPIONATE/BETAMETHASONE SODIUM PHOSPHATE| BETAMETHASONE/BETAMETHASONE SODIUM PHOSPHATE| CORTICOSTEROID NOS| PREDNISOLONE SODIUM TETRAHYDROPHTHALATE| STEROID NOS| TRIAMCINOLONE HEXACETONIDE
DERMATOLOGIC AGENTS,,too broad,"CALAMINE/ZINC OXIDE| CALCIUM HYDROXIDE| CETOMACROGOL 1000/CETOSTEARYL ALCOHOL/LIQUID PARAFFIN/WHITE SOFT PARAFFIN| DERMATOLOGIC AGENT NOS| DERMATOLOGICAL AGENT NOS| HAMAMELIS| LIQUID PARAFFIN/WAX, EMULSIFYING/WHITE SOFT PARAFFIN| LOTION NOS| LUBRICANT| MENTHOL/ZINC OXIDE"
MISCELLANEOUS DRUGS,,too broad,*ALENDRONIC ACID/*HYALURONATE SODIUM| *AMPICILLIN/*AMPICILLIN SODIUM/*CAFFEINE/*CARISOPRODOL/*CHLORZOXAZONE/*PARACETAMOL/*THIAMINE| *ASCORBIC ACID/*CAFFEINE/*CHLORPHENAMINE/*PARACETAMOL/*PHENYLEPHRINE/*SALICYLAMIDE/*TRIAMCINOLONE ACETONIDE| *DEXTRIN/*GUAR GUM/*TRITICUM AESTIVUM| CHINESE MEDICINE NOS| HESPERIDIN| LEUKOTRIENE ANTAGONIST NOS| MENTHOL/METHYL SALICYLATE
MIXED HORMONE PREPARATIONS,,too broad,NORGESTREL_ETHINYLESTRADIOL
MONOCLONAL ANTIBODIES,,too broad,AMG 827 (INTERLEUKIN-17 RECEPTOR ANTAGONIST)| ANTI-INTERLEUKIN-17 MONOCLONAL ANTIBODY| BLINDED ANTI-CD IIA MONOCLONAL ANTIBODY| BLINDED ANTI-INTERLEUKIN-17 MONOCLONAL ANTIBODY| BLINDED ANTI-INTERLEUKIN-6 MONOCLONAL ANTIBODY| BLINDED MEDI-522| BLINDED NATALIZUMAB| LY2439821 (ANTI-IL-17 MAB)| MEDI-522
ORAL & DENTAL PREPARATIONS,,too broad,CALCIUM PANTOTHENATE/METESCULETOL| ELECTROLYTES/MACROGOL/MALIC ACID/SORBITOL
OTHER AGENTS AFFECTING DIGESTIVE ORGANS,,too broad,CEVIMELINE HYDROCHLORIDE HYDRATE
OTHER DRUGS,,too broad,OTHER
OTHER HORMONE PREPARATIONS(INCLUDING ANTIHORMONE PREPARAT,,too broad,INSULIN HUMAN(GENETICAL RECOMBINATION)| INSULIN LISPRO(GENETICAL RECOMBINATION)
STEROID/OTHER DRUG COMBINATIONS,,too broad,BETAMETHASONE/DEXCHLORPHENIRAMINE MALEATE
STEROIDS,,too broad,BETAMETHASONE DIPROPIONATE/BETAMETHASONE SODIUM PHOSPHATE| FORMOTEROL FUMARATE/MOMETASONE FUROATE| TRIAMCINOLONE HEXACETONIDE
PHARMACOTHERAPEUTIC CLASS NOT KNOWN,,unclassifiable in original,GENERIC UNKNOWN| INVESTIGATIONAL DRUG NOS
PHARMACOTHERAPEUTIC CLASS(ES) NOT KNOWN,,unclassifiable in original,CONTRACEPTIVE NOS| GENERIC COMPONENT(S) NOT KNOWN
MISCELLANEOUS GASTROINTESTINAL AGENTS,A,,*AMOBARBITAL/*BELLADONNA/*ERGOTAMINE/*PHLOROGLUCINOL/SIMETICONE| ALCHEMILLA VULGARIS/CINNAMOMUM ZEYLANICUM/EUCALYPTUS OIL/FENNEL OIL/GUAIAZULENE/MENTHA X PIPERITA/MENTHOL/MYRRH/PHENY...| ALVERINE CITRATE/SIMETHICONE| SILIBININ| SIMETHICONE| TIMONACIC
AGENTS FOR PEPTIC ULCER,A02,,AGENTS FOR PEPTIC ULCER| ECABET SODIUM| PLAUNOTOL| SODIUM ALGINATE| SODIUM AZULENE SULFONATE_L-GLUTAMINE| SODIUM RABEPRAZOLE
ANTACIDS,A02A,,ALGINIC ACID/*ALUMINUM HYDROXIDE/*CALCIUM CARBONATE/*MAGNESIUM CARBONATE/*MAGNESIUM HYDROXIDE/*MAGNESIUM TRISILICATE/...| ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE/SIMETICONE| ANTACID NOS
ANTACIDS NEC,A02A,,ALUMINUM HYDROXIDE/MAGNESIUM CARBONATE/SODIUM ALGINATE| ALUMINUM NOS| ANTACID NOS
CALCIUM COMPOUNDS AND PREPARATIONS,A02AC,,CALCIUM L-ASPARTATE
CALCIUM COMPOUNDS AND REGULATORS,A02AC,,*CALCIUM CARBONATE/*CALCIUM CITRATE/*CALCIUM GLUCONATE/*CALCIUM PHOSPHATE/*CALCIUM SACCHARATE| BORON/CALCIUM NOS/CHOLECALCIFEROL/COPPER/MAGNESIUM NOS/MANGANESE/ZINC NOS| CALCIUM CARBONATE/MINERALS| CALCIUM CARBONATE/VITAMIN D NOS| CALCIUM NOS| CALCIUM NOS/CHOLECALCIFEROL| CALCIUM NOS/GENERIC COMPONENT(S) NOT KNOWN| CALCIUM NOS/VITAMIN D NOS| CALCIUM/COLECALCIFEROL/COPPER/MAGNESIUM/MANGANESE/VITAMIN B COMPLEX/ZINC| CALCIUM/VITAMIN D NOS
ANTISPASMODICS AND ANTICHOLINERGICS,A03,,*PHLOROGLUCINOL/*TROSPIUM CHLORIDE| ADIPHENINE| ADIPHENINE HYDROCHLORIDE| ATROPINE SULFATE| BELLADONNA| CHLORDIAZEPOXIDE HYDROCHLORIDE/CLIDINIUM BROMIDE| DICYCLOMINE HYDROCHLORIDE| SCOPOLAMINE BUTYLBROMIDE
ANTIEMETICS NEC,A04,,MECLIZINE HYDROCHLORIDE
ANTIDIARRHEALS,A07D,,*ATROPINE SULFATE/*DIPHENOXYLATE/*LOPERAMIDE| ATROPINE SULFATE/DIPHENOXYLATE HYDROCHLORIDE
"ANTIDIARRHEALS, INTESTINAL REGULATORS",A07D,,"ANTIDIARRHEALS, INTESTINAL REGULATORS"
"ANTIPYRETICS, ANALGESICS AND ANTI-INFLAMMATORY AGENTS","A07E, M01",,ACTARIT| AMPIROXICAM| INDOMETACIN FARNESIL| LOBENZARIT DISODIUM| SODIUM CHONDROITIN SULFATE_SODIUM SALICYLATE
SALICYLATES,"A07EC, D02AF, N02BA",,*DIETHYLAMINE SALICYLATE/*METHYL NICOTINATE/*TROLAMINE SALICYLATE| ASPIRIN DL-LYSINE
ANTIDIABETIC AGENTS,A10,,BUFORMIN HYDROCHLORIDE
INSULINS,A10A,,"BIPHASIC ISOPHANE INSULIN| INSULIN (SUSPENSION), ISOPHANE| INSULIN HUMAN/NPH HUMAN INSULIN ISOPHANE SUSPENSION| INSULIN LISPRO/INSULIN LISPRO PROTAMINE| NEUTRAL INSULIN| NPH HUMAN INSULIN ISOPHANE SUSPENSION"
ANTICOAGULANTS,"B01AA, B01AB, B01AE, B01AX",,HEPARINOIDS
PLATELET AGGREGATION INHIBITORS,B01AC,,ASPIRIN DL-LYSINE
MISCELLANEOUS CARDIOVASCULAR AGENTS,C,,ISOSORBIDE NOS
OTHER CARDIOVASCULAR AGENTS,C,,LOMERIZINE HYDROCHLORIDE| TOCOPHEROL NICOTINATE
PERIPHERAL AND CEREBRAL VASCULAR AGENTS,C,,*BIOFLAVONOIDS/*DIOSMIN/*HESPERIDIN| ASCORBIC ACID/HESPERIDIN METHYL CHALCONE/KNEE HOLLY| ASCORBIC ACID/HESPERIDIN/RUSCUS ACULEATUS| BETACAROTENE/VACCINIUM MYRTILLUS| CO-DERGOCRINE MESILATE/LOMIFYLLINE| FLUNARIZINE HYDROCHLORIDE| GINKGO BILOBA/HEPTAMINOL/TROXERUTIN
ANTIANGINAL AGENTS,C01,,KHELLIN
ANTIANGINAL AGENTS NEC,C01,,HYDRALAZINE HYDROCHLORIDE/ISOSORBIDE DINITRATE
ANTIHYPERTENSIVE AGENTS,C02,,CHINESE MEDICINE NOS/CLONIDINE/HYDROCHLOROTHIAZIDE/RUTOSIDE| EPROSARTAN MESILATE/HYDROCHLOROTHIAZIDE| HYDROCHLOROTHIAZIDE/QUINAPRIL STUDY DRUG
ANTIHYPERTENSIVE AGENTS NEC,C02,,AMLODIPINE BESILATE/BENAZEPRIL HYDROCHLORIDE| AMLODIPINE BESILATE/LISINOPRIL| AMLODIPINE BESILATE/VALSARTAN| AMLODIPINE/BENAZEPRIL HYDROCHLORIDE| BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE| ENALAPRIL MALEATE/HYDROCHLOROTHIAZIDE| HYDROCHLOROTHIAZIDE/LOSARTAN POTASSIUM| HYDROCHLOROTHIAZIDE/METOPROLOL TARTRATE
DIURETICS,C03,,*AMILORIDE/*FUROSEMIDE/*HYDROCHLOROTHIAZIDE/*PAMABROM/*XIPAMIDE
DIURETICS NEC,C03,,AMILORIDE HYDROCHLORIDE/HYDROCHLOROTHIAZIDE
VASODILATORS,C04,,VERAPAMIL  HYDROCHLORIDE
ANTIHEMORRHOIDALS,C05A,,ANTIHEMORRHOIDALS| DIFLUCORTOLONE VALERATE_LIDOCAINE
BETA-ADRENOCEPTOR BLOCKING AGENTS,C07,,METOPROLOL NOS
LIPID REGULATING AGENTS,C10,,RED RICE YEAST| STATIN NOS/UNSATURATED FATTY ACIDS
ANTIFUNGAL AGENTS,D01,,AMOROLFINE HYDROCHLORIDE| OXICONAZOLE NITRATE
ANDROGENS AND ANABOLIC STEROIDS,G03B,,TESTOSTERONE CYPIONATE
ADRENAL HORMONE PREPARATIONS,H02,,ADRENAL HORMONE PREPARATIONS| PARAMETHASONE ACETATE
THYROID AND PARA-THYROID HORMONE PREPARATIONS,H03,,THYROID.DRIED
THYROID HORMONES,H03,,LEVOTHYROXINE/LIOTHYRONINE| LEVOTHYROXINE/POTASSIUM IODIDE| LIOTHYRONINE
AMINOGLYCOSIDE ANTIMICROBIALS,J01G,,NEOMYCIN SULFATE
ANTINEOPLASTIC AGENTS,L01,,ANTINEOPLASTIC AGENT NOS| BLINDED ANTI-LYMPHOTOXIN-BETA RECEPTOR ANTIBODIES| MATRIX METALLOPROTEINASE-INHIBITOR
IMMUNOSTIMULANTS,L03,,B LYMPHOCYTE STIMULATOR
CYTOKINES,"L03, L04",,ILODECAKIN
IMMUNOMODULATORS,"L03, L04",,ALLERGENIC EXTRACTS| BLINDED ANTI-TNF NOS| BLINDED K-832| BLINDED PRALNACASAN| BLINDED SCIO-469| CTLA-4-IMMUNOGLOBULIN| CTLA-4 ANTIBODY| IMMUNOTHERAPY NOS| MITOGEN ACTIVATED PROTEIN KINASE INHIBITOR NOS| TAK-715
IMMUNOSUPPRESSANTS,L04,,BLINDED JAK3 INHIBITOR| BLINDED TEMSIROLIMUS
TUMOUR NECROSIS FACTOR ANTAGONISTS,L04AB,,APRATASTAT| BLINDED ETANERCEPT| BLINDED INFLIXIMAB| TUMOUR NECROSIS FACTOR ANTIBODY NOS
ANTIRHEUMATIC & ANTI-INFLAMMATORIES NEC,M01,,CALCIUM GLUCONATE/CALCIUM NOS/GOLD NOS
ANTIRHEUMATIC AGENTS,M01,,*CAMPHOR/ILEX PARAGUENSIS/*ISOPROPYL ALCOHOL/*MENTHOL| ANTIRHEUMATIC AGENT NOS| BLINDED APRATASTAT| CHOLINE SALICYLATE/MAGNESIUM SALICYLATE| CIPEMASTAT| GOLD| MENTHOL/METHYL SALICYLATE
NON-STEROIDAL ANTI-INFLAMMATORIES,M01A,,*COX-2 INHIBITOR NOS/*NON-STEROIDAL ANTI-INFLAMMATORY NOS/*PLACEBO| CLONIXIN LYSINATE| CYANOCOBALAMIN/DICLOFENAC SODIUM/PYRIDOXINE HYDROCHLORIDE/THIAMINE HYDROCHLORIDE| DICLOFENAC EPOLAMINE| DICLOFENAC EPOLAMINE/DICLOFENAC SODIUM| DICLOFENAC SODIUM/LIDOCAINE HYDROCHLORIDE| DICLOFENAC SODIUM/MISOPROSTOL| DIPYRONE| ESOMEPRAZOLE MAGNESIUM/NAPROXEN
COX-2 INHIBITORS,M01AH,,BLINDED COX-2 INHIBITOR NOS| IGURATIMOD
