llt_code,pt_name
10000263,Skin abrasion
10000264,Skin abrasion
10000265,Skin abrasion
10000266,Skin abrasion
10000267,Premature separation of placenta
10000268,Petit mal epilepsy
10000269,Abscess
10000270,Rectal abscess
10000271,Abscess sweat gland
10000272,Abscess bacterial
10000273,Abscess bacterial
10000274,Bartholin's abscess
10000275,Breast abscess
10000276,Abscess drainage
10000277,Central nervous system abscess
10000278,Tooth abscess
10000279,Abscess drainage
10000280,Eye abscess
10000281,Penile abscess
10000282,Gingival abscess
10000283,Nasal abscess
10000284,Injection site abscess
10000285,Abscess intestinal
10000286,Renal abscess
10000287,Abscess
10000288,Anal abscess
10000289,Bartholin's abscess
10000290,Breast abscess
10000291,Breast abscess
10000292,Breast abscess
10000293,Breast abscess
10000294,Breast abscess
10000295,Abscess of external auditory meatus
10000296,Subcutaneous abscess
10000297,Abscess of eyelid
10000298,Abscess limb
10000299,Abscess intestinal
10000300,Liver abscess
10000301,Lung abscess
10000302,Lung abscess
10000303,Mediastinal abscess
10000304,Prostatic abscess
10000305,Abscess of salivary gland
10000306,Thymus abscess
10000307,Abscess limb
10000308,Vulval abscess
10000309,Subcutaneous abscess
10000310,Abscess drainage
10000311,Abscess oral
10000312,Tooth abscess
10000313,Perinephric abscess
10000314,Tooth abscess
10000315,Peritonsillar abscess
10000316,Pilonidal cyst
10000317,Abscess sterile
10000318,Abscess sweat gland
10000320,Subcutaneous abscess
10000321,Petit mal epilepsy
10000322,Congenital anomaly
10000323,Congenital absence of cranial vault
10000324,Anotia
10000325,Limb reduction defect
10000326,Amenorrhoea
10000327,Congenital muscle absence
10000328,Congenital salivary gland anomaly
10000329,Congenital absence of vertebra
10000330,Umbilical artery hypoplasia
10000331,Petit mal epilepsy
10000333,Areflexia
10000334,Areflexia
10000335,Gastrointestinal sounds abnormal
10000336,Limb reduction defect
10000337,Limb reduction defect
10000338,Areflexia
10000339,Areflexia
10000340,Abstains from alcohol
10000341,Substance abuse
10000342,Substance abuse
10000343,Dependence
10000344,Educational problem
10000345,Emotional disorder of childhood
10000346,Acalculia
10000347,Cholecystitis
10000348,Acanthamoeba infection
10000349,Acanthosis
10000350,Acanthosis nigricans
10000351,Acariasis
10000352,Acariasis
10000353,Acariasis
10000354,Acariasis
10000355,Akathisia
10000357,Alopecia
10000358,Accelerated hypertension
10000359,Precocious puberty
10000360,Precocious puberty
10000361,Accessory auricle
10000362,Accessory carpal bone
10000363,Accessory carpal bone
10000364,Accessory muscle
10000365,Accessory nerve disorder
10000367,Mammoplasty
10000368,Accessory salivary gland
10000369,Accident
10000370,Accident at home
10000371,Accident
10000372,Accident at work
10000373,Road traffic accident
10000374,Cerebrovascular accident
10000375,Accident at home
10000376,Road traffic accident
10000377,Accident
10000378,Accidental exposure to product
10000379,Accidental exposure to product
10000380,Injury
10000381,Accidental overdose
10000382,Accidental overdose
10000383,Accidental poisoning
10000384,Laceration
10000385,Accommodation disorder
10000386,Delayed dark adaptation
10000387,Accommodation disorder
10000388,Accommodation disorder
10000389,Accommodation disorder
10000390,Accommodation disorder
10000391,Accommodation disorder
10000392,Accommodation disorder
10000393,Strabismus
10000394,Completed suicide
10000395,Tooth deposit
10000396,Developmental hip dysplasia
10000397,Acetabulum fracture
10000398,Analgesic drug level
10000399,Analgesic drug level decreased
10000400,Analgesic drug level increased
10000401,Analgesic drug level increased
10000402,Analgesic drug level therapeutic
10000403,Blood ketone body
10000404,Blood ketone body present
10000405,Blood ketone body decreased
10000406,Blood ketone body increased
10000407,Blood ketone body increased
10000408,Blood ketone body decreased
10000409,Blood ketone body absent
10000410,Acetonaemia
10000411,Blood ketone body
10000412,Blood ketone body present
10000413,Ketoacidosis
10000414,Blood ketone body decreased
10000415,Blood ketone body increased
10000416,Blood ketone body increased
10000417,Blood ketone body absent
10000418,Acetonaemia
10000419,Ketonuria
10000420,Oesophageal achalasia
10000421,Cardiospasm
10000422,Oesophageal achalasia
10000423,Oesophageal achalasia
10000424,Pain
10000425,Chest pain
10000426,Breast pain
10000427,Testicular pain
10000428,Pain
10000429,Abdominal pain upper
10000430,Arthralgia
10000431,Pain in extremity
10000432,Tendonitis
10000433,Tendonitis
10000434,Tenotomy
10000435,Tendon injury
10000436,Hyporeflexia
10000437,Hyperreflexia
10000438,Tenoplasty
10000439,Tendon rupture
10000440,Tendon injury
10000441,Tendonitis
10000442,Tenosynovitis
10000443,Bursitis
10000444,Arthralgia
10000445,Arthralgia
10000446,Eye pain
10000447,Arthralgia
10000448,Pain in extremity
10000449,Arthralgia
10000450,Pain in extremity
10000451,Achlorhydria
10000452,Chondrodystrophy
10000453,Chondrodystrophy
10000454,Colour blindness
10000455,Achlorhydria
10000456,Acid base balance
10000457,Acid base balance abnormal
10000458,Acid base balance normal
10000459,Chemical burns of eye
10000460,Dyspepsia
10000461,Mycobacterium test
10000462,Mycobacterium test negative
10000463,Mycobacterium test positive
10000464,Dyspepsia
10000465,Chemical poisoning
10000466,Blood acid phosphatase
10000467,Blood acid phosphatase
10000468,Blood acid phosphatase abnormal
10000469,Blood acid phosphatase decreased
10000470,Blood acid phosphatase increased
10000471,Blood acid phosphatase increased
10000472,Blood acid phosphatase decreased
10000473,Blood acid phosphatase normal
10000474,Prostatic acid phosphatase increased
10000475,Prostatic acid phosphatase increased
10000476,Prostatic acid phosphatase decreased
10000477,Blood acid phosphatase increased
10000478,Blood acid phosphatase increased
10000479,Gastrooesophageal reflux disease
10000480,Acid base balance
10000481,Acid base balance abnormal
10000482,Acid base balance abnormal
10000483,Acid-base balance disorder mixed
10000484,Acid base balance normal
10000486,Acidosis
10000487,Metabolic acidosis
10000488,Diabetic ketoacidosis
10000489,Acidosis hyperchloraemic
10000490,Acidosis hyperchloraemic
10000491,Lactic acidosis
10000492,Metabolic acidosis
10000493,Acidosis
10000494,Renal tubular acidosis
10000495,Respiratory acidosis
10000496,Acne
10000498,Acne
10000499,Bromoderma
10000500,Acne
10000501,Acne conglobata
10000502,Acne cosmetica
10000503,Acne cystic
10000504,Dermatitis contact
10000505,Acne
10000506,Acne
10000507,Acne infantile
10000508,Acne
10000509,Acne infantile
10000510,Acne
10000511,Acne occupational
10000512,Acne
10000513,Acne pustular
10000514,Rosacea
10000515,Scar
10000516,Acne
10000517,Acne
10000518,Acne varioliformis
10000519,Acne
10000520,Dermatitis acneiform
10000521,Auditory nerve disorder
10000522,Acoustic neuroma
10000523,Acoustic neuroma
10000524,Acoustic neuroma removal
10000525,Acoustic stimulation tests
10000526,Acoustic stimulation tests abnormal
10000527,Acoustic stimulation tests normal
10000528,Deafness traumatic
10000529,Deafness traumatic
10000530,Acanthosis nigricans
10000531,Acquired afibrinogenaemia
10000532,Ovarian atrophy
10000533,Acquired cardiac septal defect
10000534,Coagulation factor deficiency
10000535,Colour blindness acquired
10000536,Ear deformity acquired
10000537,Limb deformity
10000538,Hip deformity
10000539,Limb deformity
10000540,Foot deformity
10000541,Deformity thorax
10000542,Limb deformity
10000543,Neck deformity
10000544,Nose deformity
10000545,Pelvic deformity
10000547,Foot deformity
10000548,Haemangioma
10000549,Haemolytic anaemia
10000550,Haemolytic anaemia
10000551,Haemolytic anaemia
10000552,Haemangioma
10000553,Haemolytic anaemia
10000554,Haemolytic anaemia
10000555,Acquired hydrocele
10000556,Obstruction gastric
10000557,Immunodeficiency common variable
10000558,Immunodeficiency common variable
10000559,Hypothyroidism
10000560,Hypothyroidism
10000561,Ichthyosis acquired
10000562,Acquired immunodeficiency syndrome
10000563,Acquired immunodeficiency syndrome
10000564,Acquired immunodeficiency syndrome
10000565,Acquired immunodeficiency syndrome
10000566,Acquired immunodeficiency syndrome
10000567,AIDS related complex
10000568,Hyperkeratosis
10000569,Megacolon
10000570,Methaemoglobinaemia
10000571,Musculoskeletal disorder
10000572,Musculoskeletal disorder
10000573,Night blindness
10000574,Sideroblastic anaemia
10000575,Spondylolisthesis
10000576,Ear canal stenosis
10000577,Ear canal stenosis
10000578,Ear canal stenosis postoperative
10000579,Ear canal stenosis traumatic
10000580,Ear canal stenosis
10000581,Thrombasthenia
10000582,Acquired tracheo-oesophageal fistula
10000583,Acral lentiginous melanoma
10000584,Malignant melanoma in situ
10000585,Acral lentiginous melanoma stage I
10000586,Acral lentiginous melanoma stage II
10000587,Acral lentiginous melanoma stage III
10000588,Acral lentiginous melanoma stage IV
10000589,Acral lentiginous melanoma
10000590,Apert's syndrome
10000591,Acrochordon
10000592,Cyanosis
10000593,Dermatitis
10000594,Acrodermatitis chronica atrophicans
10000595,Pustular psoriasis
10000596,Acrodermatitis enteropathica
10000597,Acrodermatitis enteropathica
10000598,Acrodynia
10000599,Acromegaly
10000600,Acromegaly
10000601,Ligament sprain
10000602,Ligament sprain
10000603,Osteolysis
10000604,Paraesthesia
10000605,Acrophobia
10000606,Systemic scleroderma
10000607,Blood corticotrophin
10000608,Blood corticotrophin abnormal
10000609,Blood corticotrophin decreased
10000610,Blood corticotrophin decreased
10000611,Blood corticotrophin increased
10000612,Blood corticotrophin normal
10000613,ACTH-producing pituitary tumour
10000614,Actinic keratosis
10000615,Solar lentigo
10000616,Actinic prurigo
10000617,Chronic actinic dermatitis
10000618,Chronic actinic dermatitis
10000619,Actinomycosis
10000620,Actinomycosis
10000621,Actinomycotic abdominal infection
10000622,Actinomycosis
10000623,Actinomycosis
10000624,Actinomycosis
10000625,Actinomycotic skin infection
10000626,Actinomycosis
10000628,Actinomycotic pulmonary infection
10000629,Actinomycotic skin infection
10000630,Activated partial thromboplastin time
10000631,Activated partial thromboplastin time abnormal
10000632,Activated partial thromboplastin time abnormal
10000633,Activated partial thromboplastin time shortened
10000634,Activated partial thromboplastin time prolonged
10000635,Activated partial thromboplastin time normal
10000636,Activated partial thromboplastin time prolonged
10000637,Activated partial thromboplastin time shortened
10000638,Enteritis
10000639,Immunisation
10000640,Meniere's disease
10000641,Meniere's disease
10000642,Meniere's disease
10000643,Rickets
10000644,Psychomotor hyperactivity
10000645,Hypokinesia
10000646,Acupuncture
10000647,Acute abdomen
10000648,Cholecystitis acute
10000649,Hepatitis alcoholic
10000650,Alcohol poisoning
10000651,Alcohol poisoning
10000652,Alcohol poisoning
10000653,Alcohol poisoning
10000654,Alcohol poisoning
10000655,Allergic otitis media
10000656,Hypersensitivity
10000657,Allergic otitis media
10000658,Allergic otitis media
10000659,Urticaria
10000660,Amoebic dysentery
10000661,Amoebic dysentery
10000662,Anaphylactic reaction
10000663,Anaphylactic reaction
10000664,Anaphylactic reaction
10000665,Acute endocarditis
10000666,Acute endocarditis
10000667,Endocarditis bacterial
10000668,Iridocyclitis
10000669,Iridocyclitis
10000670,Hepatic necrosis
10000671,Inflammation of lacrimal passage
10000672,Angioedema
10000673,Angle closure glaucoma
10000674,Angle closure glaucoma
10000675,Poliomyelitis
10000676,Periodontitis
10000677,Appendicitis
10000678,Peritonitis
10000679,Peritoneal abscess
10000680,Appendicitis
10000681,Conjunctivitis allergic
10000682,Back injury
10000683,Back pain
10000684,Anorectal infection bacterial
10000685,Delirium
10000686,Bronchiolitis
10000687,Bronchitis
10000688,Bronchitis
10000689,Dacryocanaliculitis
10000690,Neck pain
10000691,Cholecystitis acute
10000692,Circulatory collapse
10000693,Confusional state
10000694,Confusional state
10000695,Conjunctivitis
10000696,Conjunctivitis
10000697,Cor pulmonale acute
10000698,Cystitis
10000699,Cystitis
10000700,Dacryoadenitis acquired
10000701,Dacryocystitis
10000702,Delirium
10000703,Acute psychosis
10000704,Hepatic function abnormal
10000705,Solar dermatitis
10000706,Diarrhoea
10000707,Glomerulonephritis proliferative
10000708,Gastric dilatation
10000709,Acute disseminated encephalomyelitis
10000710,Diverticular perforation
10000711,Duodenal ulcer
10000712,Duodenal ulcer haemorrhage
10000713,Duodenal ulcer perforation
10000714,Duodenal ulcer haemorrhage
10000715,Duodenal ulcer perforation
10000716,Duodenal ulcer perforation
10000717,Duodenal ulcer perforation
10000718,Duodenal ulcer haemorrhage
10000719,Duodenal ulcer haemorrhage
10000720,Duodenal ulcer perforation
10000721,"Duodenal ulcer perforation, obstructive"
10000722,Duodenal ulcer perforation
10000723,Duodenal ulcer
10000724,Duodenal ulcer
10000725,"Duodenal ulcer, obstructive"
10000726,Duodenal ulcer
10000727,Dyskinesia
10000728,Acute pulmonary oedema
10000729,Acute endocarditis
10000730,Endophthalmitis
10000731,Orchitis
10000732,Epiglottitis
10000733,Epiglottitis obstructive
10000734,Epiglottitis
10000735,Erythroleukaemia
10000736,Erythroleukaemia
10000737,Erythraemic myelosis (in remission)
10000738,Erythroleukaemia
10000739,Erythroleukaemia
10000740,Erythroleukaemia
10000741,Acute sinusitis
10000742,Otosalpingitis
10000743,Bronchitis
10000744,Bronchitis
10000745,Acute fatty liver of pregnancy
10000746,Acute fatty liver of pregnancy
10000747,Kawasaki's disease
10000748,Acute febrile neutrophilic dermatosis
10000749,Conjunctivitis
10000750,Acute sinusitis
10000751,Hepatitis fulminant
10000752,Gastritis erosive
10000753,Gastric mucosal lesion
10000754,Gastric ulcer haemorrhage
10000755,Gastric ulcer perforation
10000756,Gastric ulcer haemorrhage
10000757,Gastric ulcer perforation
10000758,Gastric ulcer perforation
10000759,Gastric ulcer perforation
10000760,"Gastric ulcer haemorrhage, obstructive"
10000761,Gastric ulcer haemorrhage
10000762,Gastric ulcer perforation
10000763,"Gastric ulcer perforation, obstructive"
10000764,Gastric ulcer perforation
10000765,Gastric ulcer
10000766,Gastric ulcer
10000767,"Gastric ulcer, obstructive"
10000768,Gastric ulcer
10000769,Gastritis
10000770,Gastritis haemorrhagic
10000771,Gastritis
10000772,Anastomotic ulcer
10000773,Anastomotic ulcer haemorrhage
10000774,Anastomotic ulcer perforation
10000775,Anastomotic ulcer haemorrhage
10000776,Anastomotic ulcer perforation
10000777,Anastomotic ulcer perforation
10000778,Anastomotic ulcer perforation
10000779,Anastomotic ulcer haemorrhage
10000780,Anastomotic ulcer perforation
10000781,Anastomotic ulcer perforation
10000782,Anastomotic ulcer perforation
10000783,Anastomotic ulcer
10000784,Anastomotic ulcer
10000785,"Anastomotic ulcer, obstructive"
10000786,Anastomotic ulcer haemorrhage
10000787,Gingivitis
10000788,Glomerulonephritis acute
10000789,Glomerulonephritis acute
10000790,Glomerulonephritis acute
10000791,Glomerulonephritis rapidly progressive
10000792,Glomerulonephritis acute
10000793,Glomerulonephritis acute
10000794,Glomerulonephritis acute
10000795,Cervicitis gonococcal
10000796,Endometritis gonococcal
10000797,Genitourinary tract gonococcal infection
10000798,Genitourinary tract gonococcal infection
10000799,Salpingitis gonococcal
10000800,Urethritis gonococcal
10000801,Acute myeloid leukaemia
10000802,Acute graft versus host disease
10000803,Cardiac failure acute
10000804,Acute hepatic failure
10000805,Hepatitis A
10000806,Histoplasmosis
10000807,Acute HIV infection
10000808,Acute HIV infection
10000809,Pericarditis
10000810,Otitis externa
10000811,Acute HIV infection
10000812,Pericarditis infective
10000813,Guillain-Barre syndrome
10000814,Parophthalmia
10000815,Parophthalmia
10000816,Inner ear inflammation
10000817,Uterine inflammation
10000818,Porphyria acute
10000819,Tubulointerstitial nephritis
10000820,Colitis ischaemic
10000821,Acute kidney injury
10000822,Kidney infection
10000823,Laryngitis
10000824,Tracheitis
10000825,Tracheitis
10000826,Pharyngitis
10000827,Tracheitis
10000828,Laryngotracheitis obstructive
10000829,Tracheitis
10000830,Acute leukaemia
10000831,Acute leukaemia
10000832,Acute leukaemia in remission
10000833,Acute leukaemia
10000834,Acute leukaemia
10000835,Acute leukaemia
10000836,Acute leukaemia
10000837,Acute leukaemia in remission
10000838,Acute leukaemia
10000839,Acute leukaemia
10000840,Liver injury
10000841,Lymphadenitis
10000842,Acute lymphocytic leukaemia
10000843,Acute lymphocytic leukaemia
10000844,Acute lymphocytic leukaemia
10000845,Acute lymphocytic leukaemia
10000846,Acute lymphocytic leukaemia
10000847,Acute lymphocytic leukaemia (in remission)
10000848,Acute lymphocytic leukaemia
10000849,Acute lymphocytic leukaemia
10000850,Acute lymphocytic leukaemia (in remission)
10000851,Acute lymphocytic leukaemia
10000852,Mania
10000853,Pulmonary embolism
10000854,Mastitis
10000855,Mastoiditis
10000856,Mastoiditis
10000857,Mastoiditis
10000858,Acute sinusitis
10000859,Acute megakaryocytic leukaemia
10000860,Acute megakaryocytic leukaemia
10000861,Acute megakaryocytic leukaemia
10000862,Disseminated tuberculosis
10000863,Disseminated tuberculosis
10000864,Disseminated tuberculosis
10000865,Disseminated tuberculosis
10000866,Disseminated tuberculosis
10000867,Disseminated tuberculosis
10000868,Disseminated tuberculosis
10000869,Disseminated tuberculosis
10000870,Acute monocytic leukaemia
10000871,Acute monocytic leukaemia
10000872,Acute monocytic leukaemia (in remission)
10000873,Acute monocytic leukaemia
10000874,Acute monocytic leukaemia (in remission)
10000875,Acute monocytic leukaemia
10000876,Hypobarism
10000877,Otitis media acute
10000878,Acute myeloid leukaemia
10000879,Myelofibrosis
10000880,Acute myeloid leukaemia
10000881,Acute myeloid leukaemia (in remission)
10000882,Acute myeloid leukaemia
10000883,Acute myeloid leukaemia
10000884,Acute myeloid leukaemia
10000885,Acute myeloid leukaemia
10000886,Acute myeloid leukaemia
10000887,Acute myeloid leukaemia (in remission)
10000888,Acute myeloid leukaemia
10000889,Acute myeloid leukaemia
10000890,Acute myelomonocytic leukaemia
10000891,Acute myocardial infarction
10000892,Acute myocardial infarction
10000893,Acute myocardial infarction
10000894,Acute myocardial infarction
10000895,Acute myocardial infarction
10000896,Acute myocardial infarction
10000897,Acute myocardial infarction
10000898,Acute myocardial infarction
10000899,Acute myocardial infarction
10000900,Acute myocardial infarction
10000901,Acute myocardial infarction
10000902,Acute myocardial infarction
10000903,Acute myocardial infarction
10000904,Acute myocardial infarction
10000905,Acute myocardial infarction
10000906,Acute myocardial infarction
10000907,Acute myocardial infarction
10000908,Acute myocardial infarction
10000909,Acute myocardial infarction
10000910,Acute myocardial infarction
10000911,Acute myocardial infarction
10000912,Acute myocardial infarction
10000913,Acute myocardial infarction
10000914,Acute myocardial infarction
10000915,Acute myocardial infarction
10000916,Acute myocardial infarction
10000917,Acute myocardial infarction
10000918,Acute myocardial infarction
10000919,Acute myocardial infarction
10000920,Acute myocardial infarction
10000921,Acute myocardial infarction
10000922,Acute myocardial infarction
10000923,Acute myocardial infarction
10000924,Acute myocardial infarction
10000925,Acute myocardial infarction
10000926,Acute myocardial infarction
10000927,Acute myocardial infarction
10000928,Acute myocardial infarction
10000929,Acute myocardial infarction
10000930,Acute myocardial infarction
10000931,Acute myocardial infarction
10000932,Myocarditis
10000933,Myocarditis
10000934,Myocarditis
10000935,Myringitis
10000936,Myringitis
10000937,Nasopharyngitis
10000938,Nasopharyngitis
10000939,Nephritic syndrome
10000940,Nephritis
10000941,Poliomyelitis
10000942,Poliomyelitis
10000943,Poliomyelitis
10000944,Poliomyelitis
10000945,Poliomyelitis
10000946,Otitis media acute
10000947,Otitis media acute
10000948,Acute pulmonary oedema
10000949,Lip oedema
10000950,Bronchitis
10000951,Gastrointestinal haemorrhage
10000952,Acute kidney injury
10000953,Acute respiratory failure
10000954,Confusional state
10000955,Hepatitis C
10000956,Hepatitis C
10000957,Peritonitis
10000958,Acute psychosis
10000959,Osteomyelitis acute
10000960,Osteomyelitis acute
10000961,Osteomyelitis acute
10000962,Osteomyelitis acute
10000963,Osteomyelitis acute
10000964,Osteomyelitis acute
10000965,Osteomyelitis acute
10000966,Osteomyelitis acute
10000967,Osteomyelitis acute
10000968,Osteomyelitis acute
10000969,Osteomyelitis acute
10000970,Pulmonary embolism
10000971,Pancreatitis acute
10000972,Renal papillary necrosis
10000973,Bulbar poliomyelitis
10000974,Bulbar poliomyelitis
10000975,Bulbar poliomyelitis
10000976,Bulbar poliomyelitis
10000977,Bulbar poliomyelitis
10000978,Parametritis
10000979,Paranoia
10000980,Paraplegia
10000981,Peptic ulcer haemorrhage
10000982,Peptic ulcer perforation
10000983,Peptic ulcer haemorrhage
10000984,Peptic ulcer perforation
10000985,Peptic ulcer perforation
10000986,Peptic ulcer perforation
10000987,Peptic ulcer haemorrhage
10000988,Peptic ulcer haemorrhage
10000989,Peptic ulcer perforation
10000990,"Peptic ulcer perforation, obstructive"
10000991,Peptic ulcer perforation
10000992,Peptic ulcer
10000993,Peptic ulcer
10000994,"Peptic ulcer, obstructive"
10000995,Peptic ulcer
10000996,Pericarditis
10000997,Pericarditis
10000998,Pericarditis
10000999,Perichondritis
10001000,Periodontitis
10001001,Petrositis
10001002,Pharyngitis
10001003,Poliomyelitis
10001004,Poliomyelitis
10001005,Poliomyelitis
10001006,Poliomyelitis
10001007,Poliomyelitis
10001008,Poliomyelitis
10001009,Poliomyelitis
10001010,Poliomyelitis
10001011,Poliomyelitis
10001012,Poliomyelitis
10001013,Poliomyelitis
