decision,route,selected_code,str
by_route,nasal,R01,beclometasone in topical dosage form
by_route,nasal,R01,beclomethasone
by_route,nasal,R01,beclomethasone [chemical/ingredient]
by_route,nasal,R01,beclomethasone in topical dosage form
by_route,nasal,R01,beclomethasone nasal
by_route,nasal,R01,beclovent
by_route,nasal,R01,becodisk
by_route,nasal,R01,becodisks
by_route,nasal,R01,beconase
by_route,nasal,R01,becotide
by_route,nasal,R01,ecobec
by_route,nasal,R01,filair
by_route,nasal,R01,filair forte
by_route,nasal,R01,nasal beclomethasone
by_route,nasal,R01,nasobec aqueous
by_route,nasal,R01,"pregna-1,4-diene-3,20-dione, 9-chloro-11,17,21-trihydroxy-16-methyl-, (11beta,16beta)-"
by_route,nasal,R01,product containing beclometasone
by_route,nasal,R01,product containing beclometasone (medicinal product)
by_route,nasal,R01,product containing beclometasone in topical dosage form
by_route,nasal,R01,product containing beclomethasone
by_route,nasal,R01,product containing beclomethasone in topical dosage form
by_route,nasal,R01,prolair
by_route,nasal,R01,propaderm
by_route,nasal,R01,propaderm a
by_route,nasal,R01,propaderm c
by_route,nasal,R01,qnasl
by_route,nasal,R01,qvar
by_route,nasal,R01,respocort
by_route,nasal,R01,sanasthmyl
by_route,nasal,R01,vancenase
by_route,nasal,R01,vanceril
by_route,nasal,R01,ventolair
by_route,nasal,R01,beclomet diprop
by_route,nasal,R01,clipper
by_route,nasal,R01,nasobec aq
by_route,nasal,R01,nasobec hayfever
by_route,nasal,R01,becloaqua
by_route,nasal,R01,vivabec
by_route,nasal,R01,care
by_route,nasal,R01,pollenase
by_route,nasal,R01,rino clenil
by_route,nasal,R01,numark
by_route,nasal,R01,beclomet hayfever
by_route,nasal,R01,gppe inha
by_route,nasal,R01,gppe pdr for inh cap
by_route,nasal,R01,beclomet diprop/formoterol
by_route,nasal,R01,beclomet/formoterol
by_route,nasal,R01,ventide
by_route,nasal,R01,aerobec fte
by_route,nasal,R01,filair fte
by_route,nasal,R01,asmabec clickhaler
by_route,nasal,R01,pulvinal beclomet
by_route,nasal,R01,easyhaler
by_route,nasal,R01,clenil modulite
by_route,nasal,R01,fostair
by_route,nasal,R01,fostair nexthaler
by_route,inhaled,R03,aerobec
by_route,inhaled,R03,aerobec forte
by_route,inhaled,R03,beclazone
by_route,inhaled,R03,beclazone easi-breathe
by_route,inhaled,R03,beclazone easy breathe
by_route,inhaled,R03,beclo-aqua 50
by_route,inhaled,R03,becloforte
by_route,inhaled,R03,beclometasone (substance)
by_route,inhaled,R03,beclometasone in topical dosage form
by_route,inhaled,R03,beclomethasone
by_route,inhaled,R03,beclomethasone [chemical/ingredient]
by_route,inhaled,R03,beclomethasone in topical dosage form
by_route,inhaled,R03,beclomethasone nasal
by_route,inhaled,R03,beclovent
by_route,inhaled,R03,becodisk
by_route,inhaled,R03,becodisks
by_route,inhaled,R03,beconase
by_route,inhaled,R03,becotide
by_route,inhaled,R03,ecobec
by_route,inhaled,R03,filair
by_route,inhaled,R03,filair forte
by_route,inhaled,R03,nasal beclomethasone
by_route,inhaled,R03,nasobec aqueous
by_route,inhaled,R03,"pregna-1,4-diene-3,20-dione, 9-chloro-11,17,21-trihydroxy-16-methyl-, (11beta,16beta)-"
by_route,inhaled,R03,product containing beclometasone
by_route,inhaled,R03,product containing beclometasone (medicinal product)
by_route,inhaled,R03,product containing beclometasone in topical dosage form
by_route,inhaled,R03,product containing beclomethasone
by_route,inhaled,R03,product containing beclomethasone in topical dosage form
by_route,inhaled,R03,prolair
by_route,inhaled,R03,propaderm
by_route,inhaled,R03,propaderm a
by_route,inhaled,R03,propaderm c
by_route,inhaled,R03,qnasl
by_route,inhaled,R03,qvar
by_route,inhaled,R03,respocort
by_route,inhaled,R03,sanasthmyl
by_route,inhaled,R03,vancenase
by_route,inhaled,R03,vanceril
by_route,inhaled,R03,ventolair
by_route,inhaled,R03,beclomet diprop
by_route,inhaled,R03,clipper
by_route,inhaled,R03,nasobec aq
by_route,inhaled,R03,nasobec hayfever
by_route,inhaled,R03,becloaqua
by_route,inhaled,R03,vivabec
by_route,inhaled,R03,care
by_route,inhaled,R03,pollenase
by_route,inhaled,R03,rino clenil
by_route,inhaled,R03,numark
by_route,inhaled,R03,beclomet hayfever
by_route,inhaled,R03,gppe inha
by_route,inhaled,R03,gppe pdr for inh cap
by_route,inhaled,R03,beclomet diprop/formoterol
by_route,inhaled,R03,beclomet/formoterol
by_route,inhaled,R03,ventide
by_route,inhaled,R03,aerobec fte
by_route,inhaled,R03,filair fte
by_route,inhaled,R03,asmabec clickhaler
by_route,inhaled,R03,pulvinal beclomet
by_route,inhaled,R03,easyhaler
by_route,inhaled,R03,clenil modulite
by_route,inhaled,R03,fostair
by_route,inhaled,R03,fostair nexthaler
by_route,eye,S01,"16beta-methyl-1,4-pregnadiene-9alpha-fluoro-11beta,17alpha,21-triol-3,20-dione"
by_route,eye,S01,"16β-methyl-1,4-pregnadiene-9α-fluoro-11β,17α,21-triol-3,20-dione"
by_route,eye,S01,9-fluoro-16beta-methylprednisolone
by_route,eye,S01,9-fluoro-16β-methylprednisolone
by_route,eye,S01,9α-fluoro-16β-methylprednisolone
by_route,eye,S01,9alpha-fluoro-16beta-methylprednisolone
by_route,eye,S01,adbeon
by_route,eye,S01,alphatrex
by_route,eye,S01,beta-methasone alcohol
by_route,eye,S01,beta-val
by_route,eye,S01,betaderm
by_route,eye,S01,betadexamethasone
by_route,eye,S01,betagen brand of betamethasone and gentamicin
by_route,eye,S01,betametasona
by_route,eye,S01,betamethacot
by_route,eye,S01,betamethasone-calcipotriene topical
by_route,eye,S01,betamethasone-clotrimazole topical
by_route,eye,S01,betamethasone (substance)
by_route,eye,S01,betamethasone [chemical/ingredient]
by_route,eye,S01,betamethasone in oral dosage form
by_route,eye,S01,betamethasone in topical dosage form
by_route,eye,S01,betamethasone preparation
by_route,eye,S01,betamethasone topical
by_route,eye,S01,betamethasonum
by_route,eye,S01,betamethasonvalerat mikron
by_route,eye,S01,betanate
by_route,eye,S01,betastat
by_route,eye,S01,betatrex
by_route,eye,S01,betavet
by_route,eye,S01,betnelan
by_route,eye,S01,betnesol
by_route,eye,S01,betnovate
by_route,eye,S01,betnovate rd
by_route,eye,S01,celestone
by_route,eye,S01,celestone phosphate
by_route,eye,S01,celestone soluspan
by_route,eye,S01,cell-u-jec
by_route,eye,S01,daivobet
by_route,eye,S01,del-beta
by_route,eye,S01,detamethasone
by_route,eye,S01,diprolene
by_route,eye,S01,diprosone
by_route,eye,S01,dovobet
by_route,eye,S01,enstilar
by_route,eye,S01,flubenisolone
by_route,eye,S01,genone
by_route,eye,S01,gentacalm
by_route,eye,S01,gentaotic
by_route,eye,S01,gentaspray
by_route,eye,S01,gentaved
by_route,eye,S01,lotrisone
by_route,eye,S01,luxiq
by_route,eye,S01,malotic
by_route,eye,S01,maxivate
by_route,eye,S01,otomax
by_route,eye,S01,"pregna-1,4-diene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-16-methyl-, (11beta,16beta)-"
by_route,eye,S01,product containing betamethasone
by_route,eye,S01,product containing betamethasone (medicinal product)
by_route,eye,S01,product containing betamethasone in oral dosage form
by_route,eye,S01,product containing betamethasone in topical dosage form
by_route,eye,S01,relifor
by_route,eye,S01,remicin
by_route,eye,S01,selestoject
by_route,eye,S01,sernivo
by_route,eye,S01,sone-4
by_route,eye,S01,taclonex
by_route,eye,S01,teladar
by_route,eye,S01,tri-otic for canines
by_route,eye,S01,uticort
by_route,eye,S01,valisone
by_route,eye,S01,vetromax
by_route,eye,S01,vista-methasone
by_route,eye,S01,betameth diprop
by_route,eye,S01,betameth diprop/salic acid
by_route,eye,S01,betameth/salic acid
by_route,eye,S01,betameth diprop/clotrimazole
by_route,eye,S01,coal tar
by_route,eye,S01,diprosalic
by_route,eye,S01,lotriderm
by_route,eye,S01,betameth val
by_route,eye,S01,betameth
by_route,eye,S01,betameth val/clioquinol
by_route,eye,S01,betameth val/neomycin sulf
by_route,eye,S01,betameth val/fusidic acid
by_route,eye,S01,coal tarsoln
by_route,eye,S01,betameth val oint
by_route,eye,S01,betameth val crm
by_route,eye,S01,coal tar soln
by_route,eye,S01,coaltarsoln
by_route,eye,S01,betameth val/salic acid
by_route,eye,S01,coaltar
by_route,eye,S01,betnovate-c
by_route,eye,S01,betnovate-n
by_route,eye,S01,fucibet
by_route,eye,S01,betacap
by_route,eye,S01,bettamousse
by_route,eye,S01,betesil
by_route,eye,S01,audavate rd
by_route,eye,S01,audavate
by_route,eye,S01,xemacort
by_route,eye,S01,betameth sod phos
by_route,eye,S01,gppe eye oint
by_route,eye,S01,betnesol-n
by_route,eye,S01,vistamethasone
by_route,inhaled,R03,"16beta-methyl-1,4-pregnadiene-9alpha-fluoro-11beta,17alpha,21-triol-3,20-dione"
by_route,inhaled,R03,"16β-methyl-1,4-pregnadiene-9α-fluoro-11β,17α,21-triol-3,20-dione"
by_route,inhaled,R03,9-fluoro-16beta-methylprednisolone
by_route,inhaled,R03,9-fluoro-16β-methylprednisolone
by_route,inhaled,R03,9α-fluoro-16β-methylprednisolone
by_route,inhaled,R03,9alpha-fluoro-16beta-methylprednisolone
by_route,inhaled,R03,adbeon
by_route,inhaled,R03,alphatrex
by_route,inhaled,R03,beta-methasone alcohol
by_route,inhaled,R03,beta-val
by_route,inhaled,R03,betaderm
by_route,inhaled,R03,betadexamethasone
by_route,inhaled,R03,betagen brand of betamethasone and gentamicin
by_route,inhaled,R03,betametasona
by_route,inhaled,R03,betamethacot
by_route,inhaled,R03,betamethasone-calcipotriene topical
by_route,inhaled,R03,betamethasone-clotrimazole topical
by_route,inhaled,R03,betamethasone (substance)
by_route,inhaled,R03,betamethasone [chemical/ingredient]
by_route,inhaled,R03,betamethasone in oral dosage form
by_route,inhaled,R03,betamethasone in topical dosage form
by_route,inhaled,R03,betamethasone preparation
by_route,inhaled,R03,betamethasone topical
by_route,inhaled,R03,betamethasonum
by_route,inhaled,R03,betamethasonvalerat mikron
by_route,inhaled,R03,betanate
by_route,inhaled,R03,betastat
by_route,inhaled,R03,betatrex
by_route,inhaled,R03,betavet
by_route,inhaled,R03,betnelan
by_route,inhaled,R03,betnesol
by_route,inhaled,R03,betnovate
by_route,inhaled,R03,betnovate rd
by_route,inhaled,R03,celestone
by_route,inhaled,R03,celestone phosphate
by_route,inhaled,R03,celestone soluspan
by_route,inhaled,R03,cell-u-jec
by_route,inhaled,R03,daivobet
by_route,inhaled,R03,del-beta
by_route,inhaled,R03,detamethasone
by_route,inhaled,R03,diprolene
by_route,inhaled,R03,diprosone
by_route,inhaled,R03,dovobet
by_route,inhaled,R03,enstilar
by_route,inhaled,R03,flubenisolone
by_route,inhaled,R03,genone
by_route,inhaled,R03,gentacalm
by_route,inhaled,R03,gentaotic
by_route,inhaled,R03,gentaspray
by_route,inhaled,R03,gentaved
by_route,inhaled,R03,lotrisone
by_route,inhaled,R03,luxiq
by_route,inhaled,R03,malotic
by_route,inhaled,R03,maxivate
by_route,inhaled,R03,otomax
by_route,inhaled,R03,"pregna-1,4-diene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-16-methyl-, (11beta,16beta)-"
by_route,inhaled,R03,product containing betamethasone
by_route,inhaled,R03,product containing betamethasone (medicinal product)
by_route,inhaled,R03,product containing betamethasone in oral dosage form
by_route,inhaled,R03,product containing betamethasone in topical dosage form
by_route,inhaled,R03,relifor
by_route,inhaled,R03,remicin
by_route,inhaled,R03,selestoject
by_route,inhaled,R03,sernivo
by_route,inhaled,R03,sone-4
by_route,inhaled,R03,taclonex
by_route,inhaled,R03,teladar
by_route,inhaled,R03,tri-otic for canines
by_route,inhaled,R03,uticort
by_route,inhaled,R03,valisone
by_route,inhaled,R03,vetromax
by_route,inhaled,R03,vista-methasone
by_route,inhaled,R03,betameth diprop
by_route,inhaled,R03,betameth diprop/salic acid
by_route,inhaled,R03,betameth/salic acid
by_route,inhaled,R03,betameth diprop/clotrimazole
by_route,inhaled,R03,coal tar
by_route,inhaled,R03,diprosalic
by_route,inhaled,R03,lotriderm
by_route,inhaled,R03,betameth val
by_route,inhaled,R03,betameth
by_route,inhaled,R03,betameth val/clioquinol
by_route,inhaled,R03,betameth val/neomycin sulf
by_route,inhaled,R03,betameth val/fusidic acid
by_route,inhaled,R03,coal tarsoln
by_route,inhaled,R03,betameth val oint
by_route,inhaled,R03,betameth val crm
by_route,inhaled,R03,coal tar soln
by_route,inhaled,R03,coaltarsoln
by_route,inhaled,R03,betameth val/salic acid
by_route,inhaled,R03,coaltar
by_route,inhaled,R03,betnovate-c
by_route,inhaled,R03,betnovate-n
by_route,inhaled,R03,fucibet
by_route,inhaled,R03,betacap
by_route,inhaled,R03,bettamousse
by_route,inhaled,R03,betesil
by_route,inhaled,R03,audavate rd
by_route,inhaled,R03,audavate
by_route,inhaled,R03,xemacort
by_route,inhaled,R03,betameth sod phos
by_route,inhaled,R03,gppe eye oint
by_route,inhaled,R03,betnesol-n
by_route,inhaled,R03,vistamethasone
by_route,nasal,R01,"16beta-methyl-1,4-pregnadiene-9alpha-fluoro-11beta,17alpha,21-triol-3,20-dione"
by_route,nasal,R01,"16β-methyl-1,4-pregnadiene-9α-fluoro-11β,17α,21-triol-3,20-dione"
by_route,nasal,R01,9-fluoro-16beta-methylprednisolone
by_route,nasal,R01,9-fluoro-16β-methylprednisolone
by_route,nasal,R01,9α-fluoro-16β-methylprednisolone
by_route,nasal,R01,9alpha-fluoro-16beta-methylprednisolone
by_route,nasal,R01,adbeon
by_route,nasal,R01,alphatrex
by_route,nasal,R01,beta-methasone alcohol
by_route,nasal,R01,beta-val
by_route,nasal,R01,betaderm
by_route,nasal,R01,betadexamethasone
by_route,nasal,R01,betagen brand of betamethasone and gentamicin
by_route,nasal,R01,betametasona
by_route,nasal,R01,betamethacot
by_route,nasal,R01,betamethasone-calcipotriene topical
by_route,nasal,R01,betamethasone-clotrimazole topical
by_route,nasal,R01,betamethasone (substance)
by_route,nasal,R01,betamethasone [chemical/ingredient]
by_route,nasal,R01,betamethasone in oral dosage form
by_route,nasal,R01,betamethasone in topical dosage form
by_route,nasal,R01,betamethasone preparation
by_route,nasal,R01,betamethasone topical
by_route,nasal,R01,betamethasonum
by_route,nasal,R01,betamethasonvalerat mikron
by_route,nasal,R01,betanate
by_route,nasal,R01,betastat
by_route,nasal,R01,betatrex
by_route,nasal,R01,betavet
by_route,nasal,R01,betnelan
by_route,nasal,R01,betnesol
by_route,nasal,R01,betnovate
by_route,nasal,R01,betnovate rd
by_route,nasal,R01,celestone
by_route,nasal,R01,celestone phosphate
by_route,nasal,R01,celestone soluspan
by_route,nasal,R01,cell-u-jec
by_route,nasal,R01,daivobet
by_route,nasal,R01,del-beta
by_route,nasal,R01,detamethasone
by_route,nasal,R01,diprolene
by_route,nasal,R01,diprosone
by_route,nasal,R01,dovobet
by_route,nasal,R01,enstilar
by_route,nasal,R01,flubenisolone
by_route,nasal,R01,genone
by_route,nasal,R01,gentacalm
by_route,nasal,R01,gentaotic
by_route,nasal,R01,gentaspray
by_route,nasal,R01,gentaved
by_route,nasal,R01,lotrisone
by_route,nasal,R01,luxiq
by_route,nasal,R01,malotic
by_route,nasal,R01,maxivate
by_route,nasal,R01,otomax
by_route,nasal,R01,"pregna-1,4-diene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-16-methyl-, (11beta,16beta)-"
by_route,nasal,R01,product containing betamethasone
by_route,nasal,R01,product containing betamethasone (medicinal product)
by_route,nasal,R01,product containing betamethasone in oral dosage form
by_route,nasal,R01,product containing betamethasone in topical dosage form
by_route,nasal,R01,relifor
by_route,nasal,R01,remicin
by_route,nasal,R01,selestoject
by_route,nasal,R01,sernivo
by_route,nasal,R01,sone-4
by_route,nasal,R01,taclonex
by_route,nasal,R01,teladar
by_route,nasal,R01,tri-otic for canines
by_route,nasal,R01,uticort
by_route,nasal,R01,valisone
by_route,nasal,R01,vetromax
by_route,nasal,R01,vista-methasone
by_route,nasal,R01,betameth diprop
by_route,nasal,R01,betameth diprop/salic acid
by_route,nasal,R01,betameth/salic acid
by_route,nasal,R01,betameth diprop/clotrimazole
by_route,nasal,R01,coal tar
by_route,nasal,R01,diprosalic
by_route,nasal,R01,lotriderm
by_route,nasal,R01,betameth val
by_route,nasal,R01,betameth
by_route,nasal,R01,betameth val/clioquinol
by_route,nasal,R01,betameth val/neomycin sulf
by_route,nasal,R01,betameth val/fusidic acid
by_route,nasal,R01,coal tarsoln
by_route,nasal,R01,betameth val oint
by_route,nasal,R01,betameth val crm
by_route,nasal,R01,coal tar soln
by_route,nasal,R01,coaltarsoln
by_route,nasal,R01,betameth val/salic acid
by_route,nasal,R01,coaltar
by_route,nasal,R01,betnovate-c
by_route,nasal,R01,betnovate-n
by_route,nasal,R01,fucibet
by_route,nasal,R01,betacap
by_route,nasal,R01,bettamousse
by_route,nasal,R01,betesil
by_route,nasal,R01,audavate rd
by_route,nasal,R01,audavate
by_route,nasal,R01,xemacort
by_route,nasal,R01,betameth sod phos
by_route,nasal,R01,gppe eye oint
by_route,nasal,R01,betnesol-n
by_route,nasal,R01,vistamethasone
by_route,topical,D07,"16beta-methyl-1,4-pregnadiene-9alpha-fluoro-11beta,17alpha,21-triol-3,20-dione"
by_route,topical,D07,"16β-methyl-1,4-pregnadiene-9α-fluoro-11β,17α,21-triol-3,20-dione"
