mean,Var1,Var2,ci2.5,ci97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
-0.07,Asthma,Acid-related disease,-0.541,0.434,0.255,952.2,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2956.81,0.999,BI1245_36,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,Vivli
-0.14,Asthma,Anxiety,-0.757,0.503,0.331,1002.85,1,BI1245_36,Diabetes_Mellitus_Type_2,Asthma : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,628.95,0.999,BI1245_36,Diabetes_Mellitus_Type_2,Asthma : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI1276_1,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,Vivli
0.18,Pain,Cardiovascular,0.024,0.335,0.08,1956.56,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,Vivli
0.45,Cardiovascular,Arthritis,0.318,0.567,0.065,1728.99,1,BI1276_1,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,Vivli
0.13,Cardiovascular,Acid-related disease,-0.075,0.322,0.103,1200.58,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,Vivli
0.21,Cardiovascular,Anxiety,-0.059,0.441,0.128,1338.19,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,Vivli
0.21,Cardiovascular,Asthma,0.006,0.405,0.105,1393.1,0.999,BI1276_1,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,3080.5,0.999,BI1276_1,Diabetes_Mellitus_Type_2,Pain : Pain,Vivli
0.45,Pain,Arthritis,0.27,0.606,0.086,1363.71,1,BI1276_1,Diabetes_Mellitus_Type_2,Pain : Arthritis,Vivli
0.41,Pain,Acid-related disease,0.196,0.608,0.105,1047.26,1,BI1276_1,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,Vivli
0.15,Pain,Anxiety,-0.15,0.44,0.151,1046.16,1.003,BI1276_1,Diabetes_Mellitus_Type_2,Pain : Anxiety,Vivli
0.26,Pain,Asthma,-0.005,0.509,0.131,860.87,1.007,BI1276_1,Diabetes_Mellitus_Type_2,Pain : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,613.97,0.999,BI1276_1,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,Vivli
-0.22,Arthritis,Acid-related disease,-0.504,0.09,0.154,426.67,1.017,BI1276_1,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,Vivli
0,Arthritis,Anxiety,-0.349,0.367,0.185,313.6,1.009,BI1276_1,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,Vivli
0.3,Asthma,Arthritis,0.054,0.529,0.12,833.53,1.005,BI1276_1,Diabetes_Mellitus_Type_2,Asthma : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,1529.96,0.999,BI1276_1,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,Vivli
0.6,Anxiety,Acid-related disease,0.358,0.786,0.11,2148.6,1.001,BI1276_1,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,Vivli
0.24,Asthma,Acid-related disease,-0.062,0.515,0.15,481.64,1.013,BI1276_1,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2623.95,0.999,BI1276_1,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,Vivli
0.49,Asthma,Anxiety,0.187,0.738,0.14,853.44,1.003,BI1276_1,Diabetes_Mellitus_Type_2,Asthma : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,481.15,0.999,BI1276_1,Diabetes_Mellitus_Type_2,Asthma : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Cardiovascular,Vivli
0.03,Pain,Cardiovascular,-0.12,0.17,0.072,2990.83,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Pain : Cardiovascular,Vivli
0,Cardiovascular,Acid-related disease,-0.139,0.151,0.075,3246.69,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Acid-related disease,Vivli
0.09,Cardiovascular,Arthritis,-0.07,0.252,0.083,1827.24,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Arthritis,Vivli
0.14,Cardiovascular,Anxiety,-0.005,0.268,0.07,3113.11,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Cardiovascular : Anxiety,Vivli
0.24,Diabetes,Cardiovascular,0.033,0.428,0.102,2871.94,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Cardiovascular,Vivli
1,Pain,Pain,1,1,0,3152.4,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Pain : Pain,Vivli
0.19,Pain,Acid-related disease,0.046,0.331,0.073,2580.04,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Pain : Acid-related disease,Vivli
0.07,Pain,Arthritis,-0.109,0.241,0.087,1776.04,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Pain : Arthritis,Vivli
0.29,Pain,Anxiety,0.155,0.419,0.068,3101.53,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Pain : Anxiety,Vivli
-0.19,Pain,Diabetes,-0.429,0.047,0.122,1901.78,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Pain : Diabetes,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2868.3,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Acid-related disease : Acid-related disease,Vivli
-0.77,Arthritis,Acid-related disease,-0.943,-0.518,0.114,163.11,1.018,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Acid-related disease,Vivli
0.04,Anxiety,Acid-related disease,-0.115,0.195,0.078,778.02,1.005,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Anxiety : Acid-related disease,Vivli
-0.07,Diabetes,Acid-related disease,-0.302,0.161,0.118,1267.06,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Acid-related disease,Vivli
1,Arthritis,Arthritis,1,1,0,147.85,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Arthritis,Vivli
0.11,Arthritis,Anxiety,-0.057,0.283,0.087,369.22,1.007,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Arthritis : Anxiety,Vivli
0.02,Diabetes,Arthritis,-0.238,0.266,0.13,944.98,1.001,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Arthritis,Vivli
1,Anxiety,Anxiety,1,1,0,2911.2,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Anxiety : Anxiety,Vivli
0.06,Diabetes,Anxiety,-0.171,0.271,0.114,2701.59,1,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Anxiety,Vivli
1,Diabetes,Diabetes,1,1,0,2906.87,0.999,BI244_2484,Pulmonary_Disease_Chronic_Obstructive,Diabetes : Diabetes,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI248_524,Parkinson_Disease,Cardiovascular : Cardiovascular,Vivli
0.11,Pain,Cardiovascular,-0.131,0.347,0.119,1632.71,1,BI248_524,Parkinson_Disease,Pain : Cardiovascular,Vivli
0.1,Cardiovascular,Anxiety,-0.057,0.245,0.077,1940.25,1.001,BI248_524,Parkinson_Disease,Cardiovascular : Anxiety,Vivli
0.13,Cardiovascular,Acid-related disease,-0.036,0.306,0.089,1672.62,1.001,BI248_524,Parkinson_Disease,Cardiovascular : Acid-related disease,Vivli
0.2,Cardiovascular,Arthritis,0.016,0.364,0.089,1919.62,1.003,BI248_524,Parkinson_Disease,Cardiovascular : Arthritis,Vivli
0.25,Cardiovascular,Asthma,0.043,0.461,0.107,1424.62,1.002,BI248_524,Parkinson_Disease,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,2874.29,0.999,BI248_524,Parkinson_Disease,Pain : Pain,Vivli
0.23,Pain,Anxiety,-0.023,0.461,0.124,588.19,1.001,BI248_524,Parkinson_Disease,Pain : Anxiety,Vivli
0.29,Pain,Acid-related disease,0.03,0.531,0.129,695.74,1.004,BI248_524,Parkinson_Disease,Pain : Acid-related disease,Vivli
0.34,Pain,Arthritis,0.102,0.562,0.121,838.12,1.001,BI248_524,Parkinson_Disease,Pain : Arthritis,Vivli
0.36,Pain,Asthma,0.063,0.617,0.141,834.6,1.003,BI248_524,Parkinson_Disease,Pain : Asthma,Vivli
1,Anxiety,Anxiety,1,1,0,3221.73,0.999,BI248_524,Parkinson_Disease,Anxiety : Anxiety,Vivli
0.27,Anxiety,Acid-related disease,0.085,0.446,0.092,1523.36,1.001,BI248_524,Parkinson_Disease,Anxiety : Acid-related disease,Vivli
0.04,Arthritis,Anxiety,-0.16,0.246,0.105,1323.49,1.002,BI248_524,Parkinson_Disease,Arthritis : Anxiety,Vivli
0.3,Asthma,Anxiety,0.076,0.506,0.111,1806,1,BI248_524,Parkinson_Disease,Asthma : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2590.95,0.999,BI248_524,Parkinson_Disease,Acid-related disease : Acid-related disease,Vivli
-0.23,Arthritis,Acid-related disease,-0.475,0.027,0.128,607.91,1.004,BI248_524,Parkinson_Disease,Arthritis : Acid-related disease,Vivli
0.03,Asthma,Acid-related disease,-0.268,0.316,0.148,982.2,1.001,BI248_524,Parkinson_Disease,Asthma : Acid-related disease,Vivli
1,Arthritis,Arthritis,1,1,0,2899.34,0.999,BI248_524,Parkinson_Disease,Arthritis : Arthritis,Vivli
0.28,Asthma,Arthritis,0.024,0.512,0.124,1403.61,1.004,BI248_524,Parkinson_Disease,Asthma : Arthritis,Vivli
1,Asthma,Asthma,1,1,0,2855.44,0.999,BI248_524,Parkinson_Disease,Asthma : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI248_525,Parkinson_Disease,Cardiovascular : Cardiovascular,Vivli
-0.1,Pain,Cardiovascular,-0.361,0.174,0.137,1674.26,1,BI248_525,Parkinson_Disease,Pain : Cardiovascular,Vivli
0.02,Cardiovascular,Anxiety,-0.139,0.185,0.082,1531.84,1,BI248_525,Parkinson_Disease,Cardiovascular : Anxiety,Vivli
0.05,Cardiovascular,Acid-related disease,-0.159,0.241,0.101,2251.68,0.999,BI248_525,Parkinson_Disease,Cardiovascular : Acid-related disease,Vivli
0.22,Cardiovascular,Arthritis,0.005,0.429,0.109,1572.02,1.001,BI248_525,Parkinson_Disease,Cardiovascular : Arthritis,Vivli
0.21,Cardiovascular,Asthma,-0.17,0.583,0.195,2094.74,1,BI248_525,Parkinson_Disease,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,2907.22,0.999,BI248_525,Parkinson_Disease,Pain : Pain,Vivli
0.28,Pain,Anxiety,0.024,0.52,0.127,627.62,1.002,BI248_525,Parkinson_Disease,Pain : Anxiety,Vivli
0.14,Pain,Acid-related disease,-0.163,0.443,0.155,772.55,1.001,BI248_525,Parkinson_Disease,Pain : Acid-related disease,Vivli
0.47,Pain,Arthritis,0.205,0.689,0.125,893.14,1.002,BI248_525,Parkinson_Disease,Pain : Arthritis,Vivli
-0.25,Pain,Asthma,-0.812,0.384,0.323,847.37,1.001,BI248_525,Parkinson_Disease,Pain : Asthma,Vivli
1,Anxiety,Anxiety,1,1,0,3024.71,0.999,BI248_525,Parkinson_Disease,Anxiety : Anxiety,Vivli
0.39,Anxiety,Acid-related disease,0.215,0.551,0.088,2477.58,1.001,BI248_525,Parkinson_Disease,Anxiety : Acid-related disease,Vivli
-0.02,Arthritis,Anxiety,-0.249,0.211,0.117,1848.12,1.001,BI248_525,Parkinson_Disease,Arthritis : Anxiety,Vivli
0.01,Asthma,Anxiety,-0.405,0.41,0.214,1830.85,1.001,BI248_525,Parkinson_Disease,Asthma : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2381.73,0.999,BI248_525,Parkinson_Disease,Acid-related disease : Acid-related disease,Vivli
-0.44,Arthritis,Acid-related disease,-0.754,-0.066,0.181,439.57,1.004,BI248_525,Parkinson_Disease,Arthritis : Acid-related disease,Vivli
0.21,Asthma,Acid-related disease,-0.213,0.589,0.211,1838.67,1,BI248_525,Parkinson_Disease,Asthma : Acid-related disease,Vivli
1,Arthritis,Arthritis,1,1,0,2898.73,0.999,BI248_525,Parkinson_Disease,Arthritis : Arthritis,Vivli
-0.26,Asthma,Arthritis,-0.781,0.34,0.295,1062.42,1.003,BI248_525,Parkinson_Disease,Asthma : Arthritis,Vivli
1,Asthma,Asthma,1,1,0,3032.82,0.999,BI248_525,Parkinson_Disease,Asthma : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI248_622,Parkinson_Disease,Cardiovascular : Cardiovascular,Vivli
0.13,Pain,Cardiovascular,-0.078,0.329,0.104,1993.45,0.999,BI248_622,Parkinson_Disease,Pain : Cardiovascular,Vivli
0.03,Cardiovascular,Anxiety,-0.164,0.22,0.096,2490.32,1,BI248_622,Parkinson_Disease,Cardiovascular : Anxiety,Vivli
-0.1,Cardiovascular,Acid-related disease,-0.296,0.098,0.099,1809.44,0.999,BI248_622,Parkinson_Disease,Cardiovascular : Acid-related disease,Vivli
0.35,Cardiovascular,Arthritis,0.181,0.518,0.088,1882.88,1,BI248_622,Parkinson_Disease,Cardiovascular : Arthritis,Vivli
0.14,Cardiovascular,Asthma,-0.112,0.402,0.133,1604.25,1,BI248_622,Parkinson_Disease,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,2967.99,0.999,BI248_622,Parkinson_Disease,Pain : Pain,Vivli
0.04,Pain,Anxiety,-0.181,0.269,0.115,1524.72,1.001,BI248_622,Parkinson_Disease,Pain : Anxiety,Vivli
-0.08,Pain,Acid-related disease,-0.309,0.151,0.119,1346.56,1.001,BI248_622,Parkinson_Disease,Pain : Acid-related disease,Vivli
0.27,Pain,Arthritis,0.045,0.462,0.105,1679.01,1.001,BI248_622,Parkinson_Disease,Pain : Arthritis,Vivli
0.29,Pain,Asthma,0.044,0.532,0.128,2488.76,1,BI248_622,Parkinson_Disease,Pain : Asthma,Vivli
1,Anxiety,Anxiety,1,1,0,2888.12,0.999,BI248_622,Parkinson_Disease,Anxiety : Anxiety,Vivli
0.17,Anxiety,Acid-related disease,-0.039,0.369,0.104,2049.52,1.003,BI248_622,Parkinson_Disease,Anxiety : Acid-related disease,Vivli
0.09,Arthritis,Anxiety,-0.113,0.297,0.104,1728.25,1.002,BI248_622,Parkinson_Disease,Arthritis : Anxiety,Vivli
0.19,Asthma,Anxiety,-0.072,0.433,0.13,2281.6,1,BI248_622,Parkinson_Disease,Asthma : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2745.98,0.999,BI248_622,Parkinson_Disease,Acid-related disease : Acid-related disease,Vivli
-0.42,Arthritis,Acid-related disease,-0.605,-0.202,0.102,1235.39,1.002,BI248_622,Parkinson_Disease,Arthritis : Acid-related disease,Vivli
0.13,Asthma,Acid-related disease,-0.135,0.387,0.136,2106.06,1.001,BI248_622,Parkinson_Disease,Asthma : Acid-related disease,Vivli
1,Arthritis,Arthritis,1,1,0,414.72,0.999,BI248_622,Parkinson_Disease,Arthritis : Arthritis,Vivli
0.23,Asthma,Arthritis,-0.018,0.46,0.124,2519.67,1,BI248_622,Parkinson_Disease,Asthma : Arthritis,Vivli
1,Asthma,Asthma,1,1,0,2403.18,0.999,BI248_622,Parkinson_Disease,Asthma : Asthma,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI248_629,Restless_legs_syndrome,Pain : Pain,Vivli
0.13,Pain,Cardiovascular,-0.071,0.322,0.099,1835.13,1.001,BI248_629,Restless_legs_syndrome,Pain : Cardiovascular,Vivli
0.32,Pain,Arthritis,0.122,0.491,0.095,2059.26,1,BI248_629,Restless_legs_syndrome,Pain : Arthritis,Vivli
0.08,Pain,Anxiety,-0.17,0.322,0.127,1871.88,1.002,BI248_629,Restless_legs_syndrome,Pain : Anxiety,Vivli
0.13,Pain,Acid-related disease,-0.095,0.365,0.118,1260.55,1.002,BI248_629,Restless_legs_syndrome,Pain : Acid-related disease,Vivli
0.01,Pain,Asthma,-0.233,0.256,0.127,1830.78,1.001,BI248_629,Restless_legs_syndrome,Pain : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,3022.85,0.999,BI248_629,Restless_legs_syndrome,Cardiovascular : Cardiovascular,Vivli
0.19,Cardiovascular,Arthritis,0.002,0.369,0.094,2623.57,1,BI248_629,Restless_legs_syndrome,Cardiovascular : Arthritis,Vivli
-0.04,Cardiovascular,Anxiety,-0.28,0.195,0.124,2355.79,1.001,BI248_629,Restless_legs_syndrome,Cardiovascular : Anxiety,Vivli
0.1,Cardiovascular,Acid-related disease,-0.126,0.334,0.117,1445.39,1,BI248_629,Restless_legs_syndrome,Cardiovascular : Acid-related disease,Vivli
0.09,Cardiovascular,Asthma,-0.129,0.319,0.116,2267.68,1,BI248_629,Restless_legs_syndrome,Cardiovascular : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,3025.96,0.999,BI248_629,Restless_legs_syndrome,Arthritis : Arthritis,Vivli
-0.06,Arthritis,Anxiety,-0.304,0.189,0.129,1361.41,1.002,BI248_629,Restless_legs_syndrome,Arthritis : Anxiety,Vivli
-0.64,Arthritis,Acid-related disease,-0.86,-0.344,0.135,287.2,1.009,BI248_629,Restless_legs_syndrome,Arthritis : Acid-related disease,Vivli
0.12,Asthma,Arthritis,-0.127,0.349,0.122,1255.35,1.004,BI248_629,Restless_legs_syndrome,Asthma : Arthritis,Vivli
1,Anxiety,Anxiety,1,1,0,2514.17,0.999,BI248_629,Restless_legs_syndrome,Anxiety : Anxiety,Vivli
0.18,Anxiety,Acid-related disease,-0.096,0.447,0.14,1601.8,1.001,BI248_629,Restless_legs_syndrome,Anxiety : Acid-related disease,Vivli
0.15,Asthma,Anxiety,-0.123,0.409,0.136,1314.29,1.002,BI248_629,Restless_legs_syndrome,Asthma : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2358.01,0.999,BI248_629,Restless_legs_syndrome,Acid-related disease : Acid-related disease,Vivli
-0.02,Asthma,Acid-related disease,-0.315,0.275,0.154,584.8,1.008,BI248_629,Restless_legs_syndrome,Asthma : Acid-related disease,Vivli
1,Asthma,Asthma,1,1,0,2544.26,0.999,BI248_629,Restless_legs_syndrome,Asthma : Asthma,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_254,Hypertension,Pain : Pain,Vivli
0.43,Pain,Arthritis,0.297,0.553,0.066,1721.09,1.001,BI502_254,Hypertension,Pain : Arthritis,Vivli
0.31,Pain,Acid-related disease,0.128,0.475,0.089,1357.99,1.004,BI502_254,Hypertension,Pain : Acid-related disease,Vivli
0.21,Pain,Anxiety,0.036,0.385,0.09,1694.19,1.001,BI502_254,Hypertension,Pain : Anxiety,Vivli
0.09,Pain,Asthma,-0.129,0.312,0.112,1224.11,1.003,BI502_254,Hypertension,Pain : Asthma,Vivli
-0.08,Pain,Diabetes,-0.313,0.157,0.12,1147.57,1.003,BI502_254,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2950.13,0.999,BI502_254,Hypertension,Arthritis : Arthritis,Vivli
-0.54,Arthritis,Acid-related disease,-0.732,-0.317,0.109,303.74,1.013,BI502_254,Hypertension,Arthritis : Acid-related disease,Vivli
0.13,Arthritis,Anxiety,-0.03,0.291,0.082,1483.1,1,BI502_254,Hypertension,Arthritis : Anxiety,Vivli
-0.2,Asthma,Arthritis,-0.397,0.015,0.108,896.81,1.003,BI502_254,Hypertension,Asthma : Arthritis,Vivli
0.03,Diabetes,Arthritis,-0.166,0.217,0.098,1440.06,1.002,BI502_254,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2752.53,0.999,BI502_254,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.23,Anxiety,Acid-related disease,0.038,0.412,0.094,949.77,1.005,BI502_254,Hypertension,Anxiety : Acid-related disease,Vivli
0.22,Asthma,Acid-related disease,0.012,0.416,0.104,983.35,1.001,BI502_254,Hypertension,Asthma : Acid-related disease,Vivli
-0.04,Diabetes,Acid-related disease,-0.277,0.198,0.121,596.11,1.006,BI502_254,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,3010.03,0.999,BI502_254,Hypertension,Anxiety : Anxiety,Vivli
0.08,Asthma,Anxiety,-0.139,0.298,0.111,2699.52,1,BI502_254,Hypertension,Asthma : Anxiety,Vivli
0,Diabetes,Anxiety,-0.227,0.223,0.115,2310.71,1.001,BI502_254,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2713.5,0.999,BI502_254,Hypertension,Asthma : Asthma,Vivli
0.11,Diabetes,Asthma,-0.138,0.351,0.124,1594.83,1,BI502_254,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,2696.56,0.999,BI502_254,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,BI502_256,Hypertension,Pain : Pain,Vivli
0.05,Pain,Arthritis,-0.148,0.252,0.104,1282.8,1.001,BI502_256,Hypertension,Pain : Arthritis,Vivli
0.08,Pain,Acid-related disease,-0.215,0.393,0.151,446.45,1.004,BI502_256,Hypertension,Pain : Acid-related disease,Vivli
0.12,Pain,Anxiety,-0.113,0.355,0.121,1599.78,1.001,BI502_256,Hypertension,Pain : Anxiety,Vivli
-0.03,Pain,Asthma,-0.396,0.35,0.191,1149.73,1.001,BI502_256,Hypertension,Pain : Asthma,Vivli
-0.31,Pain,Diabetes,-0.601,-0.019,0.152,574.16,1.011,BI502_256,Hypertension,Pain : Diabetes,Vivli
